time	dest	src	seqn	hops
31283375	1	5	0	1
31938000	1	10	0	2
34789537	1	7	0	1
37349833	1	9	0	3
37581968	1	3	0	3
38175539	1	4	0	1
40082186	1	6	0	1
43731459	1	2	0	1
44404894	1	8	0	4
65142566	1	5	1	1
65472428	1	4	1	1
65503844	1	6	1	1
66773914	1	7	1	1
67459137	1	9	1	3
68609623	1	10	1	2
70928062	1	8	1	4
73754049	1	3	1	3
75840834	1	2	1	1
90800788	1	6	2	1
91133244	1	7	2	1
91943537	1	9	2	3
92156547	1	10	2	2
92644765	1	4	2	1
92673533	1	8	2	4
93377080	1	5	2	1
97801002	1	3	2	3
105325162	1	2	2	1
120691235	1	4	3	1
125199156	1	2	3	1
128972525	1	6	3	1
129723048	1	3	3	3
131578421	1	10	3	2
132986542	1	5	3	1
133010321	1	8	3	4
134750578	1	7	3	1
134802854	1	9	3	3
156520238	1	3	4	3
156613110	1	4	4	1
156811060	1	8	4	4
160419075	1	2	4	1
161970886	1	5	4	1
162037281	1	9	4	3
164019742	1	6	4	1
164461284	1	7	4	1
164875248	1	10	4	2
181330069	1	5	5	1
181410053	1	4	5	1
186320662	1	7	5	1
187028241	1	2	5	1
188459584	1	8	5	4
189191650	1	3	5	3
193047304	1	10	5	2
193646640	1	9	5	3
194941414	1	6	5	1
215738288	1	6	6	1
216094734	1	10	6	2
216826684	1	8	6	4
217081797	1	4	6	1
217631023	1	9	6	3
218064656	1	5	6	1
218555034	1	7	6	1
224012710	1	2	6	1
225738356	1	3	6	3
240628913	1	4	7	1
241164403	1	7	7	1
242287637	1	8	7	4
244372415	1	2	7	1
245173817	1	5	7	1
246160528	1	3	7	3
246410447	1	6	7	1
252990406	1	9	7	3
255015873	1	10	7	2
270717266	1	8	8	4
272957105	1	6	8	1
273106576	1	2	8	1
275149058	1	7	8	1
275457426	1	3	8	3
277658329	1	5	8	1
278812796	1	10	8	2
279050678	1	4	8	1
280724761	1	9	8	3
301508183	1	7	9	1
302215957	1	2	9	1
304347691	1	4	9	1
304517498	1	5	9	1
305378981	1	6	9	1
306484943	1	10	9	2
306833987	1	9	9	3
309490561	1	8	9	4
312628982	1	3	9	3
333032240	1	10	10	2
333676337	1	3	10	3
334483086	1	8	10	4
335752171	1	5	10	1
339676212	1	6	10	1
342700478	1	2	10	1
343318940	1	9	10	3
343519718	1	4	10	1
345242816	1	7	10	1
365178383	1	9	11	3
366566523	1	4	11	1
367069024	1	8	11	4
367453707	1	10	11	2
368598070	1	3	11	3
369361738	1	5	11	1
370352190	1	7	11	1
370848087	1	6	11	1
372559853	1	2	11	1
392345921	1	5	12	1
394412759	1	9	12	3
394894894	1	6	12	1
395794160	1	2	12	1
395836633	1	7	12	1
399750584	1	10	12	2
401123877	1	8	12	4
401488331	1	4	12	1
403394962	1	3	12	3
422816974	1	6	13	1
423022287	1	8	13	4
423922801	1	10	13	2
429066898	1	3	13	3
430285273	1	4	13	1
431403603	1	2	13	1
431696008	1	7	13	1
433705547	1	5	13	1
434021861	1	9	13	3
451613797	1	3	14	3
452957333	1	4	14	1
453006372	1	9	14	3
455930251	1	7	14	1
455969554	1	10	14	2
456439921	1	5	14	1
458613712	1	6	14	1
459639630	1	8	14	4
462387978	1	2	14	1
481365560	1	9	15	3
482035702	1	3	15	3
487285315	1	6	15	1
489549296	1	5	15	1
489747237	1	2	15	1
491539826	1	7	15	1
492350210	1	8	15	4
492504092	1	4	15	1
494891208	1	10	15	2
510832530	1	6	16	1
516030644	1	8	16	4
516045400	1	5	16	1
519925831	1	4	16	1
521481660	1	2	16	1
521688472	1	10	16	2
523332449	1	3	16	3
523524003	1	7	16	1
526099934	1	9	16	3
542209362	1	9	17	3
543254538	1	6	17	1
543504453	1	3	17	3
545883441	1	7	17	1
548892913	1	5	17	1
552359960	1	10	17	2
553053262	1	8	17	4
554591036	1	2	17	1
555222774	1	4	17	1
571394518	1	4	18	1
571693688	1	9	18	3
572295669	1	8	18	4
573551263	1	3	18	3
574075546	1	2	18	1
577617751	1	7	18	1
578906834	1	10	18	2
579127233	1	5	18	1
583551211	1	6	18	1
602736803	1	5	19	1
603329099	1	10	19	2
604722816	1	6	19	1
608473300	1	3	19	3
609934791	1	2	19	1
614131558	1	8	19	4
614441456	1	4	19	1
614727191	1	7	19	1
615553039	1	9	19	3
630363261	1	4	20	1
631270077	1	3	20	3
632169229	1	2	20	1
638211701	1	7	20	1
644436485	1	8	20	4
644641141	1	10	20	2
644769767	1	6	20	1
644790708	1	9	20	3
645721039	1	5	20	1
661797621	1	10	21	2
662080555	1	5	21	1
664691769	1	6	21	1
671891474	1	7	21	1
672778462	1	2	21	1
672941837	1	3	21	3
673396795	1	9	21	3
674584511	1	8	21	4
675160341	1	4	21	1
693438478	1	7	22	1
693762863	1	2	22	1
695488923	1	3	22	3
696452109	1	8	22	4
696814921	1	5	22	1
696832148	1	4	22	1
697488712	1	6	22	1
697844679	1	10	22	2
698381184	1	9	22	3
721160382	1	6	23	1
723860287	1	7	23	1
726122286	1	2	23	1
