time	dest	src	seqn
31561406	1	10	0
33721821	1	5	0
36601961	1	7	0
36863708	1	9	0
37437943	1	3	0
38107555	1	4	0
43249181	1	2	0
44310265	1	6	0
44870479	1	8	0
60961337	1	7	1
65294687	1	6	1
65404431	1	4	1
65518697	1	5	1
66973172	1	9	1
68233282	1	10	1
71393584	1	8	1
73609774	1	3	1
75358557	1	2	1
91457459	1	9	2
91780157	1	10	2
92576395	1	4	2
93136015	1	8	2
94654062	1	6	2
95695712	1	7	2
97656649	1	3	2
101190572	1	5	2
104842932	1	2	2
120623181	1	4	3
123805133	1	7	3
124702395	1	2	3
129578524	1	3	3
130388391	1	6	3
130737447	1	5	3
131202032	1	10	3
133471709	1	8	3
134316834	1	9	3
154159367	1	5	4
154497810	1	6	4
156375399	1	3	4
156545056	1	4	4
157276640	1	8	4
159936682	1	2	4
161551209	1	9	4
164289462	1	7	4
164498907	1	10	4
181341931	1	4	5
182456242	1	5	5
186148837	1	7	5
186546057	1	2	5
188924788	1	8	5
189047319	1	3	5
192670782	1	10	5
192982141	1	6	5
193160584	1	9	5
215717702	1	10	6
217013806	1	4	6
217144959	1	9	6
217292265	1	8	6
218383212	1	7	6
219628072	1	5	6
223530432	1	2	6
224841516	1	6	6
225594149	1	3	6
240560681	1	4	7
240992587	1	7	7
242674992	1	5	7
242752913	1	8	7
243889895	1	2	7
246016024	1	3	7
250075891	1	6	7
252504334	1	9	7
254639532	1	10	7
271182890	1	8	8
272624270	1	2	8
273596867	1	5	8
274977008	1	7	8
275312899	1	3	8
278436407	1	10	8
278982556	1	4	8
279685266	1	6	8
280238709	1	9	8
301336419	1	7	9
301393697	1	5	9
301733557	1	2	9
303669641	1	6	9
304279519	1	4	9
306108282	1	10	9
306348172	1	9	9
309956129	1	8	9
312484774	1	3	9
332029214	1	6	10
332655354	1	10	10
333065724	1	5	10
333531800	1	3	10
334948667	1	8	10
342218083	1	2	10
342832610	1	9	10
343451458	1	4	10
345070864	1	7	10
364691985	1	9	11
365146645	1	6	11
366498333	1	4	11
367077183	1	10	11
367534315	1	8	11
368453721	1	3	11
368612598	1	5	11
370180239	1	7	11
372077458	1	2	11
393068608	1	6	12
393926360	1	9	12
395311833	1	2	12
395664659	1	7	12
399374058	1	10	12
401420208	1	4	12
401589380	1	8	12
403250550	1	3	12
405034473	1	5	12
423487440	1	8	13
423545979	1	10	13
428865395	1	6	13
428922425	1	3	13
430217083	1	4	13
430921208	1	2	13
431523989	1	7	13
433535735	1	9	13
435331348	1	5	13
451469301	1	3	14
452520110	1	9	14
452889046	1	4	14
455592854	1	10	14
457537270	1	6	14
458503223	1	5	14
460109094	1	8	14
461367739	1	7	14
461905583	1	2	14
480879485	1	9	15
481084145	1	6	15
481891175	1	3	15
489264958	1	2	15
492435833	1	4	15
492815611	1	8	15
493352114	1	7	15
493550098	1	5	15
494514683	1	10	15
513506108	1	6	16
514472019	1	5	16
515711534	1	7	16
516495542	1	8	16
519857708	1	4	16
520999333	1	2	16
521311558	1	10	16
523188050	1	3	16
525613860	1	9	16
541723235	1	9	17
543359926	1	3	17
547445864	1	7	17
548268848	1	5	17
551983433	1	10	17
553518781	1	8	17
553802895	1	6	17
554108708	1	2	17
555154583	1	4	17
571207610	1	9	18
571326458	1	4	18
572761167	1	8	18
572940723	1	5	18
573406800	1	3	18
573593172	1	2	18
574974770	1	6	18
578530308	1	10	18
584555239	1	7	18
602952183	1	10	19
608039614	1	7	19
608328675	1	3	19
609452458	1	2	19
609487599	1	5	19
614373333	1	4	19
614596860	1	8	19
615021645	1	6	19
615066985	1	9	19
630294965	1	4	20
631125550	1	3	20
631686833	1	2	20
634943520	1	6	20
636898989	1	7	20
640909473	1	5	20
644249058	1	10	20
644301360	1	9	20
644901880	1	8	20
661420933	1	10	21
664133409	1	7	21
667740395	1	6	21
668206348	1	5	21
672296208	1	2	21
672797425	1	3	21
672910735	1	9	21
675049985	1	8	21
675092083	1	4	21
691412270	1	6	22
693280583	1	2	22
693688341	1	7	22
695344300	1	3	22
696763958	1	4	22
696917595	1	8	22
697467808	1	10	22
697895110	1	9	22
704378224	1	5	22
725639958	1	2	23
729985216	1	7	23
730254485	1	9	23
730310833	1	4	23
731425098	1	5	23
731878111	1	8	23
732766175	1	3	23
733389684	1	10	23
734959145	1	6	23
751381020	1	6	24
752347019	1	5	24
753063050	1	3	24
753808042	1	8	24
754374422	1	2	24
756157091	1	7	24
757988860	1	9	24
760186558	1	10	24
760732708	1	4	24
783234925	1	3	25
785081190	1	8	25
786029583	1	4	25
790858434	1	10	25
791143848	1	5	25
791203966	1	7	25
791483708	1	2	25
792098235	1	9	25
794677895	1	6	25
813573667	1	8	26
813968083	1	2	26
815281800	1	3	26
815849770	1	6	26
818815723	1	5	26
823201458	1	4	26
824125841	1	7	26
825405308	1	10	26
825582610	1	9	26
847203676	1	3	27
849922716	1	7	27
850659406	1	8	27
851248333	1	4	27
851827458	1	2	27
853827183	1	10	27
853896645	1	6	27
855362598	1	5	27
855441985	1	9	27
875170208	1	4	28
875818520	1	6	28
876594591	1	7	28
876784473	1	5	28
877214292	1	8	28
878676449	1	9	28
884061833	1	2	28
884124059	1	10	28
885000550	1	3	28
900615395	1	6	29
904612440	1	8	29
906295933	1	10	29
909285824	1	9	29
910671208	1	2	29
911672426	1	3	29
913081348	1	5	29
913967083	1	4	29
914141466	1	7	29
931287271	1	6	30
931638959	1	4	30
934655584	1	2	30
936270111	1	9	30
941563342	1	7	30
942253224	1	5	30
943342809	1	10	30
944219301	1	3	30
945730006	1	8	30
963834234	1	6	31
966014959	1	2	31
966641176	1	3	31
968629657	1	9	31
971185834	1	4	31
971264684	1	10	31
972940657	1	8	31
974860217	1	7	31
975300099	1	5	31
991221975	1	5	32
992938052	1	3	32
995061605	1	10	32
999032092	1	7	32
1001607709	1	4	32
1002749334	1	2	32
1004256021	1	6	32
1005120631	1	8	32
1005363861	1	9	32
1023473236	1	9	33
1024858709	1	2	33
1026904584	1	4	33
1027643782	1	8	33
1028078967	1	7	33
1028109926	1	3	33
1028552896	1	6	33
1030018849	1	5	33
1035733434	1	10	33
1055690725	1	5	34
1056957611	1	9	34
1058386168	1	8	34
1059000842	1	7	34
1061156801	1	3	34
1062280310	1	10	34
1063343084	1	2	34
1063724771	1	6	34
1065076459	1	4	34
1082202548	1	2	35
1085078676	1	3	35
1085816986	1	9	35
1087237599	1	5	35
1087702185	1	10	35
1089797717	1	7	35
1090123334	1	4	35
1092721862	1	8	35
1094771646	1	6	35
1114526793	1	8	36
1115883365	1	7	36
1116051450	1	9	36
1117693521	1	6	36
1118999059	1	10	36
1119045209	1	4	36
