time	dest	src	seqn
31079247	1	7	0
34845281	1	4	0
35634359	1	5	0
40406907	1	6	0
41367184	1	10	0
41738677	1	9	0
43310050	1	2	0
44589881	1	3	0
44908261	1	8	0
65324257	1	3	1
65813669	1	7	1
65828783	1	6	1
67402449	1	9	1
68455312	1	8	1
69829611	1	4	1
71306235	1	5	1
74601560	1	10	1
75419426	1	2	1
91125990	1	6	2
92188986	1	4	2
94918007	1	3	2
96415783	1	8	2
97420549	1	10	2
97511870	1	9	2
100853110	1	5	2
104407373	1	7	2
104903801	1	2	2
121634313	1	7	3
122777382	1	3	3
123923361	1	4	3
124275074	1	5	3
124554685	1	10	3
124763222	1	2	3
127345760	1	8	3
129297533	1	6	3
134855574	1	9	3
151289060	1	10	4
151306463	1	4	4
152572192	1	5	4
153011757	1	3	4
153056100	1	7	4
159997551	1	2	4
162089949	1	9	4
164344408	1	6	4
164392635	1	8	4
181173133	1	5	5
182723051	1	9	5
184570681	1	6	5
185094919	1	7	5
185672250	1	10	5
186630653	1	2	5
187228338	1	4	5
187618908	1	8	5
196144859	1	3	5
211454365	1	7	6
214376486	1	4	6
215016883	1	5	6
216566734	1	3	6
221111385	1	8	6
222052528	1	2	6
223055056	1	6	6
223144926	1	9	6
224594037	1	10	6
243577395	1	2	7
243610907	1	4	7
247501258	1	5	7
247683699	1	9	7
248390912	1	10	7
248962658	1	8	7
254605507	1	3	7
254914431	1	6	7
255188623	1	7	7
273281997	1	6	8
274360633	1	5	8
275863939	1	3	8
280297998	1	7	8
281442161	1	9	8
282220236	1	4	8
284783349	1	8	8
285490028	1	2	8
285742185	1	10	8
302613676	1	9	9
302976560	1	10	9
303286992	1	2	9
303806408	1	8	9
305595008	1	5	9
305703783	1	6	9
305782373	1	7	9
308204611	1	4	9
313035484	1	3	9
332959018	1	2	10
333049367	1	8	10
334082511	1	3	10
334564138	1	4	10
337660703	1	9	10
339204535	1	5	10
339962502	1	7	10
340001428	1	6	10
345586087	1	10	10
360927680	1	2	11
362298513	1	4	11
362570462	1	10	11
363150381	1	8	11
365219560	1	6	11
365293159	1	3	11
366887022	1	9	11
368618887	1	5	11
371485650	1	7	11
391664212	1	10	12
392228547	1	7	12
393141523	1	6	12
394225169	1	2	12
399473136	1	3	12
401267787	1	8	12
403371351	1	9	12
403665762	1	5	12
404407888	1	4	12
423892263	1	4	13
425230726	1	9	13
425876410	1	5	13
426386909	1	3	13
426443305	1	2	13
427610185	1	6	13
432400002	1	7	13
432773587	1	10	13
435189750	1	8	13
451157060	1	6	14
451257962	1	10	14
454465101	1	9	14
455446877	1	7	14
457365180	1	2	14
458735785	1	5	14
460900365	1	4	14
462337810	1	8	14
465340034	1	3	14
482133378	1	6	15
483056387	1	5	15
483653999	1	2	15
483910636	1	3	15
485658412	1	8	15
491266064	1	10	15
492751638	1	4	15
493598203	1	9	15
494673150	1	7	15
516074409	1	3	16
517572230	1	8	16
517986013	1	4	16
518157525	1	7	16
519513328	1	2	16
519603262	1	5	16
520117708	1	6	16
521937939	1	10	16
524074476	1	9	16
541595388	1	4	17
541747748	1	2	17
541860696	1	7	17
543477083	1	6	17
548484814	1	10	17
551025137	1	5	17
552183784	1	3	17
552924369	1	8	17
553488828	1	9	17
571535703	1	9	18
572906689	1	10	18
573527534	1	3	18
578322344	1	5	18
582357078	1	2	18
584579763	1	4	18
584845025	1	7	18
585094560	1	6	18
585095912	1	8	18
602457578	1	9	19
603341453	1	2	19
607813310	1	6	19
610142965	1	8	19
612761909	1	3	19
614204168	1	10	19
614204400	1	7	19
614493887	1	5	19
615838195	1	4	19
631375439	1	10	20
631485273	1	6	20
632009740	1	4	20
632532571	1	7	20
635700828	1	2	20
638371284	1	3	20
641540762	1	5	20
642853481	1	8	20
644254453	1	9	20
663626320	1	7	21
664435203	1	2	21
666533589	1	8	21
667422314	1	10	21
668355659	1	3	21
673767035	1	5	21
675032060	1	6	21
675056615	1	4	21
675926328	1	9	21
690978247	1	4	22
691454023	1	6	22
699715080	1	3	22
701544578	1	2	22
703251410	1	5	22
703344189	1	10	22
703556651	1	8	22
704840101	1	9	22
704978459	1	7	22
