time	dest	src	seqn	hops
31283965	1	6	0	1
31659494	1	7	0	1
33660043	1	2	0	1
34158514	1	5	0	1
34912195	1	4	0	2
38912771	1	10	0	2
41165242	1	9	0	3
43414335	1	3	0	3
44666349	1	8	0	4
62782823	1	2	1	1
62908447	1	5	1	1
67540065	1	3	1	3
69786755	1	4	1	2
71168744	1	8	1	4
71786479	1	10	1	2
71909560	1	7	1	1
74909902	1	6	1	1
75164695	1	9	1	3
92162772	1	4	2	2
92918924	1	8	2	4
95163076	1	9	2	3
95908419	1	6	2	1
97659626	1	2	2	1
100040119	1	3	2	3
102534487	1	5	2	1
104908986	1	7	2	1
105034763	1	10	2	2
120783780	1	5	3	1
122289713	1	3	3	3
124159899	1	4	3	2
127661201	1	10	3	2
128783158	1	7	3	1
129783966	1	6	3	1
133291569	1	8	3	4
134409026	1	2	3	1
134914381	1	9	3	3
153159487	1	2	4	1
153659050	1	7	4	1
154662579	1	10	4	2
158165639	1	3	4	3
158284702	1	5	4	1
162665050	1	9	4	3
163037682	1	4	4	2
164906484	1	6	4	1
182164657	1	9	5	3
184912325	1	10	5	2
185290382	1	3	5	3
186532555	1	6	5	1
186658563	1	2	5	1
187159497	1	5	5	1
188784643	1	7	5	1
190917938	1	8	5	4
193536674	1	4	5	2
211284511	1	7	6	1
214033398	1	5	6	1
214412549	1	4	6	2
217283171	1	6	6	1
218792520	1	8	6	4
221290260	1	3	6	3
222159166	1	2	6	1
223661826	1	10	6	2
223790944	1	9	6	3
241659402	1	7	7	1
242544729	1	8	7	4
243661529	1	4	7	2
243782556	1	6	7	1
245158018	1	5	7	1
245289399	1	3	7	3
248786688	1	10	7	2
255408562	1	2	7	1
272793767	1	8	8	4
273415089	1	3	8	3
273532753	1	2	8	1
276158988	1	6	8	1
278784061	1	5	8	1
281040040	1	9	8	3
282287180	1	4	8	2
285037221	1	10	8	2
285532840	1	7	8	1
301669137	1	8	9	4
302159446	1	5	9	1
302291181	1	9	9	3
302658464	1	2	9	1
309411869	1	10	9	2
310534566	1	6	9	1
310658987	1	7	9	1
337040270	1	9	10	3
338283019	1	5	10	1
339793404	1	8	10	4
341659248	1	6	10	1
341906749	1	7	10	1
345534712	1	2	10	1
346036633	1	10	10	2
362287366	1	4	11	2
363037855	1	10	11	2
363281862	1	2	11	1
364165740	1	9	11	3
365033600	1	6	11	1
365168602	1	8	11	4
366541050	1	3	11	3
369033715	1	5	11	1
371659780	1	7	11	1
392783683	1	7	12	1
393034872	1	2	12	1
395534779	1	5	12	1
396034257	1	6	12	1
397295103	1	8	12	4
398411838	1	10	12	2
398789978	1	9	12	3
404412925	1	4	12	2
405290616	1	3	12	3
422657884	1	6	13	1
423540564	1	9	13	3
425656811	1	7	13	1
426161290	1	10	13	2
428408666	1	5	13	1
431416529	1	8	13	4
432162987	1	4	13	2
432533716	1	2	13	1
434291664	1	3	13	3
451034611	1	2	14	1
451533514	1	7	14	1
453418800	1	8	14	4
458533282	1	5	14	1
460658632	1	6	14	1
460909848	1	4	14	2
463039973	1	9	14	3
464665412	1	3	14	3
464912281	1	10	14	2
482159309	1	5	15	1
483414858	1	3	15	3
483537342	1	4	15	2
484034633	1	6	15	1
486408715	1	7	15	1
489408555	1	2	15	1
491661657	1	10	15	2
493539471	1	9	15	3
494919009	1	8	15	4
512538166	1	9	16	3
513290181	1	3	16	3
518036747	1	4	16	2
518659633	1	6	16	1
521284798	1	2	16	1
522159206	1	7	16	1
522292608	1	8	16	4
522661656	1	10	16	2
525158019	1	5	16	1
540914471	1	9	17	3
542536650	1	4	17	2
542783713	1	5	17	1
543535204	1	7	17	1
545533697	1	6	17	1
547667814	1	8	17	4
548164489	1	3	17	3
551412402	1	10	17	2
554159339	1	2	17	1
571040043	1	3	18	3
571919359	1	8	18	4
572662148	1	10	18	2
573657995	1	2	18	1
578282912	1	6	18	1
581534204	1	7	18	1
583408715	1	5	18	1
584537342	1	4	18	2
585539438	1	9	18	3
600915026	1	9	19	3
601912855	1	10	19	2
602032879	1	5	19	1
602281749	1	7	19	1
602790984	1	3	19	3
603159320	1	2	19	1
612158067	1	6	19	1
613920005	1	8	19	4
615912307	1	4	19	2
631665564	1	9	20	3
632033691	1	6	20	1
634411352	1	10	20	2
638909640	1	2	20	1
640911079	1	4	20	2
642666413	1	3	20	3
642909714	1	5	20	1
643294078	1	8	20	4
644408466	1	7	20	1
661165913	1	9	21	3
664032947	1	5	21	1
665163307	1	3	21	3
666408763	1	2	21	1
670409201	1	7	21	1
673537149	1	10	21	2
675534779	1	6	21	1
693038437	1	10	22	2
693409749	1	2	22	1
696907993	1	7	22	1
702666022	1	3	22	3
702784303	1	5	22	1
703787987	1	4	22	2
704419629	1	8	22	4
705039810	1	9	22	3
705282844	1	6	22	1
723040794	1	3	23	3
726534124	1	6	23	1
729659265	1	2	23	1
729786545	1	4	23	2
729918798	1	10	23	2
730543106	1	8	23	4
732034724	1	5	23	1
734288228	1	9	23	3
734533558	1	7	23	1
753039857	1	3	24	3
757669290	1	8	24	4
761411582	1	4	24	2
761907871	1	7	24	1
762408018	1	2	24	1
762914534	1	9	24	3
763158599	1	6	24	1
765033691	1	5	24	1
765162856	1	10	24	2
780907850	1	5	25	1
783037721	1	4	25	2
785164975	1	3	25	3
787915611	1	9	25	3
790656829	1	6	25	1
792168992	1	8	25	4
793784640	1	7	25	1
794536632	1	10	25	2
795284730	1	2	25	1
812032798	1	6	26	1
815034215	1	5	26	1
815169085	1	8	26	4
816662756	1	10	26	2
817039827	1	3	26	3
820289809	1	9	26	3
822034232	1	2	26	1
823912422	1	4	26	2
825533034	1	7	26	1
843044059	1	8	27	4
844409226	1	6	27	1
846286114	1	4	27	2
847033021	1	5	27	1
849283510	1	7	27	1
853662149	1	10	27	2
853916527	1	9	27	3
854157993	1	2	27	1
854915104	1	3	27	3
873037423	1	4	28	2
875412023	1	10	28	2
876668089	1	8	28	4
879784639	1	6	28	1
880159171	1	7	28	1
880784116	1	2	28	1
881538246	1	3	28	3
883790163	1	9	28	3
885409663	1	5	28	1
904542759	1	8	29	4
904784872	1	2	29	1
909782992	1	7	29	1
911286117	1	4	29	2
912409449	1	6	29	1
912656845	1	5	29	1
914040720	1	3	29	3
914539471	1	9	29	3
916162382	1	10	29	2
930783563	1	7	30	1
931293091	1	8	30	4
931907994	1	5	30	1
933290781	1	9	30	3
936158514	1	2	30	1
936541605	1	3	30	3
940533672	1	6	30	1
941661577	1	4	30	2
942784987	1	10	30	2
962790618	1	3	31	3
964159562	1	7	31	1
964668907	1	8	31	4
964909340	1	2	31	1
968038060	1	10	31	2
972534984	1	4	31	2
973789535	1	9	31	3
974034521	1	6	31	1
974159162	1	5	31	1
992786614	1	4	32	2
997415666	1	3	32	3
1000534599	1	5	32	1
1001162789	1	10	32	2
1003043464	1	8	32	4
1003408019	1	2	32	1
1003908480	1	7	32	1
1005908134	1	6	32	1
1021293394	1	8	33	4
1022284289	1	2	33	1
1023537580	1	4	33	2
1026290805	1	9	33	3
1030164490	1	3	33	3
1030285122	1	5	33	1
1031282972	1	6	33	1
1033286979	1	10	33	2
1034031685	1	7	33	1
1053908663	1	5	34	1
1054419061	1	8	34	4
1055532994	1	7	34	1
1058287370	1	4	34	2
1058537311	1	10	34	2
1061040181	1	3	34	3
1062532993	1	2	34	1
1062656762	1	6	34	1
1065539599	1	9	34	3
1082032845	1	6	35	1
1086158716	1	2	35	1
1088664579	1	9	35	3
1089786579	1	4	35	2
1091784718	1	5	35	1
1092787994	1	10	35	2
1092918638	1	8	35	4
1092939947	1	3	35	3
1117537423	1	4	36	2
1118665219	1	3	36	3
1120159712	1	7	36	1
1122793465	1	8	36	4
1122912788	1	10	36	2
1123784599	1	5	36	1
1124159790	1	2	36	1
1124284242	1	6	36	1
1125291276	1	9	36	3
1141912855	1	10	37	2
1143415226	1	9	37	3
1148035058	1	6	37	1
1149293161	1	8	37	4
1152533715	1	2	37	1
1153534663	1	7	37	1
1153783716	1	5	37	1
1177033663	1	6	38	1
1179668352	1	8	38	4
1180284657	1	2	38	1
1183282487	1	5	38	1
1183411907	1	4	38	2
1183916369	1	9	38	3
1184283415	1	7	38	1
1186286634	1	10	38	2
1201534186	1	6	39	1
1203286545	1	4	39	2
1204664956	1	9	39	3
1207412893	1	10	39	2
1208409265	1	7	39	1
1208533638	1	5	39	1
1208915617	1	3	39	3
1211284328	1	2	39	1
1214916529	1	8	39	4
1231040977	1	9	40	3
1232033921	1	2	40	1
1234159287	1	6	40	1
1235412366	1	10	40	2
1238160189	1	5	40	1
1240043393	1	8	40	4
1241161776	1	4	40	2
1241415797	1	3	40	3
1241907993	1	7	40	1
1263782977	1	5	41	1
1265915826	1	3	41	3
1266032993	1	6	41	1
1266162328	1	4	41	2
1267543914	1	8	41	4
1268412249	1	10	41	2
1270784033	1	7	41	1
1273416528	1	9	41	3
1273908016	1	2	41	1
1291540741	1	9	42	3
1294914897	1	3	42	3
1295159779	1	5	42	1
1301161949	1	10	42	2
1301661125	1	4	42	2
1302544426	1	8	42	4
1303784520	1	6	42	1
1304032937	1	7	42	1
1305534116	1	2	42	1
1322540410	1	9	43	3
1323658518	1	2	43	1
1324670005	1	8	43	4
1325914853	1	3	43	3
1327534711	1	7	43	1
1329657978	1	6	43	1
1333662593	1	4	43	2
1334409303	1	5	43	1
1335912467	1	10	43	2
1350910197	1	2	44	1
1352659229	1	5	44	1
1353789917	1	3	44	3
1353909287	1	6	44	1
1356666107	1	9	44	3
1357533523	1	7	44	1
1360291503	1	8	44	4
1362912925	1	4	44	2
1365411287	1	10	44	2
1381658522	1	7	45	1
1384414879	1	9	45	3
1384534716	1	6	45	1
1387033018	1	2	45	1
1393665720	1	3	45	3
1412412779	1	4	46	2
1413409169	1	7	46	1
1413664310	1	9	46	3
1414034809	1	2	46	1
1414283663	1	5	46	1
1415161949	1	10	46	2
1416167900	1	8	46	4
1422291019	1	3	46	3
1425782638	1	6	46	1
1441158993	1	7	47	1
1444906699	1	6	47	1
1446658022	1	5	47	1
1449666245	1	3	47	3
1449916013	1	9	47	3
1452911171	1	10	47	2
1453908714	1	2	47	1
1454037375	1	4	47	2
1455293206	1	8	47	4
1474533622	1	7	48	1
1475284918	1	10	48	2
1476041642	1	9	48	3
1478031699	1	6	48	1
1479291020	1	3	48	3
1481662304	1	4	48	2
1482034855	1	5	48	1
1482409339	1	2	48	1
1483544117	1	8	48	4
1503284598	1	5	49	1
1506541083	1	3	49	3
1507036633	1	10	49	2
1508033655	1	7	49	1
1511158437	1	6	49	1
1511918610	1	8	49	4
1512041035	1	9	49	3
1531669367	1	8	50	4
1532415740	1	9	50	3
1532662935	1	10	50	2
1534033558	1	7	50	1
1534907742	1	6	50	1
1537034342	1	2	50	1
1538789760	1	3	50	3
1543409984	1	4	50	2
1543534712	1	5	50	1
1561034340	1	2	51	1
1562036924	1	10	51	2
1562284641	1	6	51	1
1562790107	1	3	51	3
1568783493	1	7	51	1
1568914985	1	9	51	3
1569291504	1	8	51	4
1571533691	1	5	51	1
1572536376	1	4	51	2
1591414810	1	9	52	3
1591664829	1	3	52	3
1593533569	1	2	52	1
1595537837	1	4	52	2
