time	dest	src	seqn
30847087	1	6	0
34137935	1	5	0
34709936	1	4	0
37253447	1	7	0
37910128	1	3	0
40859302	1	10	0
43367246	1	2	0
44499721	1	8	0
44915818	1	9	0
61612823	1	7	1
64837332	1	9	1
65935141	1	5	1
69694266	1	4	1
71022828	1	8	1
74081582	1	3	1
74093678	1	10	1
74456463	1	6	1
75476622	1	2	1
92053641	1	4	2
94456619	1	7	2
94800259	1	6	2
96007157	1	8	2
98128789	1	3	2
101606684	1	5	2
103945553	1	10	2
104634567	1	9	2
104960997	1	2	2
123788062	1	4	3
124820418	1	2	3
126937134	1	8	3
130050332	1	3	3
130534588	1	6	3
131153889	1	5	3
132116826	1	10	3
132306082	1	9	3
134940948	1	7	3
151853318	1	9	4
154575523	1	5	4
154643963	1	6	4
155164303	1	10	4
156800323	1	7	4
156847537	1	3	4
157210282	1	8	4
160054747	1	2	4
162897391	1	4	4
182872730	1	5	5
186664122	1	2	5
189034698	1	7	5
190703267	1	8	5
192274832	1	9	5
193128338	1	6	5
193381766	1	4	5
194085576	1	10	5
196066287	1	3	5
211644073	1	7	6
214241141	1	4	6
216487921	1	3	6
217883056	1	10	6
220044184	1	5	6
220572067	1	9	6
223648497	1	2	6
223788453	1	8	6
224987713	1	6	6
241743582	1	9	7
243091391	1	5	7
243475516	1	4	7
244007918	1	2	7
245578052	1	10	7
245651696	1	7	7
245785037	1	3	7
246343384	1	8	7
250222088	1	6	7
271108950	1	4	8
272382157	1	8	8
272483135	1	10	8
272742293	1	2	8
272886968	1	7	8
273355611	1	6	8
274012934	1	5	8
279907355	1	9	8
281885980	1	3	8
300812134	1	8	9
301810227	1	5	9
301851668	1	2	9
302105718	1	7	9
305620401	1	3	9
305777065	1	6	9
306016776	1	9	9
309530493	1	4	9
315078053	1	10	9
332062579	1	10	10
333481836	1	5	10
334827938	1	4	10
337027327	1	7	10
337729882	1	3	10
339585434	1	8	10
340074422	1	6	10
342336149	1	2	10
342501257	1	9	10
366316100	1	7	11
368509721	1	9	11
368820447	1	10	11
368925484	1	3	11
369029467	1	5	11
371245967	1	6	11
372195524	1	2	11
373999395	1	4	11
374781124	1	8	11
392992023	1	10	12
393181234	1	9	12
395293174	1	6	12
395429899	1	2	12
397046600	1	4	12
401929230	1	8	12
402175475	1	7	12
403722689	1	3	12
405450586	1	5	12
423214805	1	6	13
425039503	1	10	13
426409850	1	7	13
428797079	1	8	13
429394234	1	3	13
431039274	1	2	13
431968145	1	4	13
432728469	1	9	13
435747791	1	5	13
451941439	1	3	14
458919336	1	5	14
459011922	1	6	14
460765350	1	4	14
461218624	1	8	14
462019225	1	7	14
462023649	1	2	14
463204382	1	9	14
463960727	1	10	14
482188757	1	9	15
482362984	1	3	15
483116684	1	8	15
483436983	1	4	15
485597240	1	6	15
490758205	1	10	15
491117399	1	2	15
493966541	1	5	15
494003600	1	7	15
510548132	1	9	16
514888086	1	5	16
518097350	1	7	16
519734581	1	8	16
520190990	1	6	16
521429477	1	10	16
522984100	1	4	16
523660191	1	3	16
524226774	1	2	16
543550365	1	6	17
543711195	1	2	17
543831734	1	3	17
547976955	1	10	17
548685291	1	5	17
550405645	1	4	17
552444855	1	8	17
555206725	1	7	17
555282507	1	9	17
571391882	1	9	18
572398227	1	10	18
573879027	1	3	18
576124964	1	8	18
578284740	1	6	18
578691100	1	7	18
579570524	1	2	18
579904041	1	5	18
585702850	1	4	18
600866977	1	10	19
601804944	1	2	19
601874395	1	4	19
607550475	1	7	19
608800484	1	3	19
611325586	1	5	19
613147980	1	8	19
613384719	1	9	19
613394115	1	6	19
631597691	1	3	20
632390741	1	8	20
632878535	1	6	20
634784850	1	7	20
636914455	1	10	20
638622793	1	5	20
642414274	1	2	20
644921600	1	4	20
645056234	1	9	20
660842902	1	4	21
662394271	1	7	21
663448632	1	3	21
665758024	1	2	21
667491775	1	8	21
671737865	1	6	21
672835728	1	10	21
673970007	1	9	21
674794336	1	5	21
691972286	1	6	22
693131963	1	4	22
699633205	1	10	22
701841541	1	5	22
702375831	1	2	22
702579382	1	9	22
702683007	1	3	22
704609579	1	8	22
705378600	1	7	22
722763086	1	5	23
724819809	1	8	23
727590316	1	9	23
728292382	1	3	23
728581615	1	6	23
728991293	1	4	23
730304478	1	10	23
734737975	1	7	23
735297376	1	2	23
754472395	1	7	24
758276757	1	3	24
759565990	1	6	24
759923132	1	9	24
760999874	1	8	24
761225668	1	4	24
761560293	1	5	24
762094583	1	2	24
764851955	1	10	24
782581771	1	7	25
782835043	1	4	25
786546991	1	8	25
787657507	1	9	25
787766126	1	2	25
789231836	1	5	25
789636178	1	3	25
790925365	1	6	25
793273227	1	10	25
812659786	1	6	26
813066146	1	7	26
818370507	1	3	26
820789274	1	2	26
821541048	1	8	26
821766882	1	9	26
823570707	1	10	26
823819418	1	4	26
825779043	1	5	26
843437286	1	8	27
844773649	1	2	27
845741977	1	10	27
846178793	1	4	27
847200586	1	5	27
847925475	1	7	27
852479882	1	3	27
852769115	1	6	27
855251257	1	9	27
872913213	1	4	28
874159895	1	7	28
874710434	1	8	28
876133024	1	2	28
880253490	1	6	28
882789455	1	10	28
883497791	1	5	28
883964257	1	3	28
885110632	1	9	28
902823632	1	3	29
903203243	1	8	29
908345052	1	9	29
908769225	1	7	29
910710727	1	10	29
911022543	1	4	29
911112865	1	6	29
912669336	1	5	29
912867399	1	2	29
931347241	1	6	30
933058008	1	3	30
934976775	1	2	30
937593830	1	10	30
938954429	1	9	30
940874965	1	8	30
941506919	1	4	30
941753601	1	7	30
945716544	1	5	30
961638087	1	5	31
965938803	1	9	31
969956616	1	6	31
970667383	1	3	31
971203205	1	10	31
972366294	1	4	31
972897980	1	8	31
973461150	1	2	31
974112976	1	7	31
991140742	1	8	32
992320570	1	2	32
992600669	1	4	32
998298250	1	9	32
998699423	1	6	32
999651758	1	3	32
1000187580	1	10	32
1000435292	1	5	32
1005847351	1	7	32
1022546955	1	10	33
1022956772	1	7	33
1023210090	1	4	33
1026106837	1	5	33
1028011133	1	3	33
1030312375	1	8	33
1032554900	1	2	33
1033870968	1	6	33
1035032508	1	9	33
1053141883	1	9	34
1056164275	1	2	34
1056441101	1	7	34
1057654042	1	5	34
1058194419	1	4	34
1060745508	1	3	34
1062281330	1	10	34
1064085435	1	8	34
1064918173	1	6	34
1087664456	1	10	35
1087839718	1	6	35
1089553794	1	4	35
1091337485	1	9	35
1091628940	1	3	35
1092281125	1	8	35
1093300476	1	7	35
1094148650	1	2	35
1096075587	1	5	35
1115550573	1	3	36
1116534851	1	7	36
1116636923	1	6	36
1117288169	1	4	36
1119429230	1	8	36
1119585728	1	10	36
1121134722	1	9	36
1122508025	1	2	36
1123372792	1	5	36
1142019235	1	3	37
1142544425	1	5	37
1145296992	1	8	37
1148383206	1	10	37
1149308468	1	6	37
1150144226	1	7	37
1150242400	1	2	37
1150671601	1	4	37
1153806235	1	9	37
1171128601	1	7	38
1175353472	1	9	38
1176591542	1	5	38
1177257310	1	8	38
1179566528	1	3	38
1179593146	1	4	38
1180855673	1	6	38
1181054478	1	10	38
1181351775	1	2	38
1200774985	1	9	39
1201513087	1	5	39
1204487976	1	7	39
1209616685	1	8	39
1211390351	1	4	39
1211601956	1	10	39
1212277218	1	6	39
1214695525	1	2	39
1215987985	1	3	39
1231023227	1	10	40
1231574422	1	6	40
1233310379	1	5	40
1235061983	1	4	40
1236026757	1	3	40
1237187462	1	8	40
1243929899	1	2	40
