time	dest	src	seqn	hops
31326947	1	6	0	1
33484510	1	2	0	1
33546240	1	5	0	1
34268143	1	4	0	2
37803792	1	3	0	3
41736753	1	10	0	2
42139196	1	7	0	1
44524545	1	8	0	4
45178651	1	9	0	3
62545722	1	2	1	1
65084133	1	9	1	3
65359864	1	5	1	1
68057048	1	8	1	4
69237892	1	4	1	2
74395813	1	3	1	3
74955558	1	6	1	1
75018042	1	10	1	2
75172198	1	7	1	1
91611840	1	4	2	2
95146398	1	3	2	3
95920977	1	6	2	1
96025051	1	8	2	4
97453057	1	2	2	1
97580542	1	10	2	2
99107839	1	7	2	1
101014991	1	5	2	1
104897428	1	9	2	3
123239502	1	3	3	3
123331784	1	4	3	2
123891056	1	7	3	1
124578926	1	10	3	2
125297011	1	6	3	1
126962426	1	8	3	4
130578580	1	5	3	1
132552555	1	9	3	3
134264455	1	2	3	1
152116152	1	9	4	3
152921883	1	2	4	1
153983853	1	5	4	1
154740222	1	3	4	3
154924253	1	10	4	2
157244614	1	8	4	4
161014511	1	6	4	1
162455492	1	4	4	2
164576745	1	7	4	1
181675103	1	10	5	2
182109716	1	7	5	1
182297344	1	5	5	1
182585583	1	3	5	3
185140573	1	6	5	1
186515622	1	2	5	1
188555311	1	8	5	4
192521266	1	9	5	3
192925458	1	4	5	2
213545594	1	7	6	1
213799333	1	4	6	2
217083858	1	9	6	3
218768003	1	10	6	2
219428649	1	3	6	3
219452491	1	5	6	1
221890556	1	2	6	1
224399646	1	8	6	4
225482020	1	6	6	1
242516104	1	5	7	1
242828579	1	7	7	1
243019165	1	4	7	2
246369189	1	8	7	4
249266358	1	10	7	2
250702109	1	6	7	1
252428678	1	9	7	3
255201904	1	2	7	1
255959923	1	3	7	3
272745142	1	8	8	4
273359445	1	2	8	1
273421380	1	5	8	1
276396250	1	3	8	3
279014144	1	7	8	1
280177179	1	9	8	3
280358192	1	6	8	1
281642360	1	4	8	2
286111821	1	10	8	2
301234855	1	5	9	1
302047306	1	7	9	1
302420703	1	2	9	1
303393167	1	10	9	2
304295698	1	6	9	1
305679338	1	3	9	3
306272402	1	9	9	3
307673857	1	4	9	2
310869616	1	8	9	4
332669480	1	6	10	1
332890054	1	5	10	1
333959380	1	9	10	3
334362665	1	4	10	2
336983189	1	7	10	1
339586686	1	8	10	4
341773120	1	3	10	3
345328255	1	2	10	1
345955860	1	10	10	2
361390149	1	6	11	1
362956564	1	10	11	2
363139611	1	2	11	1
364650697	1	8	11	4
365521756	1	3	11	3
368453803	1	5	11	1
368773236	1	9	11	3
373547826	1	4	11	2
373766217	1	7	11	1
392797182	1	2	12	1
393427758	1	9	12	3
395275000	1	8	12	4
396580659	1	4	12	2
397616985	1	3	12	3
398299548	1	10	12	2
400451905	1	7	12	1
400513292	1	6	12	1
404859059	1	5	12	1
422050493	1	10	13	2
428984933	1	7	13	1
429900478	1	8	13	4
431516576	1	4	13	2
432358425	1	2	13	1
432991393	1	9	13	3
435172554	1	5	13	1
454076989	1	2	14	1
454859678	1	6	14	1
456710338	1	9	14	3
456960620	1	3	14	3
458327629	1	5	14	1
460299621	1	4	14	2
461420757	1	7	14	1
462524186	1	8	14	4
463143227	1	10	14	2
481641511	1	10	15	2
482703757	1	7	15	1
482988064	1	4	15	2
486930933	1	8	15	4
490234506	1	2	15	1
492864961	1	9	15	3
493391304	1	5	15	1
510928758	1	9	16	3
512703733	1	6	16	1
514296556	1	5	16	1
515952605	1	7	16	1
516295837	1	2	16	1
516681131	1	8	16	4
520487010	1	10	16	2
522518346	1	4	16	2
525804486	1	3	16	3
541833992	1	9	17	3
541859988	1	7	17	1
543305584	1	8	17	4
547203309	1	2	17	1
548110017	1	5	17	1
549737824	1	10	17	2
549954144	1	4	17	2
550671280	1	6	17	1
554802691	1	3	17	3
572765054	1	5	18	1
573014748	1	2	18	1
574044478	1	6	18	1
576641157	1	7	18	1
578363280	1	10	18	2
583677669	1	9	18	3
583806394	1	8	18	4
585148120	1	3	18	3
585237058	1	4	18	2
601422760	1	4	19	2
602399203	1	8	19	4
603770965	1	3	19	3
608672057	1	2	19	1
608765187	1	6	19	1
609328770	1	5	19	1
611331949	1	10	19	2
612326841	1	7	19	1
615302669	1	9	19	3
632674759	1	10	20	2
633859985	1	7	20	1
636233337	1	2	20	1
638677816	1	3	20	3
640733939	1	5	20	1
641866365	1	9	20	3
643888422	1	6	20	1
644243955	1	8	20	4
644455775	1	4	20	2
660391510	1	4	21	2
661491927	1	3	21	3
663358966	1	6	21	1
664295780	1	7	21	1
664422759	1	10	21	2
664640817	1	2	21	1
668047556	1	5	21	1
674556458	1	8	21	4
675271082	1	9	21	3
696952086	1	2	22	1
700578757	1	7	22	1
702234637	1	6	22	1
702585077	1	9	22	3
703146471	1	3	22	3
703518226	1	10	22	2
704202755	1	5	22	1
704682830	1	8	22	4
705174547	1	4	22	2
722452500	1	6	23	1
722740317	1	9	23	3
723019313	1	10	23	2
725708405	1	3	23	3
726557085	1	8	23	4
726764346	1	7	23	1
726862849	1	4	23	2
729109634	1	2	23	1
731266267	1	5	23	1
752171124	1	5	24	1
757927778	1	9	24	3
758177115	1	3	24	3
759078387	1	6	24	1
759862052	1	10	24	2
760393243	1	4	24	2
761797467	1	7	24	1
762170808	1	2	24	1
763557133	1	8	24	4
784274389	1	8	25	4
788178071	1	3	25	3
790046465	1	6	25	1
790828941	1	4	25	2
790985016	1	5	25	1
792022643	1	9	25	3
794733091	1	7	25	1
795078409	1	2	25	1
795110328	1	10	25	2
816112093	1	4	26	2
816713171	1	8	26	4
818640192	1	5	26	1
819523236	1	3	26	3
820516119	1	7	26	1
820705757	1	10	26	2
821419604	1	6	26	1
821889586	1	2	26	1
825521506	1	9	26	3
846431379	1	8	27	4
847201841	1	7	27	1
847547133	1	2	27	1
848271472	1	3	27	3
853297894	1	4	27	2
854547057	1	6	27	1
854706813	1	10	27	2
855203767	1	5	27	1
855366327	1	9	27	3
871088450	1	8	28	4
873108172	1	2	28	1
876452025	1	6	28	1
876609007	1	5	28	1
878614962	1	9	28	3
881330775	1	4	28	2
882364716	1	3	28	3
884734898	1	7	28	1
886049476	1	10	28	2
901266113	1	6	29	1
904494357	1	8	29	4
904578347	1	2	29	1
905269040	1	4	29	2
908800630	1	10	29	2
909210008	1	9	29	3
912170585	1	7	29	1
912922516	1	5	29	1
913865447	1	3	29	3
932699527	1	6	30	1
932741086	1	3	30	3
935920837	1	2	30	1
936209057	1	9	30	3
941932134	1	8	30	4
941956500	1	10	30	2
942077756	1	5	30	1
944049597	1	4	30	2
945453733	1	7	30	1
961827545	1	6	31	1
962959899	1	3	31	3
968553828	1	9	31	3
968672396	1	7	31	1
968734057	1	5	31	1
970337380	1	8	31	4
971924594	1	4	31	2
972672098	1	2	31	1
973391647	1	10	31	2
992144361	1	4	32	2
994764540	1	2	32	1
1000391258	1	7	32	1
1003860008	1	5	32	1
1004237132	1	10	32	2
1005429133	1	9	32	3
1005556049	1	8	32	4
1022768415	1	4	33	2
