time	dest	src	seqn
30447637	1	6	0
33740137	1	5	0
34433398	1	4	0
37033834	1	3	0
38186031	1	2	0
38918039	1	10	0
41759916	1	9	0
44527120	1	8	0
45405883	1	7	0
64545479	1	2	1
65537011	1	5	1
67533063	1	9	1
69417728	1	4	1
70827759	1	7	1
71050269	1	8	1
71777415	1	10	1
73205288	1	3	1
74057013	1	6	1
91725907	1	7	2
91777103	1	4	2
92017438	1	9	2
92793076	1	8	2
95041388	1	6	2
97252163	1	3	2
101208886	1	5	2
103279782	1	2	2
105011790	1	10	2
120799822	1	6	3
122144892	1	10	3
122478436	1	3	3
122662973	1	2	3
122847705	1	4	3
123122659	1	5	3
132296509	1	7	3
134011496	1	8	3
135525540	1	9	3
150894580	1	4	4
154569703	1	7	4
157237769	1	8	4
157584759	1	2	4
159174038	1	3	4
159646386	1	5	4
161566767	1	10	4
162728888	1	6	4
164876813	1	9	4
183053598	1	2	5
184919534	1	5	5
185970913	1	3	5
186816455	1	4	5
187704938	1	9	5
191722144	1	8	5
194588263	1	6	5
194734009	1	7	5
194864247	1	10	5
211412011	1	5	6
211613330	1	4	6
212280972	1	7	6
218581519	1	8	6
218642788	1	3	6
219822638	1	6	6
221463400	1	9	6
223035517	1	10	6
225319466	1	2	6
242634915	1	9	7
243000333	1	7	7
243083886	1	5	7
243491098	1	2	7
245611627	1	3	7
246949084	1	8	7
247285205	1	4	7
249293040	1	10	7
249432013	1	6	7
271764157	1	2	8
272409644	1	8	8
273386790	1	10	8
273442245	1	6	8
274908743	1	3	8
277681790	1	9	8
277792728	1	4	8
279107034	1	5	8
280944657	1	7	8
301775763	1	6	9
302668076	1	8	9
304551248	1	4	9
306522782	1	7	9
306908063	1	9	9
311009686	1	3	9
312248532	1	2	9
315349841	1	5	9
315996165	1	10	9
330510290	1	6	10
332769242	1	8	10
332980692	1	10	10
334603920	1	9	10
338521538	1	5	10
342080440	1	3	10
342108059	1	2	10
342132309	1	7	10
343722857	1	4	10
363127315	1	3	11
363910669	1	10	11
364104040	1	6	11
365342434	1	2	11
366769732	1	4	11
368210434	1	7	11
369400780	1	9	11
370886648	1	8	11
373568413	1	5	11
394051558	1	6	12
394072567	1	9	12
395957632	1	10	12
398049278	1	3	12
398287163	1	5	12
400951809	1	2	12
401956717	1	8	12
403996005	1	4	12
405319809	1	7	12
425197790	1	6	13
428824148	1	8	13
428872811	1	5	13
431936184	1	2	13
432339755	1	4	13
432348169	1	10	13
432484161	1	7	13
432846065	1	3	13
433619442	1	9	13
451807165	1	6	14
452715067	1	10	14
456197338	1	3	14
457574130	1	4	14
458224995	1	5	14
459295559	1	2	14
459800421	1	8	14
460750116	1	7	14
464095715	1	9	14
481183505	1	4	15
483080090	1	9	15
484449488	1	10	15
485431758	1	3	15
486921661	1	7	15
489791540	1	6	15
491029934	1	2	15
492543230	1	8	15
494396538	1	5	15
511439465	1	9	16
513150961	1	6	16
517334911	1	2	16
520129107	1	4	16
521443413	1	5	16
521968536	1	7	16
523754419	1	10	16
524714773	1	8	16
525041088	1	3	16
542283215	1	9	17
542421311	1	5	17
543131874	1	2	17
547885290	1	6	17
549761648	1	8	17
550551294	1	10	17
554025463	1	3	17
554890411	1	7	17
555426312	1	4	17
571767590	1	9	18
573013436	1	5	18
573311184	1	2	18
576683523	1	8	18
580527326	1	4	18
580687286	1	7	18
581223169	1	10	18
582994665	1	6	18
584384838	1	3	18
601597857	1	4	19
602955440	1	3	19
604690267	1	6	19
607069618	1	2	19
608038559	1	7	19
608834038	1	5	19
612472296	1	8	19
614275692	1	9	19
615136942	1	10	19
633331671	1	8	20
635119213	1	3	20
637487142	1	6	20
639241161	1	2	20
640746317	1	10	20
641866684	1	7	20
644644732	1	4	20
645380913	1	5	20
645947567	1	9	20
661159017	1	6	21
663002315	1	3	21
666152273	1	8	21
666802788	1	5	21
668714755	1	4	21
672288036	1	2	21
674191919	1	10	21
674226059	1	7	21
674861340	1	9	21
697924190	1	3	22
698843536	1	7	22
700949130	1	4	22
702271538	1	5	22
702494442	1	9	22
703699148	1	8	22
704489400	1	10	22
704705892	1	6	22
705209911	1	2	22
720721065	1	3	23
721127767	1	6	23
722558505	1	4	23
724159796	1	8	23
726660757	1	10	23
729765411	1	7	23
732006786	1	2	23
735318413	1	5	23
735916317	1	9	23
751240288	1	5	24
755589773	1	8	24
757678661	1	2	24
760234161	1	7	24
762392940	1	3	24
763213552	1	9	24
763542880	1	4	24
763707544	1	10	24
764425104	1	6	24
782260336	1	6	25
783202999	1	7	25
783225536	1	2	25
783385067	1	9	25
784939815	1	3	25
785902255	1	4	25
790037163	1	5	25
790489546	1	8	25
791629419	1	10	25
812500204	1	7	26
812944704	1	2	26
815565267	1	6	26
815709038	1	5	26
816355398	1	8	26
818511988	1	10	26
822361690	1	3	26
823472857	1	4	26
824431942	1	9	26
840362142	1	6	27
842658895	1	3	27
844671661	1	7	27
847255913	1	5	27
851519732	1	4	27
851941046	1	8	27
852253499	1	10	27
855116161	1	2	27
855150692	1	9	27
871034017	1	6	28
872830440	1	3	28
873822655	1	9	28
873996023	1	8	28
875441607	1	4	28
875640411	1	7	28
877163036	1	2	28
881105692	1	10	28
885677788	1	5	28
903465113	1	10	29
906628546	1	8	29
908299972	1	6	29
912553661	1	2	29
912974993	1	5	29
914238482	1	4	29
914369442	1	9	29
914596065	1	3	29
915616684	1	7	29
931947339	1	3	30
932146627	1	5	30
933100625	1	2	30
936511737	1	8	30
936546662	1	7	30
939189537	1	9	30
942089756	1	4	30
943199443	1	10	30
943471518	1	6	30
962181714	1	3	31
962324131	1	4	31
964222297	1	8	31
968308818	1	10	31
970522412	1	2	31
973515412	1	7	31
974419687	1	5	31
974518393	1	6	31
975923841	1	9	31
994033216	1	9	32
995984162	1	7	32
999791089	1	3	32
999904062	1	5	32
1000819617	1	2	32
1000902274	1	8	32
1001457233	1	4	32
1002004594	1	10	32
1005088416	1	6	32
1026236779	1	3	33
1028763437	1	5	33
1030316047	1	8	33
1031879108	1	4	33
1032228818	1	9	33
1032520045	1	10	33
1032991162	1	2	33
1034322791	1	6	33
1034952912	1	7	33
1052533896	1	3	34
1056038037	1	2	34
1056871112	1	8	34
1057176313	1	4	34
1059932166	1	6	34
1062025693	1	9	34
1063997812	1	5	34
1064351060	1	7	34
1065480693	1	10	34
1081168229	1	8	35
1082085481	1	7	35
1085916541	1	6	35
1087705529	1	3	35
1089277256	1	4	35
1092959912	1	2	35
1093607187	1	5	35
1093840068	1	10	35
1094697568	1	9	35
1113194856	1	7	36
1114574443	1	10	36
1114756787	1	2	36
1115220716	1	9	36
1117011631	1	4	36
1118591562	1	5	36
1120339774	1	8	36
1120752316	1	3	36
1121275987	1	6	36
1141666318	1	9	37
1143003547	1	8	37
1145457545	1	10	37
1147975537	1	2	37
1148010291	1	6	37
1150394733	1	4	37
1151950937	1	5	37
1151978589	1	3	37
1152687657	1	7	37
1171538560	1	7	38
1172683818	1	10	38
1174674191	1	3	38
1176179747	1	6	38
1179316608	1	4	38
1184021539	1	5	38
1185205091	1	9	38
1185386649	1	8	38
1185451810	1	2	38
1200866162	1	2	39
1204772935	1	7	39
1209471066	1	3	39
1209784018	1	6	39
1211113483	1	4	39
1212597343	1	8	39
1213564466	1	9	39
1214068414	1	5	39
1216168193	1	10	39
1231142940	1	3	40
1234382355	1	7	40
1234785357	1	4	40
1235330892	1	6	40
1236913036	1	2	40
1240152567	1	10	40
1240298885	1	9	40
1242990288	1	5	40
1244777361	1	8	40
1262332232	1	4	41
1263631786	1	2	41
1267284841	1	8	41
1267752767	1	6	41
1268125116	1	7	41
1268408215	1	9	41
1268689903	1	3	41
1268787163	1	5	41
1269871317	1	10	41
1292050062	1	6	42
1297214773	1	8	42
1297343536	1	7	42
1298459038	1	5	42
1299892636	1	9	42
1300754107	1	4	42
1304303661	1	2	42
1304855692	1	10	42
1305111690	1	3	42
1321751965	1	9	43
1322265411	1	7	43
1323285669	1	10	43
1324005913	1	5	43
1325051314	1	4	43
1325315774	1	6	43
1325627315	1	3	43
1333261648	1	8	43
1333850536	1	2	43
1353572567	1	9	44
1356385290	1	6	44
1356487921	1	8	44
1356826809	1	2	44
1357054184	1	7	44
1358353588	1	3	44
1362949442	1	10	44
1363982186	1	5	44
1364652255	1	4	44
1380811184	1	2	45
1383549190	1	3	45
1384183523	1	8	45
1384986340	1	9	45
1388190267	1	6	45
1390058817	1	10	45
1391222857	1	4	45
1392966561	1	5	45
1393913559	1	7	45
1411987230	1	6	46
1415831671	1	8	46
1417325936	1	5	46
1418281036	1	7	46
1418568622	1	10	46
1419170559	1	2	46
1421386630	1	4	46
1422595715	1	9	46
1423346065	1	3	46
1441402567	1	10	47
1441580090	1	9	47
1441659017	1	6	47
1446904934	1	2	47
1449060311	1	5	47
1449199236	1	8	47
1449702911	1	7	47
1452017940	1	3	47
1452496005	1	4	47
1471014309	1	2	48
1473205980	1	6	48
1475169686	1	5	48
1477000116	1	7	48
1478564815	1	3	48
1478939465	1	9	48
1479980380	1	4	48
1480659796	1	8	48
1481636942	1	10	48
1503498729	1	2	49
1503928051	1	4	49
1505218536	1	7	49
1506019217	1	8	49
1506673885	1	9	49
1507230692	1	10	49
1508666540	1	6	49
1508986690	1	3	49
1512654061	1	5	49
1531590068	1	10	50
1532025962	1	6	50
1534513483	1	5	50
1535074131	1	4	50
1536283896	1	3	50
1540783262	1	9	50
1541140412	1	7	50
1541358060	1	2	50
1545136649	1	8	50
1561937375	1	7	51
1563747857	1	5	51
1564267591	1	9	51
1564592435	1	2	51
1564760291	1	6	51
1566324488	1	10	51
1568455529	1	3	51
1569683506	1	4	51
1573347297	1	8	51
1591527274	1	8	52
1592126966	1	9	52
1592502316	1	3	52
1594869666	1	6	52
1595522935	1	7	52
1599357187	1	5	52
1599667881	1	4	52
1599918193	1	10	52
1600201810	1	2	52
1622728589	1	3	53
1629065268	1	6	53
1629156037	1	7	53
1631441093	1	8	53
1632302789	1	5	53
1632926313	1	4	53
1633447568	1	9	53
1634147412	1	2	53
1635926295	1	10	53
1652072339	1	3	54
1653600082	1	5	54
1658444617	1	2	54
1658862143	1	6	54
1661496024	1	8	54
1661994443	1	9	54
1662097858	1	4	54
1663476060	1	7	54
1665598170	1	10	54
1681616162	1	2	55
1682306714	1	3	55
1685144733	1	4	55
1688964774	1	8	55
1689605693	1	10	55
1692955091	1	9	55
1693210435	1	7	55
1693771539	1	5	55
1694534018	1	6	55
1714080981	1	6	56
1715663125	1	2	56
1716916135	1	3	56
1717804185	1	7	56
1721237922	1	8	56
1721818414	1	5	56
1724066608	1	4	56
1725885068	1	9	56
1726127873	1	10	56
1741502768	1	6	57
1743722297	1	8	57
1743863483	1	4	57
1747740289	1	5	57
1748900464	1	3	57
1751158216	1	9	57
1753004420	1	10	57
1755381787	1	2	57
1755897935	1	7	57
1775293239	1	10	58
1775507310	1	7	58
1776537164	1	5	58
1777214756	1	4	58
1778158896	1	3	58
1781971518	1	6	58
1784053662	1	2	58
1784853818	1	9	58
1785730399	1	8	58
