time	dest	src	seqn	hops
31211350	1	6	0	1
33963012	1	5	0	1
34339880	1	4	0	2
37967704	1	3	0	3
38461957	1	2	0	1
39091059	1	10	0	2
41967808	1	9	0	3
44711105	1	7	0	1
45096836	1	8	0	4
65088206	1	2	1	1
65712040	1	5	1	1
69340657	1	4	1	2
70211522	1	7	1	1
71596101	1	8	1	4
71715997	1	10	1	2
74093977	1	3	1	3
74835045	1	6	1	1
76343575	1	9	1	3
91088060	1	7	2	1
91585047	1	6	2	1
91714231	1	4	2	2
93471944	1	8	2	4
96092880	1	9	2	3
98467628	1	3	2	3
101462651	1	5	2	1
103462728	1	2	2	1
104964633	1	10	2	2
120841363	1	4	3	2
125837039	1	7	3	1
126966478	1	3	3	3
127972227	1	8	3	4
128091256	1	10	3	2
129711246	1	6	3	1
130961895	1	5	3	1
135836987	1	2	3	1
135969532	1	9	3	3
154460125	1	5	4	1
155715170	1	10	4	2
156715761	1	4	4	2
159096953	1	8	4	4
159592785	1	3	4	3
163467584	1	9	4	3
164461924	1	7	4	1
164836938	1	6	4	1
165087670	1	2	4	1
181591150	1	4	5	2
181963196	1	7	5	1
182711980	1	5	5	1
183094333	1	9	5	3
184963672	1	2	5	1
185090645	1	10	5	2
194347640	1	8	5	4
195335178	1	6	5	1
196094450	1	3	5	3
211716154	1	10	6	2
212336081	1	7	6	1
214216176	1	4	6	2
217470941	1	8	6	4
217719301	1	3	6	3
219837945	1	5	6	1
220212123	1	2	6	1
220586418	1	6	6	1
223969129	1	9	6	3
247847382	1	8	7	4
247964350	1	10	7	2
248586400	1	7	7	1
250212403	1	6	7	1
252212671	1	2	7	1
253342946	1	9	7	3
254719385	1	3	7	3
272972382	1	8	8	4
274089348	1	4	8	2
277588022	1	5	8	1
278463622	1	7	8	1
280462516	1	6	8	1
281718909	1	9	8	3
281969350	1	3	8	3
284965982	1	10	8	2
285588195	1	2	8	1
301344872	1	8	9	4
302214891	1	4	9	2
302842882	1	9	9	3
303712693	1	2	9	1
304462063	1	5	9	1
305718229	1	3	9	3
308839964	1	10	9	2
310961656	1	7	9	1
311586331	1	6	9	1
331338166	1	6	10	1
332211495	1	7	10	1
332712192	1	2	10	1
333337619	1	5	10	1
336466339	1	10	10	2
337844537	1	3	10	3
338094248	1	9	10	3
340223384	1	8	10	4
343964632	1	4	10	2
362963487	1	10	11	2
363465299	1	4	11	2
365344609	1	3	11	3
365847037	1	8	11	4
368837102	1	5	11	1
370587636	1	6	11	1
372461534	1	7	11	1
375712216	1	2	11	1
393461520	1	2	12	1
394718516	1	9	12	3
394837084	1	6	12	1
395463281	1	7	12	1
397092929	1	3	12	3
400466395	1	4	12	2
402597883	1	8	12	4
405335345	1	5	12	1
405963488	1	10	12	2
421337363	1	7	13	1
422964708	1	10	13	2
423212276	1	2	13	1
424838133	1	6	13	1
426341765	1	3	13	3
429346231	1	8	13	4
432341393	1	4	13	2
434341730	1	9	13	3
435587215	1	5	13	1
452587794	1	6	14	1
453342935	1	9	14	3
455722528	1	8	14	4
456212830	1	7	14	1
457589682	1	4	14	2
458338487	1	10	14	2
458713348	1	5	14	1
462713443	1	2	14	1
465969743	1	3	14	3
481090390	1	4	15	2
481844609	1	9	15	3
482089527	1	10	15	2
483837159	1	7	15	1
484463758	1	2	15	1
493836488	1	5	15	1
494463217	1	6	15	1
494969271	1	3	15	3
495220000	1	8	15	4
514713213	1	5	16	1
520086520	1	7	16	1
520587795	1	2	16	1
522598508	1	8	16	4
523215126	1	10	16	2
524088439	1	4	16	2
525344538	1	3	16	3
525587050	1	6	16	1
526344223	1	9	16	3
541716204	1	10	17	2
542093311	1	9	17	3
543841696	1	3	17	3
545461298	1	6	17	1
546336517	1	7	17	1
546586726	1	2	17	1
549721093	1	8	17	4
550464632	1	4	17	2
571590031	1	4	18	2
572216731	1	9	18	3
573462142	1	5	18	1
573586407	1	6	18	1
576093631	1	3	18	3
580466273	1	10	18	2
581338091	1	7	18	1
582970000	1	8	18	4
584336723	1	2	18	1
602213439	1	4	19	2
602712191	1	5	19	1
606722401	1	8	19	4
607587264	1	2	19	1
608213134	1	6	19	1
609715330	1	10	19	2
612219537	1	3	19	3
614212472	1	7	19	1
615092963	1	9	19	3
632088102	1	6	20	1
633336495	1	2	20	1
638338419	1	10	20	2
638462151	1	5	20	1
640088163	1	7	20	1
642594380	1	3	20	3
643339804	1	4	20	2
660463310	1	4	21	2
663468643	1	3	21	3
664722497	1	8	21	4
666712168	1	7	21	1
666835346	1	5	21	1
669087140	1	2	21	1
673468770	1	9	21	3
674591204	1	10	21	2
675210330	1	6	21	1
691714769	1	10	22	2
693086332	1	6	22	1
693593415	1	9	22	3
696588213	1	2	22	1
698098506	1	8	22	4
703343629	1	3	22	3
703961519	1	5	22	1
704211416	1	7	22	1
705341468	1	4	22	2
724466339	1	10	23	2
724962750	1	2	23	1
726221311	1	8	23	4
726965904	1	4	23	2
728718728	1	9	23	3
731712023	1	7	23	1
732719215	1	3	23	3
733088166	1	6	23	1
733336495	1	5	23	1
753212482	1	5	24	1
755842940	1	3	24	3
757338316	1	2	24	1
760465149	1	4	24	2
760586973	1	6	24	1
763590506	1	10	24	2
764717963	1	9	24	3
765962187	1	7	24	1
766097816	1	8	24	4
783091339	1	10	25	2
786215217	1	4	25	2
786847552	1	8	25	4
788338046	1	7	25	1
789462276	1	2	25	1
791463165	1	6	25	1
793343064	1	3	25	3
793463355	1	5	25	1
794594831	1	9	25	3
811711520	1	6	26	1
813593064	1	3	26	3
815839499	1	4	26	2
818087191	1	5	26	1
819587216	1	7	26	1
819841205	1	10	26	2
821597034	1	8	26	4
822461723	1	2	26	1
825344469	1	9	26	3
842588553	1	4	27	2
843844585	1	3	27	3
849468351	1	9	27	3
850335263	1	6	27	1
852211494	1	2	27	1
853337190	1	5	27	1
854096457	1	8	27	4
855089708	1	10	27	2
855211970	1	7	27	1
872587134	1	7	28	1
874336568	1	6	28	1
874847074	1	8	28	4
875844539	1	3	28	3
877962191	1	2	28	1
880094477	1	9	28	3
880841150	1	10	28	2
881464573	1	4	28	2
882463349	1	5	28	1
903463316	1	2	29	1
903961483	1	7	29	1
905341302	1	4	29	2
908719800	1	3	29	3
909712191	1	6	29	1
914715188	1	10	29	2
915586494	1	5	29	1
937972861	1	8	30	4
939469515	1	9	30	3
940212556	1	5	30	1
940719935	1	3	30	3
942463282	1	6	30	1
943712439	1	7	30	1
944216302	1	4	30	2
946090417	1	10	30	2
961973523	1	8	31	4
962091304	1	4	31	2
963213840	1	2	31	1
965960154	1	5	31	1
968839550	1	10	31	2
969718972	1	3	31	3
970463282	1	6	31	1
973838282	1	7	31	1
974593664	1	9	31	3
995097529	1	8	32	4
995336244	1	7	32	1
997462032	1	5	32	1
998094797	1	3	32	3
1001340150	1	4	32	2
1001965262	1	10	32	2
1002467814	1	9	32	3
1003962047	1	6	32	1
1005337277	1	2	32	1
1022840083	1	4	33	2
1027336522	1	2	33	1
1027718726	1	9	33	3
1028591630	1	3	33	3
1030086849	1	7	33	1
1031589551	1	10	33	2
1033471095	1	8	33	4
1035838214	1	6	33	1
1035960347	1	5	33	1
1051721367	1	8	34	4
1055465266	1	10	34	2
1057344541	1	9	34	3
1057463171	1	2	34	1
1057838506	1	4	34	2
1059463166	1	7	34	1
1061719540	1	3	34	3
1063212194	1	5	34	1
1065086519	1	6	34	1
1081968772	1	9	35	3
1082338282	1	5	35	1
1085716765	1	3	35	3
1089214638	1	4	35	2
1091585196	1	6	35	1
1092837155	1	2	35	1
1093711495	1	7	35	1
1096089512	1	10	35	2
1113722817	1	8	36	4
1116711397	1	6	36	1
1116965802	1	4	36	2
1118465224	1	10	36	2
1119344475	1	3	36	3
1122712871	1	2	36	1
1123461511	1	7	36	1
1123588142	1	5	36	1
1125467784	1	9	36	3
1146091850	1	4	37	2
1146338446	1	2	37	1
1147218738	1	3	37	3
1153347399	1	8	37	4
1153844401	1	9	37	3
1154087431	1	7	37	1
1154712052	1	5	37	1
1173468726	1	9	38	3
1178213590	1	7	38	1
1178836411	1	6	38	1
1179972063	1	8	38	4
1180086450	1	5	38	1
1181089721	1	10	38	2
1181469212	1	3	38	3
1183590171	1	4	38	2
1184337218	1	2	38	1
1203463420	1	10	39	2
1205464476	1	4	39	2
1207343104	1	9	39	3
1207838167	1	6	39	1
1208962709	1	5	39	1
1210222792	1	8	39	4
1210461849	1	7	39	1
1212094730	1	3	39	3
1212713417	1	2	39	1
