time	dest	src	seqn	hops
30541508	1	6	0	1
33697742	1	5	0	1
34513980	1	4	0	2
37329583	1	3	0	3
38573201	1	2	0	1
38668514	1	10	0	2
41547158	1	9	0	3
44832745	1	8	0	4
45071234	1	7	0	1
64915979	1	2	1	1
65509591	1	5	1	1
69482047	1	4	1	2
70479094	1	7	1	1
71362877	1	8	1	4
71544690	1	10	1	2
73517562	1	3	1	3
74133824	1	6	1	1
75579870	1	9	1	3
91790232	1	7	2	1
91857679	1	4	2	2
93112994	1	8	2	4
95135217	1	6	2	1
95516818	1	9	2	3
97704517	1	3	2	3
101166563	1	5	2	1
103667000	1	2	2	1
104762326	1	10	2	2
123576270	1	4	3	2
124477560	1	6	3	1
127388740	1	10	3	2
129486312	1	3	3	3
130728231	1	5	3	1
133426579	1	8	3	4
135008704	1	7	3	1
135296749	1	9	3	3
135759754	1	2	3	1
152171626	1	3	4	3
154135256	1	5	4	1
154356054	1	10	4	2
157550357	1	8	4	4
158916328	1	7	4	1
160229033	1	6	4	1
162701365	1	4	4	2
162985568	1	9	4	3
165260723	1	2	4	1
186888095	1	4	5	2
187239283	1	8	5	4
188955061	1	3	5	3
191697755	1	5	5	1
191891751	1	9	5	3
194102731	1	6	5	1
194638430	1	10	5	2
194695221	1	7	5	1
194759753	1	2	5	1
211040843	1	5	6	1
211670790	1	4	6	2
213416952	1	2	6	1
216571223	1	7	6	1
218894205	1	8	6	4
222794922	1	10	6	2
223484248	1	9	6	3
225010149	1	6	6	1
225485768	1	3	6	3
245917003	1	6	7	1
246106487	1	10	7	2
246140465	1	3	7	3
246978503	1	2	7	1
247269449	1	8	7	4
247357080	1	4	7	2
247485493	1	9	7	3
247794145	1	5	7	1
248789036	1	7	7	1
270889452	1	4	8	2
272768834	1	8	8	4
274884391	1	5	8	1
275385669	1	7	8	1
276510885	1	6	8	1
278575831	1	10	8	2
281328317	1	3	8	3
282385748	1	2	8	1
282829870	1	9	8	3
301144929	1	8	9	4
301759029	1	7	9	1
303040291	1	6	9	1
305046832	1	3	9	3
306262304	1	10	9	2
307382814	1	5	9	1
310579240	1	9	9	3
311888839	1	4	9	2
315697254	1	2	9	1
333854817	1	2	10	1
334228479	1	5	10	1
335447939	1	6	10	1
336672415	1	9	10	3
337266797	1	3	10	3
337854816	1	4	10	2
339926470	1	8	10	4
345479447	1	7	10	1
345763824	1	10	10	2
362731147	1	10	11	2
362916202	1	2	11	1
364232832	1	4	11	2
364641034	1	3	11	3
364925644	1	8	11	4
365479604	1	5	11	1
369759208	1	6	11	1
370603103	1	7	11	1
373173091	1	9	11	3
391948564	1	4	12	2
395015584	1	9	12	3
396073199	1	7	12	1
396516821	1	3	12	3
397581431	1	8	12	4
398107573	1	10	12	2
399072243	1	5	12	1
400916728	1	6	12	1
405823354	1	2	12	1
421825101	1	10	13	2
422292219	1	5	13	1
423634954	1	2	13	1
424267224	1	9	13	3
424977959	1	6	13	1
425734820	1	3	13	3
431551799	1	8	13	4
431946682	1	7	13	1
434076644	1	4	13	2
453288862	1	6	14	1
453353715	1	2	14	1
453544764	1	4	14	2
456167012	1	7	14	1
462863079	1	8	14	4
462950920	1	10	14	2
463392460	1	9	14	3
463540870	1	5	14	1
465360653	1	3	14	3
481418637	1	10	15	2
484040458	1	6	15	1
484448402	1	5	15	1
485829470	1	9	15	3
487207914	1	8	15	4
491790384	1	7	15	1
492420455	1	4	15	2
492853656	1	2	15	1
494328199	1	3	15	3
511260802	1	2	16	1
515291616	1	6	16	1
516987600	1	8	16	4
517109401	1	9	16	3
517636130	1	4	16	2
518259747	1	5	16	1
520295210	1	10	16	2
523760702	1	7	16	1
524704307	1	3	16	3
541264144	1	4	17	2
541884053	1	6	17	1
542914089	1	5	17	1
543644627	1	8	17	4
544572297	1	2	17	1
545422253	1	3	17	3
546134209	1	7	17	1
549543986	1	10	17	2
553297255	1	9	17	3
571328001	1	9	18	3
577854449	1	7	18	1
578138823	1	10	18	2
579478371	1	5	18	1
580729604	1	2	18	1
581548186	1	3	18	3
583634184	1	6	18	1
584019327	1	8	18	4
602259823	1	4	18	2
602330033	1	9	19	3
604456421	1	8	19	4
604791647	1	6	19	1
606791156	1	2	19	1
610607832	1	4	19	2
610883034	1	5	19	1
611106649	1	10	19	2
612015616	1	3	19	3
614977951	1	7	19	1
631017089	1	3	20	3
631548090	1	9	20	3
631666408	1	7	20	1
632323628	1	4	20	2
632738078	1	8	20	4
