time	dest	src	seqn
30526393	1	6	0
33948538	1	5	0
34394262	1	4	0
37435734	1	3	0
38235548	1	2	0
38893000	1	10	0
41488384	1	9	0
44273346	1	8	0
44961811	1	7	0
64594996	1	2	1
65745746	1	5	1
69378592	1	4	1
70383355	1	7	1
70796495	1	8	1
71752376	1	10	1
73607188	1	3	1
74135769	1	6	1
75535619	1	9	1
91680560	1	7	2
91737967	1	4	2
92539302	1	8	2
95120190	1	6	2
95457133	1	9	2
97654484	1	3	2
101417289	1	5	2
103329299	1	2	2
104986751	1	10	2
123472342	1	4	3
124479565	1	6	3
126984041	1	8	3
127596126	1	10	3
129575938	1	3	3
130964494	1	5	3
131852105	1	7	3
135254368	1	9	3
135438674	1	2	3
154386128	1	5	4
154580501	1	10	4
159044688	1	3	4
160213894	1	6	4
160476890	1	8	4
162581717	1	4	4
162925883	1	9	4
164899310	1	7	4
164923049	1	2	4
182473119	1	9	5
182683335	1	5	5
184323269	1	6	5
184782470	1	2	5
184939964	1	10	5
188820855	1	7	5
193066092	1	4	5
193562120	1	8	5
195591893	1	3	5
211674251	1	10	6
213618148	1	7	6
213925467	1	4	6
215816078	1	6	6
216013527	1	3	6
216117097	1	8	6
219854789	1	5	6
220016799	1	2	6
222894633	1	9	6
242515317	1	8	7
242902085	1	5	7
243159888	1	4	7
245310731	1	3	7
246487621	1	6	7
248783625	1	10	7
251191868	1	9	7
254289605	1	7	7
255368983	1	2	7
271836810	1	7	8
272363383	1	9	8
273034917	1	6	8
273540615	1	2	8
273823539	1	5	8
279268001	1	10	8
280633052	1	8	8
281769217	1	4	8
282482188	1	3	8
301620744	1	5	9
302587822	1	2	9
303258443	1	7	9
303529393	1	3	9
305456371	1	6	9
307410750	1	9	9
307753592	1	4	9
314554597	1	8	9
316127376	1	10	9
332555800	1	7	10
333292441	1	5	10
334113119	1	4	10
334332285	1	9	10
338451090	1	3	10
339753728	1	6	10
341702943	1	8	10
345509428	1	2	10
345971277	1	10	10
361847494	1	4	11
362955652	1	10	11
363306721	1	2	11
365833613	1	3	11
366937272	1	8	11
368727257	1	7	11
368839646	1	5	11
369129611	1	9	11
370925273	1	6	11
390589046	1	6	12
391774462	1	7	12
392300010	1	5	12
392978266	1	2	12
393801035	1	9	12
396730926	1	4	12
398315027	1	10	12
400992249	1	8	12
405442988	1	3	12
422049402	1	10	13
422890397	1	8	13
426696007	1	7	13
429698421	1	6	13
431652471	1	4	13
432525383	1	2	13
433348270	1	9	13
433659339	1	5	13
434427363	1	3	13
450946928	1	2	14
454182796	1	6	14
455769785	1	9	14
456393714	1	5	14
459508206	1	8	14
460449676	1	4	14
463158777	1	10	14
463493214	1	7	14
464786738	1	3	14
481643152	1	10	15
483121221	1	4	15
484042171	1	6	15
484244133	1	2	15
485521159	1	3	15
487067020	1	9	15
489503089	1	5	15
490164757	1	7	15
492218522	1	8	15
515276546	1	6	16
515898499	1	8	16
515987464	1	5	16
518711962	1	7	16
519736902	1	10	16
520415678	1	2	16
521630488	1	3	16
522668426	1	4	16
523246058	1	9	16
541885921	1	6	17
542207285	1	9	17
546462883	1	2	17
548346277	1	10	17
548846839	1	5	17
550089971	1	4	17
551133507	1	7	17
552114863	1	3	17
552921647	1	8	17
572164454	1	8	18
572430802	1	7	18
572974238	1	3	18
577384428	1	2	18
579081214	1	5	18
579870296	1	6	18
581330652	1	10	18
584004520	1	9	18
585387176	1	4	18
601558721	1	4	19
602690027	1	10	19
602690634	1	5	19
603182035	1	2	19
603229717	1	6	19
612208659	1	3	19
612602257	1	7	19
613999772	1	8	19
615676035	1	9	19
634424402	1	10	20
635649464	1	7	20
637817988	1	3	20
637964046	1	6	20
638853178	1	2	20
640109147	1	8	20
642223270	1	9	20
644605926	1	4	20
645674964	1	5	20
660527228	1	4	21
661571007	1	7	21
662034385	1	5	21
666102042	1	8	21
666400383	1	2	21
667802363	1	3	21
673073421	1	6	21
673533777	1	10	21
675644785	1	9	21
692557841	1	6	22
693018152	1	10	22
694821928	1	2	22
696368212	1	7	22
696768714	1	5	22
699161784	1	3	22
701687272	1	8	22
702942020	1	9	22
705324678	1	4	22
723113535	1	9	23
723742249	1	8	23
725720076	1	2	23
726996309	1	4	23
727896113	1	3	23
729877527	1	10	23
731417171	1	6	23
732039757	1	7	23
733878089	1	5	23
751651546	1	6	24
752640397	1	8	24
753587246	1	7	24
760543426	1	4	24
761563826	1	2	24
763362464	1	5	24
763489863	1	3	24
764160770	1	9	24
765111902	1	10	24
782349238	1	3	25
783221839	1	5	25
784048201	1	2	25
786258204	1	8	25
789245296	1	6	25
790305712	1	7	25
790721277	1	10	25
793503744	1	4	25
794082285	1	9	25
812583613	1	3	26
813968522	1	8	26
815863164	1	4	26
816477257	1	7	26
820604671	1	6	26
821907576	1	2	26
823456214	1	5	26
824705652	1	10	26
824879520	1	9	26
842339092	1	6	27
842597494	1	4	27
843551035	1	9	27
848065589	1	5	27
850192988	1	3	27
850648499	1	8	27
851524462	1	7	27
854141951	1	2	27
856065027	1	10	27
878799402	1	10	28
879049964	1	5	28
879177363	1	3	28
880706869	1	4	28
880751326	1	2	28
882448421	1	6	28
882671647	1	8	28
884098270	1	9	28
884446007	1	7	28
900914454	1	8	29
906095076	1	2	29
907536784	1	3	29
908567108	1	9	29
909932796	1	6	29
910243212	1	7	29
911191244	1	4	29
911409339	1	5	29
911908777	1	10	29
932749773	1	8	30
936914758	1	7	30
939143715	1	5	30
940271114	1	3	30
940792172	1	6	30
942050620	1	4	30
942829452	1	2	30
943393153	1	10	30
945817023	1	9	30
961026547	1	6	31
962285040	1	4	31
964938827	1	2	31
972054838	1	8	31
972380489	1	3	31
972988536	1	9	31
974252528	1	10	31
974253090	1	5	31
974461963	1	7	31
992894370	1	4	32
998486903	1	10	32
998864909	1	3	32
999202943	1	8	32
999635922	1	6	32
1001883508	1	7	32
1003423202	1	2	32
1004035771	1	9	32
1004737465	1	5	32
1022282622	1	2	33
1023620342	1	6	33
1024596840	1	5	33
1025070705	1	8	33
1026724239	1	3	33
1027878745	1	4	33
1031957286	1	9	33
1032096278	1	10	33
1035180715	1	7	33
1051544841	1	3	34
1055831215	1	5	34
1056126327	1	2	34
1057046648	1	8	34
1057246105	1	9	34
1058041302	1	10	34
1058399463	1	7	34
1058979672	1	6	34
1059238120	1	4	34
1086105434	1	9	35
1086972495	1	4	35
1087031023	1	8	35
1089092134	1	3	35
1089321008	1	7	35
1089339017	1	10	35
1091714047	1	6	35
1092440590	1	5	35
1092470077	1	2	35
1116081916	1	4	36
1116088048	1	2	36
1116339854	1	9	36
1117519024	1	6	36
1118557529	1	10	36
1119390398	1	8	36
1120118215	1	7	36
1122424965	1	5	36
1125513591	1	3	36
1144957286	1	9	37
1149276279	1	10	37
1149784340	1	5	37
1149789758	1	7	37
1150534979	1	6	37
1152124773	1	8	37
1153009429	1	2	37
1153566245	1	4	37
1154810798	1	3	37
1172758596	1	7	38
1173929750	1	8	38
1174806634	1	2	38
1174982341	1	3	38
1175425620	1	4	38
1181947551	1	10	38
1181956524	1	6	38
1183518715	1	5	38
1184933559	1	9	38
1201253729	1	6	39
1205577898	1	8	39
1206029546	1	3	39
1207274465	1	7	39
1209659995	1	4	39
1210478179	1	2	39
1212495029	1	10	39
1213292934	1	9	39
1214628090	1	5	39
1231916300	1	10	40
1233951090	1	3	40
1235196007	1	7	40
1238025383	1	2	40
1238945704	1	8	40
1240027308	1	9	40
1240112464	1	5	40
1243425273	1	6	40
1245269369	1	4	40
1262421647	1	8	41
1262472566	1	6	41
1262910772	1	9	41
1265484780	1	7	41
1270792441	1	5	41
1272253744	1	4	41
1273239863	1	3	41
1275455652	1	10	41
1275501326	1	2	41
1291099238	1	3	42
1293485746	1	2	42
1294339734	1	5	42
1296832373	1	9	42
1298394023	1	6	42
1299578530	1	7	42
1301664544	1	8	42
1303815027	1	10	42
1304613119	1	4	42
1324549402	1	10	43
1324629609	1	9	43
1325333659	1	3	43
1326191230	1	6	43
1327845076	1	2	43
1330187905	1	7	43
1330499818	1	8	43
1331347494	1	4	43
1331761191	1	5	43
1352658777	1	10	44
1353301035	1	9	44
1357579451	1	2	44
1359804749	1	8	44
1359862773	1	6	44
1360058398	1	5	44
1361942988	1	3	44
1362456869	1	4	44
1365172280	1	7	44
1380688826	1	2	45
1388952897	1	8	45
1389385921	1	6	45
1389941244	1	4	45
1391927363	1	3	45
1394229941	1	5	45
1394266030	1	7	45
1395848270	1	9	45
1396143152	1	10	45
1412128818	1	6	46
1413800619	1	4	46
1415286738	1	3	46
1419269785	1	9	46
1420007211	1	10	46
1421187318	1	8	46
1423071007	1	7	46
1424173201	1	2	46
1424277146	1	5	46
1442038255	1	2	47
1445034994	1	4	47
1445300273	1	6	47
1448021113	1	3	47
1448567108	1	9	47
1448868212	1	7	47
1451242337	1	8	47
1453198691	1	5	47
1453236902	1	10	47
1473130488	1	3	48
1475539757	1	7	48
1478140397	1	8	48
1478995896	1	5	48
1479644369	1	4	48
1479846277	1	10	48
1481347480	1	6	48
1482738535	1	9	48
1483900385	1	2	48
1505758204	1	8	49
1507562905	1	7	49
1508269023	1	6	49
1508667441	1	5	49
1508785859	1	9	49
1509628744	1	4	49
1511614863	1	3	49
1512321928	1	2	49
1514830652	1	10	49
1532066317	1	6	50
1532474239	1	3	50
1532707286	1	9	50
1533468523	1	8	50
1534214649	1	5	50
1537547281	1	7	50
1541190100	1	10	50
1542988120	1	4	50
1543619134	1	2	50
1561737774	1	6	51
1562708659	1	3	51
1562722541	1	4	51
1565636192	1	5	51
1568504521	1	9	51
1572790679	1	2	51
1572924403	1	10	51
1573906656	1	7	51
1574148500	1	8	51
1591641031	1	7	52
1593285068	1	6	52
1597317989	1	3	52
1600033778	1	10	52
1601837884	1	2	52
1602171694	1	8	52
1603176036	1	9	52
1604027472	1	4	52
1604933397	1	5	52
1623104942	1	5	53
1623824765	1	4	53
1625706524	1	6	53
1626414455	1	8	53
1627026279	1	10	53
1628759429	1	2	53
1629302409	1	3	53
1631723271	1	9	53
1631743213	1	7	53
1652661810	1	3	54
1656245031	1	10	54
1657961965	1	7	54
1659249818	1	8	54
1661152147	1	5	54
1661556634	1	2	54
1663442023	1	9	54
1665003729	1	6	54
