time	dest	src	seqn
30600338	1	6	0
34421403	1	2	0
34493187	1	4	0
34633412	1	7	0
35728923	1	5	0
37083134	1	3	0
38393136	1	10	0
44960799	1	8	0
45429775	1	9	0
60977163	1	7	1
63593038	1	2	1
64553510	1	6	1
65351650	1	9	1
67301463	1	3	1
68073114	1	10	1
69477517	1	4	1
71400799	1	5	1
71483860	1	8	1
91619988	1	10	2
91640423	1	9	2
91836893	1	4	2
91929461	1	8	2
92527736	1	3	2
92639825	1	2	2
95711538	1	7	2
100287840	1	6	2
100947675	1	5	2
122257899	1	9	3
123571313	1	4	3
124369638	1	5	3
126020213	1	3	3
127561699	1	2	3
127671451	1	8	3
133985266	1	7	3
134339343	1	10	3
134740964	1	6	3
151532229	1	7	4
152666845	1	5	4
155530316	1	6	4
157304774	1	9	4
158692089	1	3	4
161164013	1	8	4
162510613	1	10	4
162680643	1	4	4
164358574	1	2	4
183030538	1	2	5
184226649	1	9	5
184992834	1	7	5
185557577	1	10	5
185660838	1	3	5
188002072	1	5	5
189827521	1	6	5
193165017	1	4	5
194249576	1	8	5
214024393	1	4	6
214958043	1	3	6
215111447	1	5	6
216804461	1	8	6
218422765	1	7	6
219023613	1	9	6
220999066	1	6	6
223537973	1	2	6
224479363	1	10	6
243202681	1	8	7
243258813	1	4	7
243695488	1	9	7
243897393	1	2	7
245045941	1	6	7
247595823	1	5	7
248276239	1	10	7
251539664	1	7	7
252129588	1	3	7
272631768	1	2	8
272967905	1	6	8
273176463	1	3	8
275852164	1	7	8
275948113	1	10	8
276961385	1	9	8
279298948	1	5	8
281320175	1	8	8
281868143	1	4	8
301741143	1	2	9
302309148	1	5	9
302494989	1	10	9
307852563	1	4	9
308098427	1	3	9
308764691	1	6	9
313132900	1	9	9
313367789	1	7	9
315242050	1	8	9
332101802	1	9	10
334212045	1	4	10
335727316	1	7	10
336917105	1	10	10
337436719	1	6	10
337624637	1	8	10
342225625	1	2	10
342895366	1	3	10
343642850	1	5	10
360983594	1	6	11
361266668	1	7	11
361946420	1	4	11
366377225	1	5	11
367815164	1	10	11
368567241	1	3	11
371679703	1	8	11
372085001	1	2	11
373898677	1	9	11
391114116	1	3	12
391549539	1	10	12
393405558	1	6	12
395319375	1	2	12
396063543	1	7	12
399486600	1	5	12
402976910	1	8	12
404055795	1	4	12
405570552	1	9	12
421535991	1	3	13
423540216	1	4	13
425970975	1	5	13
427312137	1	8	13
431735418	1	7	13
431913125	1	2	13
432117427	1	9	13
432658914	1	10	13
433702674	1	6	13
451143290	1	10	14
453282293	1	7	14
454171841	1	2	14
454874219	1	6	14
457117203	1	8	14
458830350	1	5	14
462399545	1	4	14
462833198	1	3	14
465539302	1	9	14
483004741	1	3	15
483765263	1	8	15
487633920	1	4	15
489064725	1	5	15
490001373	1	7	15
490002664	1	10	15
490343102	1	2	15
492836538	1	9	15
494921094	1	6	15
511243295	1	4	16
512674146	1	5	16
513008052	1	9	16
513051616	1	3	16
514842969	1	6	16
516172918	1	7	16
517846414	1	10	16
524116250	1	2	16
524132828	1	8	16
542621639	1	3	17
543600671	1	2	17
544593387	1	8	17
547639844	1	6	17
550830790	1	10	17
551219793	1	7	17
554054927	1	9	17
554227670	1	4	17
555658475	1	5	17
571311719	1	6	18
572017896	1	5	18
573924539	1	10	18
576023364	1	8	18
576327477	1	2	18
579938543	1	7	18
581856014	1	3	18
583976802	1	9	18
585486102	1	4	18
601657647	1	4	19
604749352	1	2	19
604989116	1	3	19
606610418	1	7	19
606752225	1	5	19
613033914	1	10	19
614687183	1	8	19
614858594	1	6	19
615765575	1	9	19
631280469	1	6	20
632518290	1	10	20
632557202	1	5	20
639218102	1	2	20
641117941	1	7	20
642410991	1	3	20
644704522	1	4	20
644992203	1	8	20
645624950	1	9	20
660626155	1	4	21
662708196	1	3	21
668859325	1	9	21
669377664	1	10	21
671354077	1	5	21
672264977	1	2	21
673477316	1	7	21
674577676	1	6	21
675140308	1	8	21
692879741	1	3	22
695749219	1	6	22
697007739	1	8	22
699025952	1	5	22
699468746	1	9	22
704612039	1	10	22
705186852	1	2	22
705211691	1	7	22
705423272	1	4	22
724926705	1	3	23
726453121	1	9	23
727095147	1	4	23
729813543	1	7	23
730221414	1	10	23
731968433	1	8	23
731983727	1	2	23
733796094	1	6	23
735572827	1	5	23
753898364	1	8	24
755717969	1	6	24
756994702	1	5	24
757655602	1	2	24
758812522	1	9	24
759485418	1	7	24
760642022	1	4	24
763137265	1	3	24
764205789	1	10	24
780514844	1	6	25
784663126	1	2	25
787062229	1	8	25
792883052	1	9	25
793291907	1	5	25
793602670	1	4	25
793964498	1	10	25
794645366	1	3	25
795032293	1	7	25
811186719	1	6	26
812454257	1	7	26
815962091	1	4	26
816022500	1	2	26
816135855	1	10	26
816867114	1	8	26
821317241	1	3	26
822463452	1	5	26
823929927	1	9	26
842231014	1	3	27
842696420	1	4	27
843656200	1	9	27
843852209	1	6	27
843852362	1	7	27
844655888	1	8	27
853182641	1	10	27
853350626	1	2	27
855510327	1	5	27
871432202	1	5	28
873077566	1	2	28
873907382	1	7	28
877140575	1	9	28
878452806	1	6	28
879840389	1	3	28
881104516	1	10	28
881335864	1	8	28
881579522	1	4	28
904901391	1	10	29
905900952	1	5	29
907754741	1	3	29
908329168	1	7	29
909897367	1	6	29
910499352	1	2	29
910749683	1	8	29
910805795	1	4	29
911920920	1	9	29
937304615	1	8	30
937447828	1	5	30
940796558	1	2	30
940801617	1	3	30
941290171	1	4	30
942256671	1	10	30
943227318	1	7	30
943381743	1	6	30
944320553	1	9	30
966014978	1	2	31
966234326	1	9	31
967542017	1	10	31
968563544	1	7	31
972027891	1	3	31
972149547	1	4	31
972343389	1	8	31
975241118	1	6	31
975869703	1	5	31
991601820	1	8	32
992383921	1	4	32
994723581	1	3	32
995235419	1	7	32
995867517	1	9	32
998839497	1	10	32
1002936853	1	2	32
1003166908	1	5	32
1004475493	1	6	32
1021289303	1	9	33
1022338542	1	5	33
1023010767	1	10	33
1023437138	1	8	33
1024733728	1	2	33
1029520367	1	3	33
1030084868	1	6	33
1031517023	1	4	33
1034204169	1	7	33
1056069243	1	6	34
1056371686	1	3	34
1056385328	1	5	34
1060405603	1	2	34
1061938898	1	4	34
1062672919	1	7	34
1062674541	1	10	34
1064828076	1	9	34
1065820329	1	8	34
1081307203	1	5	35
1082268290	1	10	35
1087236103	1	4	35
1087952478	1	2	35
1091215390	1	3	35
1091428690	1	6	35
1092719794	1	7	35
1093030934	1	8	35
1093219301	1	9	35
1113104167	1	5	36
1115199765	1	3	36
1117272368	1	6	36
1119921826	1	9	36
1121438544	1	7	36
1122374353	1	2	36
1124955790	1	10	36
1125210865	1	8	36
1125407648	1	4	36
1145757918	1	8	37
1148031201	1	9	37
1148756743	1	6	37
1150454523	1	4	37
1150775953	1	5	37
1153110419	1	7	37
1153315165	1	10	37
1153671560	1	2	37
1154458199	1	3	37
1170843103	1	2	38
1174049540	1	10	38
1174322917	1	5	38
1174629742	1	3	38
1177735420	1	7	38
1178476909	1	8	38
1179376398	1	4	38
1179515576	1	9	38
1180149913	1	6	38
1200616252	1	2	39
1201374952	1	9	39
1202158915	1	10	39
1205079169	1	7	39
1205483595	1	6	39
1205676617	1	3	39
1207648365	1	8	39
1211173273	1	4	39
1211744703	1	5	39
1232811941	1	2	40
1233195552	1	9	40
1235524545	1	4	40
1237617941	1	7	40
1237854516	1	10	40
1238402890	1	3	40
1238783475	1	5	40
1239459868	1	6	40
1242812137	1	8	40
1260746639	1	3	41
1262977316	1	7	41
1263444288	1	6	41
1263608727	1	2	41
1266921558	1	8	41
1269758920	1	4	41
1270651391	1	10	41
1272142851	1	5	41
1275742427	1	9	41
1292877226	1	5	42
1293711737	1	7	42
1294803617	1	6	42
1294981015	1	3	42
1299164302	1	9	42
1301414078	1	8	42
1304280602	1	2	42
1305323266	1	10	42
1305368295	1	4	42
1327821066	1	7	43
1328461626	1	9	43
1329632828	1	8	43
1330986601	1	5	43
1331421094	1	6	43
1331574764	1	3	43
1332352670	1	4	43
1333827477	1	2	43
1334870141	1	10	43
1354934185	1	3	44
1356305441	1	7	44
1358342969	1	6	44
1360292016	1	10	44
1360406200	1	9	44
1361093387	1	8	44
1362249352	1	2	44
1364470975	1	5	44
1364712045	1	4	44
1382139844	1	6	45
1383330396	1	5	45
1383890575	1	9	45
1384589586	1	10	45
1386452763	1	8	45
1387668514	1	3	45
1391446420	1	4	45
1393164816	1	7	45
1393546557	1	2	45
1411749950	1	9	46
1411811808	1	6	46
1412777889	1	3	46
1412794812	1	10	46
1414197827	1	5	46
1417532293	1	7	46
1420492292	1	8	46
1422555795	1	4	46
1422718102	1	2	46
1443358594	1	6	47
1443475671	1	2	47
1445984325	1	9	47
1446251373	1	7	47
1448018289	1	10	47
1451874729	1	8	47
1452251397	1	4	47
1454916907	1	5	47
1455270366	1	3	47
1470877664	1	10	48
1470942241	1	3	48
1472048272	1	4	48
1473088452	1	5	48
1475780469	1	6	48
1476422918	1	7	48
1481335000	1	2	48
1481929792	1	8	48
1483336540	1	9	48
1502910991	1	3	49
1504469793	1	7	49
1504569375	1	2	49
1508827854	1	8	49
1511112039	1	10	49
1511135327	1	5	49
1513720147	1	4	49
1515077674	1	6	49
1515508052	1	9	49
1533721415	1	10	50
1534249309	1	6	50
1536445240	1	8	50
1538208285	1	3	50
1540178751	1	2	50
1540391669	1	7	50
1540854079	1	5	50
1541267023	1	4	50
1544476803	1	9	50
1561065165	1	10	51
1561188544	1	7	51
1564155888	1	8	51
1564379742	1	3	51
1566163126	1	2	51
1566273678	1	9	51
1567296095	1	6	51
1569688898	1	4	51
1572525953	1	5	51
1591522573	1	2	52
1593426617	1	3	52
1595799586	1	10	52
1597072828	1	5	52
1598407294	1	7	52
1599217970	1	6	52
1602986103	1	4	52
1603945553	1	9	52
1604835954	1	8	52
1625639978	1	2	53
1629014845	1	6	53
1631382829	1	8	53
1632157648	1	4	53
1632492428	1	9	53
1632494703	1	5	53
1633348492	1	3	53
1634829169	1	7	53
1634908915	1	10	53
1652126465	1	7	54
1653791908	1	5	54
1655204523	1	4	54
1657914303	1	9	54
1659393290	1	10	54
1661561853	1	2	54
1663731015	1	3	54
1663843388	1	8	54
1664686720	1	6	54
1681953077	1	9	55
1682364117	1	3	55
1684233684	1	6	55
1687101820	1	8	55
1690571067	1	7	55
1693963453	1	5	55
1694126398	1	4	55
1695358728	1	2	55
1695401392	1	10	55
1711655559	1	6	56
1713923273	1	4	56
1717055442	1	7	56
1719937230	1	8	56
1721312452	1	9	56
1721785992	1	3	56
1722010328	1	5	56
1724030603	1	2	56
1725073268	1	10	56
1741046826	1	9	57
1744242115	1	8	57
1745914818	1	7	57
1746538126	1	2	57
1747083199	1	3	57
1747932203	1	5	57
1749952677	1	6	57
1754620142	1	10	57
1755595148	1	4	57
1776142023	1	4	58
1776729078	1	5	58
1777156202	1	9	58
1777254742	1	3	58
1777287993	1	6	58
1781042017	1	10	58
1782897501	1	2	58
1784390309	1	8	58
1785149192	1	7	58
