time	dest	src	seqn	hops
32240162	1	7	0	1
33115621	1	2	0	1
33864609	1	5	0	1
34863639	1	4	0	2
37988324	1	3	0	3
38737155	1	10	0	2
40739516	1	6	0	1
44863320	1	8	0	4
45863223	1	9	0	3
63488640	1	2	1	1
65988325	1	9	1	3
66863575	1	5	1	1
67114117	1	6	1	1
67865347	1	3	1	3
69864515	1	4	1	2
71365033	1	8	1	4
71613294	1	10	1	2
72364063	1	7	1	1
94990297	1	6	2	1
97112219	1	8	2	4
97363437	1	4	2	2
99739019	1	3	2	3
102865752	1	5	2	1
104864707	1	10	2	2
105990497	1	7	2	1
106238780	1	9	2	3
106489752	1	2	2	1
123613901	1	3	3	3
123739575	1	4	3	2
127614311	1	7	3	1
128739429	1	10	3	2
131864571	1	5	3	1
133239409	1	9	3	3
135489195	1	6	3	1
151989570	1	4	4	2
152864954	1	9	4	3
153615173	1	2	4	1
153740216	1	7	4	1
156989082	1	6	4	1
162864725	1	10	4	2
181363337	1	2	5	1
182115087	1	4	5	2
183115622	1	7	5	1
184988938	1	5	5	1
185990151	1	10	5	2
189988361	1	6	5	1
191989949	1	8	5	4
193239063	1	9	5	3
194238777	1	3	5	3
212363292	1	7	6	1
214114598	1	6	6	1
214615198	1	2	6	1
217489930	1	5	6	1
217739145	1	4	6	2
222238399	1	9	6	3
222364063	1	3	6	3
224113292	1	8	6	4
224863833	1	10	6	2
241114059	1	6	7	1
241240172	1	4	7	2
244364130	1	5	7	1
245364017	1	3	7	3
247490129	1	8	7	4
248615174	1	10	7	2
250614644	1	7	7	1
250865333	1	2	7	1
253113978	1	9	7	3
272738258	1	8	8	4
275615016	1	5	8	1
276491296	1	10	8	2
276864703	1	2	8	1
277490199	1	3	8	3
279240161	1	7	8	1
279738499	1	4	8	2
280240040	1	6	8	1
280864464	1	9	8	3
301488294	1	8	9	4
302987156	1	10	9	2
305866253	1	3	9	3
306238564	1	6	9	1
306364552	1	4	9	2
306988327	1	9	9	3
307738894	1	2	9	1
309238636	1	5	9	1
314240216	1	7	9	1
332363678	1	6	10	1
333614869	1	2	10	1
336865439	1	3	10	3
337363529	1	10	10	2
339863326	1	8	10	4
343114215	1	7	10	1
343487307	1	9	10	3
343740775	1	5	10	1
344238651	1	4	10	2
365114189	1	5	11	1
366114051	1	8	11	4
366489560	1	7	11	1
367740039	1	3	11	3
367864852	1	4	11	2
369238466	1	9	11	3
369364330	1	2	11	1
369613516	1	10	11	2
370364846	1	6	11	1
391613513	1	9	12	3
392114171	1	7	12	1
393864665	1	6	12	1
395238514	1	2	12	1
398364103	1	5	12	1
402614045	1	4	12	2
402739811	1	8	12	4
403115041	1	10	12	2
404614487	1	3	12	3
421490306	1	10	13	2
422490215	1	9	13	3
426240159	1	2	13	1
427738606	1	7	13	1
428489239	1	6	13	1
430363538	1	8	13	4
430990102	1	4	13	2
434990102	1	3	13	3
451864795	1	9	14	3
452614584	1	7	14	1
454490467	1	4	14	2
454615102	1	3	14	3
455239562	1	6	14	1
458363793	1	5	14	1
460112501	1	8	14	4
460363516	1	10	14	2
461989825	1	2	14	1
485739289	1	3	15	3
488112372	1	6	15	1
491489027	1	8	15	4
492239098	1	10	15	2
493115388	1	4	15	2
494363538	1	9	15	3
494489876	1	5	15	1
494614162	1	2	15	1
494864109	1	7	15	1
511739322	1	6	16	1
514615303	1	7	16	1
515113921	1	2	16	1
518738412	1	10	16	2
520613587	1	4	16	2
521615419	1	5	16	1
521987432	1	3	16	3
522865304	1	8	16	4
525987307	1	9	16	3
542489757	1	5	17	1
542739041	1	7	17	1
543365369	1	10	17	2
543489105	1	3	17	3
547112372	1	8	17	4
552615040	1	9	17	3
555364781	1	6	17	1
555615895	1	2	17	1
555865388	1	4	17	2
572113587	1	4	18	2
572738471	1	10	18	2
573114180	1	5	18	1
575364833	1	2	18	1
576989034	1	8	18	4
578113447	1	7	18	1
579739696	1	6	18	1
582488513	1	3	18	3
585989216	1	9	18	3
603615078	1	8	19	4
604364578	1	7	19	1
604488546	1	2	19	1
607740196	1	10	19	2
607988340	1	3	19	3
611115513	1	6	19	1
613239027	1	9	19	3
613365179	1	5	19	1
615115232	1	4	19	2
630989268	1	4	20	2
632989041	1	6	20	1
633987502	1	3	20	3
634113408	1	9	20	3
638988445	1	7	20	1
642864278	1	2	20	1
643238788	1	5	20	1
643614324	1	10	20	2
643990040	1	8	20	4
665238444	1	3	21	3
666114738	1	6	21	1
666490489	1	2	21	1
669864346	1	7	21	1
670363378	1	10	21	2
672365231	1	5	21	1
674490281	1	9	21	3
690990418	1	6	22	1
692865351	1	8	22	4
693113930	1	7	22	1
697489464	1	4	22	2
698239171	1	3	22	3
699738412	1	10	22	2
700114040	1	5	22	1
702740387	1	9	22	3
704489307	1	2	22	1
721614267	1	6	23	1
725864728	1	5	23	1
726613671	1	7	23	1
730990775	1	4	23	2
732240368	1	3	23	3
732865282	1	2	23	1
734490102	1	8	23	4
734989582	1	10	23	2
736239482	1	9	23	3
754237501	1	6	24	1
756740777	1	4	24	2
757363795	1	5	24	1
760613582	1	10	24	2
760864853	1	2	24	1
764112369	1	7	24	1
764365305	1	3	24	3
764989110	1	8	24	4
766115313	1	9	24	3
782740282	1	3	25	3
783239795	1	7	25	1
785239728	1	2	25	1
789362307	1	9	25	3
793988793	1	4	25	2
794363428	1	10	25	2
794613587	1	6	25	1
794990102	1	8	25	4
795740287	1	5	25	1
812988930	1	7	26	1
813238404	1	3	26	3
816487313	1	10	26	2
816865219	1	8	26	4
818863391	1	6	26	1
819864144	1	9	26	3
821990383	1	4	26	2
823113715	1	5	26	1
824239347	1	2	26	1
844739627	1	7	27	1
845865164	1	4	27	2
846490777	1	5	27	1
850363552	1	3	27	3
851489217	1	10	27	2
851991338	1	8	27	4
854113793	1	6	27	1
855865485	1	2	27	1
856113591	1	9	27	3
871239854	1	5	28	1
873739103	1	8	28	4
873864297	1	2	28	1
875238583	1	10	28	2
877738483	1	7	28	1
879364487	1	3	28	3
880490513	1	6	28	1
883364030	1	9	28	3
884740146	1	4	28	2
902364562	1	4	29	2
903115290	1	5	29	1
904489024	1	7	29	1
906738453	1	8	29	4
908615712	1	2	29	1
913864207	1	6	29	1
914363489	1	9	29	3
915989132	1	10	29	2
931112433	1	2	30	1
934115303	1	7	30	1
934739280	1	8	30	4
940614100	1	3	30	3
941865838	1	4	30	2
942240103	1	9	30	3
942488450	1	10	30	2
944115263	1	5	30	1
945740290	1	6	30	1
967989171	1	10	31	2
969240191	1	7	31	1
971238378	1	8	31	4
