time	dest	src	seqn	hops
31241849	1	10	0	2
34552933	1	5	0	1
35020957	1	4	0	2
35647272	1	6	0	1
37208391	1	7	0	1
37335123	1	3	0	3
38084125	1	2	0	1
44491331	1	8	0	4
44990174	1	9	0	3
60958951	1	6	1	1
61460717	1	10	1	2
61550963	1	7	1	1
62803900	1	5	1	1
64460170	1	2	1	1
64959696	1	9	1	3
70021729	1	4	1	2
71021684	1	8	1	4
73396424	1	3	1	3
92364677	1	4	2	2
92771684	1	8	2	4
96302307	1	7	2	1
97458400	1	3	2	3
99116014	1	6	2	1
100896400	1	10	2	2
102397090	1	5	2	1
103177898	1	2	2	1
104709049	1	9	2	3
124116383	1	4	3	2
124397282	1	7	3	1
129396622	1	3	3	3
131397709	1	5	3	1
132427934	1	9	3	3
133085560	1	8	3	4
134207338	1	6	3	1
134271686	1	10	3	2
135304007	1	2	3	1
150740911	1	5	4	1
151928218	1	9	4	3
156208924	1	3	4	3
156866376	1	8	4	4
162333926	1	10	4	2
163210356	1	4	4	2
164771585	1	2	4	1
164896030	1	7	4	1
165084782	1	6	4	1
184647844	1	2	5	1
185460558	1	10	5	2
185896615	1	6	5	1
186738528	1	7	5	1
187491672	1	5	5	1
188522552	1	8	5	4
192396622	1	9	5	3
193709572	1	4	5	2
195397570	1	3	5	3
212709766	1	10	6	2
214552334	1	4	6	2
214584599	1	5	6	1
215834124	1	3	6	3
216553535	1	6	6	1
216927937	1	8	6	4
218989610	1	7	6	1
219865435	1	2	6	1
220677649	1	9	6	3
241582213	1	7	7	1
241865372	1	9	7	3
242366926	1	8	7	4
243115200	1	6	7	1
243803384	1	4	7	2
245116669	1	3	7	3
246491537	1	2	7	1
247085802	1	5	7	1
255333948	1	10	7	2
270865372	1	8	8	4
272303453	1	10	8	2
272832276	1	7	8	1
275179494	1	5	8	1
275519838	1	6	8	1
276865306	1	9	8	3
282271424	1	3	8	3
282396012	1	4	8	2
283459175	1	2	8	1
301927771	1	6	9	1
303335740	1	3	9	3
303834122	1	9	9	3
303928945	1	2	9	1
305273277	1	10	9	2
308396733	1	4	9	2
308772154	1	5	9	1
309022860	1	7	9	1
309584124	1	8	9	4
330679097	1	6	10	1
331679198	1	2	10	1
331773396	1	5	10	1
332054040	1	7	10	1
334584274	1	8	10	4
334739860	1	4	10	2
338304160	1	3	10	3
338584076	1	9	10	3
344177828	1	10	10	2
362521047	1	4	11	2
363303474	1	9	11	3
367177399	1	8	11	4
369771731	1	6	11	1
370992112	1	10	11	2
372146831	1	2	11	1
373054642	1	3	11	3
373116121	1	5	11	1
373769928	1	7	11	1
394304093	1	6	12	1
395866699	1	5	12	1
398773418	1	3	12	3
399771775	1	8	12	4
400460709	1	7	12	1
401646650	1	10	12	2
402022910	1	2	12	1
402834055	1	9	12	3
404583710	1	4	12	2
421709280	1	3	13	3
424084728	1	4	13	2
425240554	1	2	13	1
425271603	1	9	13	3
425366521	1	6	13	1
428210895	1	10	13	2
428959874	1	5	13	1
431959917	1	7	13	1
432521774	1	8	13	4
451959171	1	6	14	1
452616038	1	10	14	2
452710099	1	7	14	1
455460771	1	5	14	1
456552925	1	9	14	3
456835830	1	8	14	4
460866674	1	2	14	1
462991142	1	4	14	2
463115350	1	3	14	3
483178025	1	3	15	3
486617138	1	8	15	4
488176181	1	4	15	2
488303563	1	5	15	1
489960273	1	6	15	1
491834365	1	2	15	1
492740656	1	9	15	3
492898209	1	7	15	1
493929546	1	10	15	2
510865239	1	9	16	3
511084078	1	10	16	2
511803685	1	4	16	2
513523209	1	6	16	1
518554521	1	5	16	1
519210286	1	2	16	1
525147461	1	7	16	1
541490525	1	9	17	3
541864686	1	7	17	1
542147305	1	5	17	1
546086024	1	8	17	4
546335288	1	2	17	1
548083710	1	6	17	1
551429642	1	3	17	3
552895871	1	10	17	2
554772121	1	4	17	2
570960252	1	9	18	3
572335206	1	10	18	2
576679461	1	7	18	1
577240104	1	2	18	1
581114982	1	4	18	2
581959382	1	3	18	3
583146775	1	8	18	4
583209056	1	6	18	1
585148071	1	5	18	1
601490993	1	5	19	1
602397157	1	8	19	4
602773334	1	3	19	3
602866185	1	4	19	2
603054128	1	2	19	1
609240241	1	10	19	2
611490423	1	6	19	1
612335771	1	7	19	1
614802828	1	9	19	3
631804183	1	6	20	1
633863678	1	7	20	1
636241824	1	5	20	1
638708710	1	2	20	1
642053568	1	3	20	3
643958852	1	4	20	2
644054023	1	9	20	3
644210712	1	8	20	4
644428606	1	10	20	2
663459787	1	4	21	2
664304584	1	7	21	1
665208989	1	3	21	3
666272911	1	2	21	1
670084132	1	10	21	2
671677828	1	9	21	3
673334808	1	5	21	1
674584234	1	6	21	1
674617207	1	8	21	4
694677602	1	2	22	1
694802365	1	8	22	4
695741214	1	6	22	1
696773274	1	7	22	1
699302325	1	4	22	2
702584337	1	3	22	3
702835571	1	5	22	1
703804684	1	10	22	2
705146775	1	9	22	3
722522661	1	7	23	1
722678495	1	5	23	1
722864866	1	3	23	3
725959209	1	10	23	2
726991589	1	2	23	1
730960771	1	8	23	4
731553478	1	4	23	2
732396631	1	9	23	3
733802844	1	6	23	1
752615525	1	9	24	3
753053956	1	7	24	1
753082366	1	3	24	3
753146073	1	4	24	2
755771882	1	6	24	1
762210297	1	2	24	1
762929584	1	5	24	1
763023549	1	10	24	2
763521774	1	8	24	4
781116695	1	6	25	1
784115350	1	7	25	1
784302362	1	8	25	4
785085832	1	3	25	3
787522374	1	5	25	1
790927985	1	10	25	2
793615302	1	9	25	3
794146907	1	4	25	2
795115102	1	2	25	1
816553513	1	4	26	2
816679070	1	8	26	4
817021777	1	3	26	3
817803853	1	10	26	2
818523399	1	5	26	1
818709920	1	7	26	1
819709174	1	6	26	1
821929197	1	2	26	1
823584382	1	9	26	3
843240978	1	4	27	2
843710375	1	6	27	1
846367179	1	8	27	4
847583852	1	2	27	1
850866059	1	5	27	1
851459101	1	10	27	2
851708543	1	7	27	1
854334076	1	9	27	3
854804569	1	3	27	3
871053024	1	8	28	4
873053024	1	9	28	3
873147884	1	2	28	1
878648526	1	5	28	1
878676310	1	7	28	1
879052921	1	6	28	1
880397724	1	10	28	2
881333578	1	4	28	2
881459100	1	3	28	3
902802855	1	10	29	2
904428474	1	8	29	4
906552399	1	2	29	1
909834658	1	7	29	1
911992088	1	6	29	1
912022723	1	4	29	2
913552880	1	9	29	3
914023320	1	3	29	3
914210572	1	5	29	1
932866661	1	2	30	1
934053485	1	5	30	1
936428608	1	6	30	1
936491524	1	3	30	3
936522664	1	7	30	1
938021778	1	9	30	3
941867049	1	8	30	4
942491458	1	10	30	2
942677363	1	4	30	2
961083990	1	7	31	1
962770912	1	3	31	3
962929228	1	4	31	2
965333573	1	5	31	1
967646009	1	10	31	2
970303924	1	8	31	4
974491522	1	6	31	1
975021353	1	2	31	1
975116466	1	9	31	3
992085207	1	10	32	2
993209338	1	9	32	3
993521142	1	4	32	2
994460137	1	7	32	1
997085227	1	2	32	1
997896741	1	3	32	3
1000084247	1	6	32	1
1001897373	1	5	32	1
1004084383	1	8	32	4
1026085322	1	6	33	1
1026710838	1	9	33	3
