time	dest	src	seqn
34523846	1	4	0
34575661	1	5	0
34750895	1	7	0
36165592	1	6	0
38398725	1	10	0
38795394	1	2	0
41437073	1	9	0
43347428	1	3	0
44977620	1	8	0
61462800	1	6	1
62810036	1	5	1
65154842	1	2	1
66735271	1	7	1
67394636	1	3	1
69508222	1	4	1
71258101	1	10	1
71500726	1	8	1
75484308	1	9	1
91094646	1	7	2
91867598	1	4	2
93243487	1	8	2
95405823	1	9	2
99342571	1	3	2
99634344	1	6	2
102419412	1	5	2
103889145	1	2	2
104492476	1	10	2
123601973	1	4	3
125829021	1	7	3
126113384	1	3	3
127101851	1	10	3
127415210	1	8	3
131403787	1	5	3
134681548	1	6	3
135203058	1	9	3
135998520	1	2	3
150763161	1	5	4
153938442	1	7	4
154086226	1	10	4
157688272	1	8	4
158784930	1	3	4
162711348	1	4	4
162874573	1	9	4
165482895	1	2	4
165603093	1	6	4
182421808	1	9	5
184445689	1	10	5
185342271	1	2	5
186400300	1	6	5
187497536	1	5	5
191181076	1	8	5
193195722	1	4	5
194422771	1	7	5
195332134	1	3	5
211179976	1	10	6
214055098	1	4	6
215753679	1	3	6
216282147	1	7	6
217071843	1	6	6
217091287	1	5	6
220576645	1	2	6
222843322	1	9	6
224266351	1	8	6
243289473	1	4	7
243619139	1	6	7
243950662	1	5	7
245050884	1	3	7
246821371	1	8	7
247186021	1	2	7
248289351	1	10	7
248516521	1	7	7
251140558	1	9	7
272312072	1	9	8
273219502	1	8	8
275110317	1	7	8
275185082	1	5	8
276040593	1	6	8
278773726	1	10	8
281898848	1	4	8
282222429	1	3	8
284170396	1	2	8
301469718	1	7	9
304529770	1	2	9
307359308	1	9	9
307883222	1	4	9
308191268	1	3	9
310337970	1	6	9
311337415	1	8	9
314740013	1	5	9
315633101	1	10	9
331547708	1	8	10
331587694	1	7	10
332867629	1	10	10
333264344	1	2	10
334242750	1	4	10
334280975	1	9	10
341509496	1	6	10
342988537	1	3	10
345037371	1	5	10
361977125	1	4	11
362373719	1	2	11
365556703	1	6	11
365727685	1	8	11
366509151	1	7	11
368208916	1	5	11
368660082	1	3	11
369078213	1	9	11
375477004	1	10	11
391207287	1	3	12
392461379	1	10	12
393478335	1	6	12
393749725	1	9	12
400250879	1	8	12
402858048	1	2	12
403256121	1	5	12
403306358	1	7	12
404086500	1	4	12
423570875	1	4	13
424177755	1	5	13
427820754	1	10	13
429275451	1	6	13
429977901	1	7	13
432717424	1	2	13
432926039	1	3	13
432993731	1	8	13
433296961	1	9	13
451555129	1	10	14
453097582	1	3	14
455718564	1	9	14
455951798	1	2	14
457329050	1	8	14
457946996	1	6	14
457974871	1	5	14
458525106	1	7	14
462430250	1	4	14
481116624	1	9	15
481494365	1	6	15
482646416	1	5	15
483144787	1	3	15
487133935	1	8	15
487664625	1	4	15
490946651	1	7	15
491561174	1	2	15
492664504	1	10	15
511148879	1	10	16
511274000	1	4	16
512243947	1	7	16
513782084	1	8	16
518066332	1	3	16
519193621	1	5	16
522545548	1	2	16
524212951	1	6	16
525850999	1	9	16
541234463	1	9	17
545384496	1	6	17
546602685	1	8	17
549242629	1	10	17
549904923	1	2	17
550615166	1	5	17
551855106	1	3	17
552415401	1	7	17
554258375	1	4	17
572156064	1	9	18
572714480	1	3	18
575462608	1	7	18
577852004	1	10	18
577912373	1	5	18
580617822	1	4	18
581639298	1	2	18
583625879	1	8	18
585431701	1	6	18
601384151	1	7	19
602352171	1	4	19
602868640	1	8	19
605353246	1	6	19
610836379	1	10	19
611948855	1	3	19
613953211	1	9	19
614083916	1	5	19
614748673	1	2	19
632195754	1	10	20
634233048	1	2	20
636181356	1	7	20
637558230	1	3	20
638150451	1	6	20
641131121	1	5	20
643461500	1	4	20
644704004	1	8	20
645624725	1	9	20
661822085	1	6	21
662052666	1	5	21
663930129	1	10	21
667542606	1	3	21
670092424	1	2	21
671852901	1	7	21
672171961	1	9	21
675009024	1	8	21
675454309	1	4	21
692326844	1	2	22
693400106	1	7	22
697125941	1	4	22
698901980	1	3	22
700849873	1	5	22
703039504	1	10	22
705157129	1	8	22
705369201	1	6	22
705593475	1	9	22
721790835	1	6	23
722523879	1	10	23
723821651	1	7	23
727024890	1	8	23
727636355	1	3	23
728521416	1	5	23
730673057	1	4	23
732890711	1	9	23
732936173	1	2	23
753062225	1	9	24
753920548	1	2	24
754473752	1	8	24
759383254	1	10	24
761745730	1	3	24
763633375	1	4	24
764219799	1	7	24
765068623	1	5	24
765087953	1	6	24
783344583	1	8	25
783954220	1	7	25
785992750	1	4	25
786259496	1	6	25
786279923	1	2	25
786490166	1	5	25
793230106	1	3	25
794109461	1	9	25
794617629	1	10	25
812063595	1	7	26
812089480	1	3	26
812727125	1	4	26
815014298	1	2	26
817078958	1	8	26
820232421	1	10	26
822787371	1	5	26
823032645	1	6	26
824030975	1	9	26
842323855	1	3	27
842547970	1	7	27
846883935	1	8	27
850517019	1	6	27
850836500	1	4	27
851958916	1	5	27
852123673	1	2	27
853969507	1	10	27
854828211	1	9	27
871532083	1	8	28
871610815	1	6	28
873499725	1	9	28
874608049	1	2	28
876140777	1	10	28
877407300	1	7	28
879933230	1	3	28
881320875	1	4	28
885006123	1	5	28
900927666	1	5	29
904899892	1	8	29
908251049	1	7	29
908917605	1	3	29
910220144	1	6	29
912180251	1	4	29
912467423	1	2	29
913188254	1	10	29
914046961	1	9	29
932414626	1	4	30
934204566	1	6	30
937276982	1	3	30
938468476	1	9	30
939724872	1	5	30
941109528	1	10	30
941235426	1	7	30
942360255	1	8	30
944701799	1	2	30
963024002	1	4	31
964907053	1	10	31
966943622	1	5	31
969563895	1	6	31
970011357	1	3	31
970790275	1	8	31
971311174	1	2	31
973594800	1	7	31
975765714	1	9	31
995295550	1	2	32
998008376	1	4	32
1002120732	1	3	32
1002298270	1	6	32
1002937226	1	9	32
1004563426	1	8	32
1005329175	1	7	32
1005365167	1	5	32
1005578278	1	10	32
1022438596	1	7	33
