time	dest	src	seqn	hops
31985921	1	6	0	5
33981967	1	5	0	4
34729871	1	4	0	3
37975692	1	3	0	2
38474177	1	2	0	1
46114925	1	7	0	6
61232110	1	5	1	4
64848271	1	2	1	1
66115384	1	7	1	6
68606113	1	4	1	3
71486609	1	6	1	5
74599432	1	3	1	2
93849657	1	2	2	1
95108842	1	5	2	4
95349432	1	3	2	2
95979530	1	4	2	3
96860989	1	6	2	5
97989826	1	7	2	6
123609504	1	6	3	5
124599695	1	2	3	1
125727317	1	3	3	2
125854730	1	4	3	3
125885478	1	7	3	6
152977286	1	3	4	2
155737013	1	6	4	5
157105630	1	4	4	3
160983628	1	5	4	4
162224695	1	2	4	1
165988143	1	7	4	6
181980630	1	4	5	3
184357113	1	5	5	4
187600618	1	3	5	2
189991168	1	7	5	6
191485938	1	6	5	5
195598126	1	2	5	1
212733141	1	5	6	4
213724759	1	2	6	1
214988053	1	7	6	6
215612075	1	6	6	5
217605554	1	4	6	3
224602008	1	3	6	2
242847943	1	2	7	1
249603917	1	4	7	3
250733628	1	5	7	4
251975458	1	3	7	2
254110867	1	6	7	5
255364428	1	7	7	6
272988004	1	7	8	6
274352610	1	4	8	3
275108802	1	5	8	4
275724435	1	3	8	2
282348429	1	2	8	1
285987075	1	6	8	5
302229527	1	4	9	3
304364899	1	7	9	6
305599621	1	2	9	1
307609248	1	5	9	4
309102008	1	3	9	2
311236961	1	6	9	5
331608778	1	5	10	4
334361763	1	6	10	5
336363336	1	7	10	6
339477051	1	3	10	2
341223232	1	2	10	1
344230804	1	4	10	3
362102317	1	3	11	2
362739685	1	7	11	6
363358919	1	5	11	4
363854461	1	4	11	3
364473425	1	2	11	1
366735886	1	6	11	5
394736847	1	6	12	5
395857660	1	5	12	4
399864685	1	7	12	6
401224430	1	2	12	1
401855454	1	4	12	3
406350659	1	3	12	2
423480638	1	4	13	3
428858781	1	5	13	4
429723929	1	2	13	1
435350659	1	3	13	2
436489318	1	7	13	6
451974842	1	2	14	1
456227369	1	3	14	2
462235406	1	6	14	5
462979680	1	4	14	3
465232121	1	5	14	4
481984657	1	6	15	5
482357216	1	5	15	4
487115078	1	7	15	6
492225745	1	3	15	2
492598582	1	2	15	1
494480752	1	4	15	3
512605032	1	4	16	3
513599454	1	2	16	1
520987052	1	6	16	5
522726442	1	3	16	2
523116191	1	7	16	6
523608994	1	5	16	4
542475892	1	3	17	2
544237796	1	6	17	5
545973212	1	2	17	1
548732608	1	5	17	4
551240078	1	7	17	6
554855585	1	4	17	3
570855804	1	4	18	3
575977603	1	3	18	2
579866237	1	7	18	6
580236268	1	6	18	5
583733833	1	5	18	4
585599248	1	2	18	1
602236811	1	6	19	5
604733949	1	5	19	4
612240078	1	7	19	6
612349321	1	2	19	1
613351502	1	3	19	2
615602762	1	4	19	3
634475746	1	3	20	2
634861830	1	6	20	5
637355595	1	4	20	3
637974268	1	2	20	1
663473380	1	2	21	1
664485437	1	6	21	5
668982266	1	5	21	4
669725745	1	3	21	2
671479531	1	4	21	3
697098930	1	2	22	1
698477078	1	3	22	2
699241320	1	7	22	6
701483294	1	5	22	4
702730765	1	4	22	3
726348194	1	2	23	1
726741126	1	7	23	6
728483619	1	5	23	4
734101488	1	3	23	2
734480255	1	4	23	3
736111847	1	6	23	5
752230804	1	4	24	3
752741319	1	7	24	6
752977996	1	3	24	2
756112168	1	6	24	5
762973061	1	2	24	1
764984417	1	5	24	4
783861268	1	6	25	5
785099004	1	2	25	1
785730265	1	4	25	3
787226353	1	3	25	2
789489318	1	7	25	6
791608994	1	5	25	4
812607267	1	5	26	4
818100776	1	3	26	2
818489245	1	7	26	6
819980804	1	4	26	3
822737076	1	6	26	5
823597525	1	2	26	1
842473688	1	2	27	1
842986268	1	6	27	5
851358994	1	5	27	4
852977999	1	3	27	2
873233994	1	5	28	4
874738295	1	7	28	6
880352926	1	3	28	2
881480804	1	4	28	3
882724839	1	2	28	1
886111570	1	6	28	5
902486567	1	6	29	5
905115078	1	7	29	6
906227505	1	3	29	2
906348426	1	2	29	1
913984334	1	5	29	4
914104680	1	4	29	3
932227318	1	3	30	2
940486832	1	6	30	5
942480770	1	4	30	3
942723380	1	2	30	1
945608781	1	5	30	4
946115080	1	7	30	6
962230596	1	4	31	3
966982268	1	5	31	4
969352457	1	3	31	2
970348061	1	2	31	1
971862830	1	6	31	5
975491188	1	7	31	6
993611831	1	6	32	5
995240041	1	7	32	6
1001474005	1	2	32	1
1003358995	1	5	32	4
1003851503	1	3	32	2
1004105636	1	4	32	3
1021977589	1	3	33	2
1022097723	1	2	33	1
1023366322	1	7	33	6
1029853950	1	4	33	3
1032484417	1	5	33	4
1033737153	1	6	33	5
1056987229	1	6	34	5
1060733833	1	5	34	4
1060854071	1	4	34	3
1062476288	1	3	34	2
1064099844	1	2	34	1
1065614278	1	7	34	6
1082110874	1	6	35	5
1085850677	1	3	35	2
1091366263	1	7	35	6
1093230618	1	4	35	3
1093973382	1	2	35	1
1094859336	1	5	35	4
1112361831	1	6	36	5
1112979532	1	4	36	3
1117990079	1	7	36	6
1118602048	1	3	36	2
1124347618	1	2	36	1
1124732242	1	5	36	4
1142602355	1	2	37	1
1142981265	1	4	37	3
1146852440	1	3	37	2
1146987296	1	6	37	5
1147011739	1	5	37	4
1171977163	1	3	38	2
1174986817	1	6	38	5
1175983996	1	5	38	4
1183848425	1	2	38	1
1186238333	1	7	38	6
1186354073	1	4	38	3
1204606267	1	4	39	3
1205857268	1	5	39	4
1207097739	1	2	39	1
1207851353	1	3	39	2
1209616190	1	7	39	6
1211361568	1	6	39	5
1231224004	1	2	40	1
1234861830	1	6	40	5
1243239251	1	7	40	6
1243609416	1	5	40	4
1244977072	1	3	40	2
1245855596	1	4	40	3
1263722682	1	2	41	1
1268980081	1	4	41	3
1270237613	1	6	41	5
1272484297	1	5	41	4
1273727085	1	3	41	2
1274864251	1	7	41	6
1291230429	1	4	42	3
1293350753	1	3	42	2
1300489978	1	7	42	6
1301598621	1	2	42	1
1303233619	1	5	42	4
1304862228	1	6	42	5
1322357235	1	5	43	4
1324849851	1	2	43	1
1327231196	1	4	43	3
1329491320	1	7	43	6
1332726442	1	3	43	2
1335861816	1	6	43	5
1353864685	1	7	44	6
1357976282	1	3	44	2
1360473424	1	2	44	1
1361112166	1	6	44	5
1363482874	1	5	44	4
1364230585	1	4	44	3
1384480638	1	4	45	3
1388600771	1	3	45	2
1388987614	1	6	45	5
1390616269	1	7	45	6
1411847722	1	2	46	1
1419858796	1	5	46	4
1420862863	1	6	46	5
1420976830	1	3	46	2
1422491326	1	7	46	6
1424979059	1	4	46	3
1440855585	1	4	47	3
1444224454	1	2	47	1
1445976505	1	3	47	2
1448858902	1	5	47	4
1450991320	1	7	47	6
1451861759	1	6	47	5
1473852601	1	3	48	2
1478973896	1	2	48	1
1480989251	1	7	48	6
1482983780	1	5	48	4
1484729070	1	4	48	3
1484862615	1	6	48	5
1502736785	1	6	49	5
1504857587	1	5	49	4
1504989751	1	7	49	6
1505007520	1	3	49	2
1506730027	1	4	49	3
1512848425	1	2	49	1
1530980129	1	4	50	3
1531849775	1	2	50	1
1532975847	1	3	50	2
1535239215	1	7	50	6
1542612614	1	6	50	5
1544484419	1	5	50	4
1563737229	1	6	51	5
1565726386	1	3	51	2
1567103933	1	4	51	3
1568609417	1	5	51	4
1573472620	1	2	51	1
1575365079	1	7	51	6
1594105804	1	4	52	3
1596977319	1	3	52	2
1599735536	1	6	52	5
1601348900	1	2	52	1
1604233620	1	5	52	4
1605113297	1	7	52	6
1628863249	1	7	53	6
1628986848	1	6	53	5
1629856195	1	4	53	3
1630723425	1	2	53	1
1632601420	1	3	53	2
1633234414	1	5	53	4
1652473425	1	2	54	1
1653476831	1	3	54	2
1653608920	1	5	54	4
1654355621	1	4	54	3
1655987054	1	6	54	5
1661865537	1	7	54	6
1681722739	1	2	55	1
1682849586	1	3	55	2
1690865363	1	7	55	6
1691234414	1	5	55	4
1692612077	1	6	55	5
1693104030	1	4	55	3
1713230769	1	4	56	3
1715366187	1	7	56	6
1715599254	1	2	56	1
1717727440	1	3	56	2
1720612242	1	6	56	5
1721232243	1	5	56	4
1743362228	1	6	57	5
1751348586	1	2	57	1
1752606047	1	5	57	4
1753116322	1	7	57	6
1754349586	1	3	57	2
1773858902	1	5	58	4
1777852604	1	3	58	2
1779853950	1	4	58	3
1780237115	1	6	58	5
1782099249	1	2	58	1
