time	dest	src	seqn
31351426	1	6	0
33602520	1	5	0
34459539	1	4	0
37817146	1	3	0
38350479	1	2	0
45475861	1	7	0
60891294	1	5	1
64608912	1	2	1
65452133	1	7	1
68405142	1	4	1
70984529	1	6	1
74457440	1	3	1
93780545	1	2	2
94750669	1	5	2
95152509	1	3	2
95702438	1	4	2
96406404	1	6	2
97436508	1	7	2
121703611	1	6	3
121795883	1	7	3
122827421	1	2	3
122873981	1	4	3
123081029	1	5	3
123261838	1	3	3
152839963	1	3	4
155304552	1	6	4
156842642	1	4	4
160618235	1	5	4
162186707	1	2	4
165413360	1	7	4
181639517	1	4	5
184040021	1	5	5
187449338	1	3	5
189335235	1	7	5
191038973	1	6	5
195483914	1	2	5
212337228	1	5	6
213655546	1	2	6
214132110	1	7	6
215148302	1	6	6
217311480	1	4	6
224433713	1	3	6
242702421	1	2	7
249280142	1	4	7
249508771	1	5	7
251793088	1	3	7
253632677	1	6	7
254803985	1	7	7
272350860	1	7	8
274178290	1	4	8
274781965	1	5	8
275527463	1	3	8
282272355	1	2	8
285492052	1	6	8
302037665	1	4	9
303772735	1	7	9
305506730	1	2	9
307266294	1	5	9
308832440	1	3	9
310726427	1	6	9
331274548	1	5	10
333859681	1	6	10
335811660	1	7	10
339301342	1	3	10
341116257	1	2	10
344022192	1	4	10
361848217	1	3	11
362171106	1	7	11
362946423	1	5	11
363506567	1	4	11
364359064	1	2	11
366281556	1	6	11
394320329	1	6	12
395360196	1	5	12
399241637	1	7	12
400514669	1	4	12
400530609	1	2	12
405824490	1	3	12
423186544	1	4	13
428493298	1	5	13
429647507	1	2	13
430578849	1	6	13
435168240	1	3	13
435905410	1	7	13
451881927	1	2	14
455902615	1	3	14
457210387	1	7	14
461750306	1	6	14
462733419	1	4	14
464915173	1	5	14
481414079	1	6	15
481953946	1	5	15
486499160	1	7	15
492011990	1	3	15
492491257	1	2	15
494194067	1	4	15
512287817	1	4	16
513475632	1	2	16
520523454	1	6	16
522358535	1	7	16
522496365	1	3	16
523313321	1	5	16
541504467	1	3	17
543719056	1	6	17
545835007	1	2	17
548383923	1	5	17
550679137	1	7	17
554670919	1	4	17
570592551	1	4	18
575723305	1	3	18
579226012	1	7	18
579515931	1	6	18
583430798	1	5	18
585468109	1	2	18
601734681	1	6	19
604352673	1	5	19
611647975	1	7	19
612213249	1	2	19
613145092	1	3	19
615389669	1	4	19
632945094	1	7	20
633442297	1	3	20
634156556	1	6	20
637061544	1	4	20
637843109	1	2	20
638149548	1	5	20
663389984	1	2	21
664054704	1	6	21
666546035	1	7	21
668610241	1	5	21
669543240	1	3	21
670975317	1	4	21
696811859	1	2	22
698277615	1	3	22
698280410	1	7	22
698735196	1	5	22
698789079	1	6	22
701545919	1	4	22
726163512	1	7	23
726210007	1	2	23
728087380	1	5	23
733871365	1	3	23
734264669	1	4	23
735672181	1	6	23
751936544	1	4	24
752085387	1	7	24
752730740	1	3	24
755594056	1	6	24
762944382	1	2	24
764258923	1	5	24
783382829	1	6	25
785053757	1	2	25
785490942	1	4	25
787020092	1	3	25
788874160	1	7	25
791305798	1	5	25
812227673	1	5	26
817733535	1	7	26
817918240	1	3	26
819725317	1	4	26
822242204	1	6	26
823538132	1	2	26
842397552	1	2	27
842476579	1	6	27
844967910	1	7	27
845077501	1	4	27
851024548	1	5	27
852761990	1	3	27
872875821	1	5	28
874101012	1	7	28
879246365	1	3	28
881249044	1	4	28
882631882	1	2	28
885609681	1	6	28
902031556	1	6	29
904522887	1	7	29
905933865	1	3	29
906241257	1	2	29
913110196	1	5	29
913321883	1	4	29
932027616	1	3	30
940070330	1	6	30
942217795	1	4	30
942585008	1	2	30
945243299	1	5	30
945561661	1	7	30
962014670	1	4	31
966665174	1	5	31
969136991	1	3	31
970319383	1	2	31
971429705	1	6	31
974921036	1	7	31
993164080	1	6	32
994655411	1	7	32
1001428758	1	2	32
1002962379	1	5	32
1003621366	1	3	32
1003686545	1	4	32
1021480741	1	3	33
1021964067	1	2	33
1022764786	1	7	33
1029655295	1	4	33
1032133924	1	5	33
1033273455	1	6	33
1056469145	1	6	34
1058797697	1	5	34
1059945363	1	4	34
1062324491	1	3	34
1064006883	1	2	34
1064960388	1	7	34
1081265932	1	6	35
1085668286	1	3	35
1090757263	1	7	35
1093053443	1	4	35
1093859067	1	2	35
1093907072	1	5	35
1111937807	1	6	36
1112787818	1	4	36
1117429138	1	7	36
1118402616	1	3	36
1124288133	1	2	36
1124391447	1	5	36
1141851580	1	6	37
1141897193	1	4	37
1142147554	1	2	37
1143511991	1	3	37
1144250822	1	5	37
1144342911	1	7	37
1171676343	1	3	38
1174484682	1	6	38
1175571424	1	5	38
1183734065	1	2	38
1184976013	1	7	38
1185446945	1	4	38
1203889670	1	4	39
1205485197	1	5	39
1207069383	1	2	39
1207699537	1	3	39
1208952286	1	7	39
1210460955	1	6	39
1231178757	1	2	40
1234445329	1	6	40
1241936660	1	7	40
1242204187	1	5	40
1244777615	1	3	40
1245561544	1	4	40
1263663177	1	2	41
1268530382	1	4	41
1269804704	1	6	41
1272078946	1	5	41
1273551342	1	3	41
1274296035	1	7	41
1290827499	1	4	42
1293129467	1	3	42
1299866725	1	7	42
1301522507	1	2	42
1302837378	1	5	42
1304375306	1	6	42
1322008923	1	5	43
1324756882	1	2	43
1326999132	1	4	43
1328913512	1	7	43
1332520092	1	3	43
1335422181	1	6	43
1353139785	1	7	44
1357817299	1	3	44
1360366257	1	2	44
1360648454	1	6	44
1363172696	1	5	44
1364045919	1	4	44
1384272192	1	4	45
1386055798	1	5	45
1386350632	1	2	45
1388344056	1	6	45
1388418240	1	3	45
1389835387	1	7	45
1411788178	1	2	46
1418625821	1	5	46
1419812806	1	6	46
1420152661	1	3	46
1420632262	1	7	46
1424756567	1	4	46
1440615942	1	4	47
1444131882	1	2	47
1445746365	1	3	47
1448479895	1	5	47
1450304225	1	7	47
1451359681	1	6	47
1473605740	1	3	48
1478897507	1	2	48
1480327923	1	7	48
1481813321	1	5	48
1481946426	1	4	48
1482781556	1	6	48
1502078761	1	6	49
1502547696	1	5	49
1502570092	1	7	49
1504487437	1	3	49
1506459692	1	4	49
1512741257	1	2	49
1530702502	1	4	50
1531702485	1	2	50
1532793241	1	3	50
1534671036	1	7	50
1542179776	1	6	50
1544141447	1	5	50
1563297182	1	6	51
1565527662	1	3	51
1566874045	1	4	51
1568235197	1	5	51
1573413133	1	2	51
1574405411	1	7	51
1593842795	1	4	52
1596832681	1	3	52
1599219057	1	6	52
1601272508	1	2	52
1603844572	1	5	52
1604514786	1	7	52
1625999161	1	7	53
1627015932	1	6	53
1629311633	1	4	53
1630639985	1	2	53
1632215116	1	3	53
1632828947	1	5	53
1652359153	1	2	54
1652758924	1	5	54
1652902662	1	3	54
1654178443	1	4	54
1655554705	1	6	54
1660858536	1	7	54
1681577485	1	2	55
1682707681	1	3	55
1690092911	1	7	55
1690727674	1	5	55
1692172182	1	6	55
1692912818	1	4	55
1713022193	1	4	56
1714726013	1	7	56
1715499360	1	2	56
1717504468	1	3	56
1719094057	1	6	56
1720524637	1	5	56
1742890932	1	6	57
1749147888	1	7	57
1749219572	1	5	57
1750506568	1	4	57
1751296235	1	2	57
1754176343	1	3	57
1773462379	1	5	58
1777660718	1	3	58
1779600318	1	4	58
1779742251	1	6	58
1781968110	1	2	58
1785686661	1	7	58
