time	dest	src	seqn	hops
31208433	1	6	0	5
33795602	1	5	0	4
34605570	1	4	0	3
37353210	1	3	0	2
38130976	1	2	0	1
45117612	1	7	0	6
64473627	1	2	1	1
65578415	1	5	1	4
69603657	1	4	1	3
70585380	1	7	1	6
73539140	1	3	1	2
74799262	1	6	1	5
91867622	1	7	2	6
91978657	1	4	2	3
95802208	1	6	2	5
97572439	1	3	2	2
101264353	1	5	2	4
103224582	1	2	2	1
123700218	1	4	3	3
125204302	1	6	3	5
129507920	1	3	3	2
130797013	1	5	3	4
132054130	1	7	3	6
135317158	1	2	3	1
151074243	1	4	4	3
156210428	1	7	4	6
156287981	1	3	4	2
159739548	1	6	4	5
162796254	1	5	4	4
164818472	1	2	4	1
184306096	1	7	5	6
184661092	1	2	5	1
186978659	1	4	5	3
188976640	1	3	5	2
191766139	1	5	5	4
194768012	1	6	5	5
211140716	1	5	6	4
211793002	1	4	6	3
219912082	1	2	6	1
224773063	1	7	6	6
225506729	1	3	6	2
225740251	1	6	6	5
245945391	1	3	7	2
246486982	1	6	7	5
246504662	1	2	7	1
246742610	1	7	7	6
247447409	1	4	7	3
247953263	1	5	7	4
271011825	1	4	8	3
273672316	1	5	8	4
275228055	1	3	8	2
278897928	1	7	8	6
280583454	1	6	8	5
283505986	1	2	8	1
301513363	1	5	9	4
301545651	1	7	9	6
303848592	1	2	9	1
309416159	1	4	9	3
310174262	1	6	9	5
312414140	1	3	9	2
332474108	1	2	10	1
333139573	1	5	10	4
334173204	1	6	10	5
334324405	1	4	10	3
335491686	1	7	10	6
337165708	1	3	10	2
361836827	1	7	11	6
362075226	1	4	11	3
362518164	1	6	11	5
363192530	1	2	11	1
364664762	1	3	11	2
368669597	1	5	11	4
391270949	1	6	12	5
392878724	1	2	12	1
396509679	1	3	12	2
404168008	1	4	12	3
405109973	1	5	12	4
405585532	1	7	12	6
423668976	1	4	13	3
425758512	1	3	13	2
430362128	1	6	13	5
430680263	1	7	13	6
432411280	1	2	13	1
435390916	1	5	13	4
450849666	1	2	14	1
454865461	1	6	14	5
456179282	1	7	14	6
458609974	1	5	14	4
462511932	1	4	14	3
465353209	1	3	14	2
484130080	1	2	15	1
484705948	1	6	15	5
492024022	1	7	15	6
492886841	1	4	15	3
493607095	1	5	15	4
494697114	1	3	15	2
515446016	1	3	16	2
515827670	1	5	16	4
515986379	1	6	16	5
516273080	1	7	16	6
520291312	1	4	16	3
520319227	1	2	16	1
542549815	1	6	17	5
548733637	1	5	17	4
551540708	1	3	17	2
551867764	1	7	17	6
554067530	1	2	17	1
555605440	1	4	17	3
571762981	1	4	18	3
579170813	1	5	18	4
579411280	1	2	18	1
580548204	1	6	18	5
582039785	1	3	18	2
583866454	1	7	18	6
601659973	1	2	19	1
602547003	1	5	19	4
602884458	1	3	19	2
603893164	1	6	19	5
606211484	1	7	19	6
613542616	1	4	19	3
633044231	1	4	20	3
638646177	1	6	20	5
642133736	1	3	20	2
642255030	1	2	20	1
645514436	1	5	20	4
661890797	1	5	21	4
663253724	1	2	21	1
667728208	1	3	21	2
668886980	1	4	21	3
673737315	1	6	21	5
675054807	1	7	21	6
693240461	1	6	22	5
695598780	1	2	22	1
696608286	1	5	22	4
697727471	1	3	22	2
698585648	1	7	22	6
701135118	1	4	22	3
722730682	1	4	23	3
724350295	1	2	23	1
727399000	1	7	23	6
729071959	1	3	23	2
732081065	1	6	23	5
733202008	1	5	23	4
751925976	1	6	24	5
756480729	1	4	24	3
757821170	1	3	24	2
761203416	1	5	24	4
761442530	1	2	24	1
762241454	1	7	24	6
783774331	1	7	25	6
783941224	1	2	25	1
788889454	1	5	25	4
791915864	1	3	25	2
793637726	1	4	25	3
795455664	1	6	25	5
811896179	1	6	26	5
814210648	1	7	26	6
821699367	1	4	26	3
821786280	1	2	26	1
823414762	1	3	26	2
825422049	1	5	26	4
842320542	1	3	27	2
845603809	1	4	27	3
846859819	1	5	27	4
850493679	1	7	27	6
854034974	1	2	27	1
855174414	1	6	27	5
873161280	1	2	28	1
878890156	1	5	28	4
881268447	1	6	28	5
881419143	1	4	28	3
881603648	1	3	28	2
884586521	1	7	28	6
903021711	1	6	29	5
904335381	1	7	29	6
906599630	1	2	29	1
911263345	1	5	29	4
912261690	1	4	29	3
914131940	1	3	29	2
932463005	1	7	30	6
932572560	1	4	30	3
932880357	1	2	30	1
936572780	1	3	30	2
938983187	1	5	30	4
943142019	1	6	30	5
961112199	1	6	31	5
962883800	1	3	31	2
963210938	1	7	31	6
963356633	1	4	31	3
974109477	1	5	31	4
975068380	1	2	31	1
991801943	1	6	32	5
997774333	1	7	32	6
998039324	1	3	32	2
999543213	1	4	32	3
1003316223	1	2	32	1
1004577008	1	5	32	4
1022161282	1	2	33	1
1024023557	1	7	33	6
1024330666	1	6	33	5
1027450422	1	4	33	3
1027702589	1	5	33	4
1032290709	1	3	33	2
1056005031	1	2	34	1
1058618682	1	7	34	6
1059009616	1	3	34	2
1063793977	1	4	34	3
1064766955	1	6	34	5
1065735042	1	5	34	4
1085699478	1	4	35	3
1089049816	1	6	35	5
1091616967	1	7	35	6
1093015733	1	5	35	4
1094003723	1	2	35	1
1095445544	1	3	35	2
1119799426	1	6	36	5
1120016245	1	5	36	4
1120135119	1	4	36	3
1122348781	1	2	36	1
1124728209	1	3	36	2
1125367736	1	7	36	6
1145230714	1	4	37	3
1145947179	1	3	37	2
1149554283	1	7	37	6
1151192531	1	2	37	1
1152391955	1	6	37	5
1153358188	1	5	37	4
1171009804	1	3	38	2
1171691223	1	2	38	1
1176234892	1	5	38	4
1180486915	1	6	38	5
1184824405	1	4	38	3
1185741831	1	7	38	6
1201170814	1	5	39	4
1202805313	1	7	39	6
1205258053	1	3	39	2
1211575227	1	4	39	3
1213985705	1	6	39	5
1214536281	1	2	39	1
1232953577	1	5	40	4
1236304747	1	7	40	6
1241853208	1	3	40	2
1242668154	1	4	40	3
1243784972	1	2	40	1
1245830664	1	6	40	5
1270167470	1	4	41	3
1270639437	1	5	41	4
1271852364	1	3	41	2
1273150000	1	7	41	6
1275079454	1	6	41	5
1275380030	1	2	41	1
1293381301	1	2	42	1
1294011975	1	4	42	3
1294169593	1	5	42	4
1295197114	1	3	42	2
1296398147	1	7	42	6
1300674696	1	6	42	5
1325262983	1	4	43	3
1326705665	1	6	43	5
1327723782	1	2	43	1
1327946013	1	3	43	2
1329993679	1	7	43	6
1331609971	1	5	43	4
1351924811	1	6	44	5
1352960580	1	7	44	6
1353040933	1	3	44	2
1357472476	1	2	44	1
1358639564	1	5	44	4
1359855541	1	4	44	3
1380567530	1	2	45	1
1382273080	1	7	45	6
1389853807	1	4	45	3
1392015796	1	5	45	4
1394113216	1	6	45	5
1395540708	1	3	45	2
1411510352	1	3	46	2
1411911280	1	2	46	1
1412733257	1	5	46	4
1413143234	1	6	46	5
1414428953	1	7	46	6
1423199399	1	4	46	3
1442947559	1	4	47	3
1446755032	1	2	47	1
1447461522	1	7	47	6
1449082226	1	6	47	5
1450858844	1	5	47	4
1451759458	1	3	47	2
1470753723	1	2	48	1
1472043213	1	4	48	3
1473265038	1	5	48	4
1473289785	1	3	48	2
1475397684	1	7	48	6
1476861914	1	6	48	5
1504181250	1	7	49	6
1506847476	1	2	49	1
1508421341	1	5	49	4
1508508512	1	3	49	2
1510548204	1	6	49	5
1515541307	1	4	49	3
1530942531	1	2	50	1
1533758057	1	3	50	2
1533929331	1	7	50	6
1536080676	1	6	50	5
1537386980	1	4	50	3
1544046881	1	5	50	4
1564400001	1	7	51	6
1568520969	1	6	51	5
1571286281	1	2	51	1
1571415709	1	3	51	2
1573014507	1	5	51	4
1574635058	1	4	51	3
1592799699	1	6	52	5
1593230727	1	4	52	3
1594534973	1	2	52	1
1597390174	1	5	52	4
1598835580	1	7	52	6
1603101794	1	3	52	2
1622634806	1	3	53	2
1626018165	1	6	53	5
1629108276	1	5	53	4
