time	dest	src	seqn
30949387	1	6	0
33594225	1	5	0
34447030	1	4	0
37256333	1	3	0
38083446	1	2	0
44849298	1	7	0
64442894	1	2	1
65391433	1	5	1
69431406	1	4	1
70270840	1	7	1
73427789	1	3	1
74558763	1	6	1
91568045	1	7	2
91790781	1	4	2
95543138	1	6	2
97474996	1	3	2
101063065	1	5	2
103177197	1	2	2
123525156	1	4	3
124902513	1	6	3
129396539	1	3	3
130610181	1	5	3
131739590	1	7	3
135286572	1	2	3
150908588	1	4	4
155903363	1	7	4
156193744	1	3	4
159473115	1	6	4
162586124	1	5	4
164770947	1	2	4
184012738	1	7	5
184630368	1	2	5
186830222	1	4	5
188865289	1	3	5
191570545	1	5	5
194520408	1	6	5
210929874	1	5	6
211627338	1	4	6
219864697	1	2	6
224497113	1	7	6
225412494	1	3	6
225441865	1	6	6
245834039	1	3	7
246239072	1	6	7
246356488	1	7	7
246474072	1	2	7
247298971	1	4	7
247664249	1	5	7
270846090	1	4	8
273469226	1	5	8
275131332	1	3	8
278590863	1	7	8
280324388	1	6	8
283458447	1	2	8
301200238	1	7	9
301266601	1	5	9
303817868	1	2	9
309267633	1	4	9
309933809	1	6	9
312302789	1	3	9
332435871	1	2	10
332938128	1	5	10
333918290	1	6	10
334165933	1	4	10
335184765	1	7	10
337076089	1	3	10
361544211	1	7	11
361900308	1	4	11
362277665	1	6	11
363154619	1	2	11
364560464	1	3	11
368485421	1	5	11
391012040	1	6	12
392826164	1	2	12
396419885	1	3	12
404009683	1	4	12
404906878	1	5	12
405278515	1	7	12
423494058	1	4	13
425654259	1	3	13
430121415	1	6	13
430387890	1	7	13
432373281	1	2	13
435204171	1	5	13
450794826	1	2	14
454605790	1	6	14
455872265	1	7	14
458375628	1	5	14
462353433	1	4	14
465263589	1	3	14
484092031	1	2	15
484465165	1	6	15
491731640	1	7	15
492721240	1	4	15
493422833	1	5	15
494607339	1	3	15
515341714	1	3	16
515633151	1	5	16
515699540	1	6	16
515966015	1	7	16
520142785	1	4	16
520274402	1	2	16
542308915	1	6	17
548492526	1	5	17
551451089	1	3	17
551575390	1	7	17
554036724	1	2	17
555439990	1	4	17
571611535	1	4	18
578726946	1	5	18
579380474	1	2	18
580293290	1	6	18
581935464	1	3	18
583559765	1	7	18
601614849	1	2	19
602336276	1	5	19
602794839	1	3	19
603652665	1	6	19
605919140	1	7	19
613384683	1	4	19
632869058	1	4	20
637653515	1	7	20
638387040	1	6	20
642029214	1	3	20
642224224	1	2	20
645320651	1	5	20
661680026	1	5	21
663208599	1	2	21
667638589	1	3	21
668728433	1	4	21
673496415	1	6	21
674762890	1	7	21
692980790	1	6	22
695567974	1	2	22
696414401	1	5	22
697622964	1	3	22
698247265	1	7	22
700962808	1	4	22
722572183	1	4	23
724302395	1	2	23
727106640	1	7	23
728982339	1	3	23
731840165	1	6	23
733008151	1	5	23
751660767	1	6	24
756314992	1	4	24
757716714	1	3	24
761016585	1	5	24
761411724	1	2	24
761927330	1	7	24
783474447	1	7	25
783896099	1	2	25
788688216	1	5	25
791826089	1	3	25
793486535	1	4	25
795207972	1	6	25
811629517	1	6	26
813895992	1	7	26
821533742	1	4	26
821755474	1	2	26
823310464	1	3	26
825235335	1	5	26
842169839	1	3	27
845455285	1	4	27
846656878	1	5	27
850193197	1	7	27
853989849	1	2	27
854926724	1	6	27
873123283	1	2	28
878695651	1	5	28
881027711	1	6	28
881244058	1	4	28
881490441	1	3	28
884294140	1	7	28
902762040	1	6	29
904028515	1	7	29
906544826	1	2	29
911055072	1	5	29
912103433	1	4	29
