time	dest	src	seqn
31264636	1	5	0
31896853	1	10	0
34771119	1	7	0
37285946	1	9	0
37518167	1	3	0
38157081	1	4	0
40063533	1	6	0
43712957	1	2	0
44318144	1	8	0
65124012	1	5	1
65453957	1	4	1
65485409	1	6	1
66755495	1	7	1
67395322	1	9	1
68568729	1	10	1
70841251	1	8	1
73690043	1	3	1
75822333	1	2	1
90782284	1	6	2
91114870	1	7	2
91879697	1	9	2
92115604	1	10	2
92583682	1	8	2
92625921	1	4	2
93358387	1	5	2
97736918	1	3	2
105306708	1	2	2
120672707	1	4	3
125170394	1	2	3
128954159	1	6	3
129658793	1	3	3
131537479	1	10	3
132919376	1	8	3
132967762	1	5	3
134732347	1	7	3
134739072	1	9	3
156455668	1	3	4
156594582	1	4	4
156724307	1	8	4
160400458	1	2	4
161952137	1	5	4
161973447	1	9	4
164001034	1	6	4
164442995	1	7	4
164834354	1	10	4
181311512	1	5	5
181391457	1	4	5
186302370	1	7	5
187009833	1	2	5
188372455	1	8	5
189127588	1	3	5
193006229	1	10	5
193582822	1	9	5
194922909	1	6	5
215719784	1	6	6
216053149	1	10	6
216739932	1	8	6
217063332	1	4	6
217567197	1	9	6
218045887	1	5	6
218536745	1	7	6
223994208	1	2	6
225674418	1	3	6
240610207	1	4	7
241146120	1	7	7
242200580	1	8	7
244353671	1	2	7
245155262	1	5	7
246096293	1	3	7
246391659	1	6	7
252926572	1	9	7
254974979	1	10	7
270630557	1	8	8
272938623	1	6	8
273088046	1	2	8
275130541	1	7	8
275393168	1	3	8
277639637	1	5	8
278771854	1	10	8
279032082	1	4	8
280660947	1	9	8
301489952	1	7	9
302197421	1	2	9
304329045	1	4	9
304499012	1	5	9
305360409	1	6	9
306443729	1	10	9
306770322	1	9	9
309403796	1	8	9
312565043	1	3	9
332990801	1	10	10
333612069	1	3	10
334396334	1	8	10
335733538	1	5	10
339657436	1	6	10
342681859	1	2	10
343254848	1	9	10
343500984	1	4	10
345224397	1	7	10
365114223	1	9	11
366547859	1	4	11
366981982	1	8	11
367412630	1	10	11
368533990	1	3	11
369342913	1	5	11
370333772	1	7	11
370829311	1	6	11
372541234	1	2	11
392327288	1	5	12
394348598	1	9	12
394876186	1	6	12
395775609	1	2	12
395818147	1	7	12
399709505	1	10	12
401037047	1	8	12
401469734	1	4	12
403330819	1	3	12
422798149	1	6	13
422935107	1	8	13
423881426	1	10	13
429002694	1	3	13
430266609	1	4	13
431384984	1	2	13
431677522	1	7	13
433686663	1	5	13
433957973	1	9	13
451549570	1	3	14
452938572	1	4	14
452942348	1	9	14
455911897	1	7	14
455928301	1	10	14
456421038	1	5	14
458594936	1	6	14
459552672	1	8	14
462369359	1	2	14
481301723	1	9	15
481971444	1	3	15
487266811	1	6	15
489530413	1	5	15
489728734	1	2	15
491521272	1	7	15
492263278	1	8	15
492485359	1	4	15
494850130	1	10	15
510813686	1	6	16
515943387	1	8	16
516014788	1	5	16
519907234	1	4	16
521463109	1	2	16
521647005	1	10	16
523268319	1	3	16
523505647	1	7	16
526036098	1	9	16
542145473	1	9	17
543235649	1	6	17
543440195	1	3	17
545865022	1	7	17
548874163	1	5	17
552318880	1	10	17
552966448	1	8	17
554572484	1	2	17
555204109	1	4	17
571375984	1	4	18
571629848	1	9	18
572208834	1	8	18
573487069	1	3	18
574056948	1	2	18
577599397	1	7	18
578865755	1	10	18
579108538	1	5	18
583532436	1	6	18
602718002	1	5	19
603287630	1	10	19
604704311	1	6	19
608408944	1	3	19
609916234	1	2	19
614044527	1	8	19
614422859	1	4	19
614708772	1	7	19
615489223	1	9	19
630344491	1	4	20
631205819	1	3	20
632150698	1	2	20
638193147	1	7	20
644349547	1	8	20
644600130	1	10	20
644723598	1	9	20
644751186	1	6	20
645702288	1	5	20
661756380	1	10	21
662061752	1	5	21
664673061	1	6	21
671873124	1	7	21
672759984	1	2	21
672877694	1	3	21
673332973	1	9	21
674497652	1	8	21
675141609	1	4	21
693419999	1	7	22
693744359	1	2	22
695424569	1	3	22
696365262	1	8	22
696796038	1	5	22
696813484	1	4	22
697469936	1	6	22
697803255	1	10	22
698317348	1	9	22
721141811	1	6	23
723841874	1	7	23
726103734	1	2	23
730360359	1	4	23
730676723	1	9	23
731325778	1	8	23
732846444	1	3	23
733725131	1	10	23
733905413	1	5	23
753143319	1	3	24
753255709	1	8	24
754838109	1	2	24
758411098	1	9	24
760138749	1	7	24
760522005	1	10	24
760782234	1	4	24
763389788	1	5	24
764688686	1	6	24
781110561	1	6	25
783249163	1	5	25
783315194	1	3	25
784528857	1	8	25
786079109	1	4	25
786310624	1	7	25
791193881	1	10	25
791947484	1	2	25
792520473	1	9	25
812083818	1	7	26
813021334	1	8	26
814431859	1	2	26
815362069	1	3	26
823250984	1	4	26
823483538	1	5	26
824407436	1	6	26
825740755	1	10	26
826004848	1	9	26
842568193	1	7	27
845579311	1	6	27
847283990	1	3	27
848092913	1	5	27
850107073	1	8	27
851297859	1	4	27
852291234	1	2	27
854162630	1	10	27
855864223	1	9	27
875219734	1	4	28
876662136	1	8	28
877427522	1	7	28
879077288	1	5	28
879098598	1	9	28
883626186	1	6	28
884459506	1	10	28
884525609	1	2	28
885080819	1	3	28
903661942	1	7	29
904060107	1	8	29
905548061	1	6	29
906631380	1	10	29
909707973	1	9	29
911134984	1	2	29
911436663	1	5	29
911752695	1	3	29
914016609	1	4	29
930344937	1	6	30
931688485	1	4	30
935119360	1	2	30
936692438	1	9	30
938271273	1	7	30
939171039	1	5	30
943678256	1	10	30
944299570	1	3	30
945177673	1	8	30
961016812	1	6	31
966478735	1	2	31
966721491	1	3	31
969051895	1	9	31
971235360	1	4	31
971255648	1	7	31
971600131	1	10	31
972388324	1	8	31
974280414	1	5	31
993018321	1	3	32
993563775	1	6	32
995397052	1	10	32
1001657235	1	4	32
1003213110	1	2	32
1003615023	1	7	32
1004568298	1	8	32
1004764789	1	5	32
1005786099	1	9	32
1023895474	1	9	33
1024624164	1	5	33
1025322485	1	2	33
1026954110	1	4	33
1027091358	1	8	33
1028190241	1	3	33
1033985562	1	6	33
1035349398	1	7	33
1036068881	1	10	33
1052458819	1	7	34
1055858539	1	5	34
1057379938	1	9	34
1057833835	1	8	34
1058282437	1	6	34
1061237070	1	3	34
1062615757	1	10	34
1063806860	1	2	34
1065125985	1	4	34
1082666324	1	2	35
1085158945	1	3	35
1085943148	1	7	35
1086239313	1	9	35
1088037632	1	10	35
1090172860	1	4	35
1092169529	1	8	35
1092467914	1	5	35
1093454312	1	6	35
1113974460	1	8	36
1116473688	1	9	36
1119094735	1	4	36
1119334506	1	10	36
1119955820	1	3	36
1122452289	1	5	36
1122802523	1	7	36
1122900610	1	2	36
1124501187	1	6	36
1141627695	1	3	37
1143506382	1	10	37
1145082974	1	9	37
1145622608	1	8	37
1146036898	1	7	37
1146509985	1	2	37
1147423062	1	6	37
1149811664	1	5	37
1150891610	1	4	37
1174563485	1	4	38
1176219937	1	6	38
1178553256	1	10	38
1178990262	1	8	38
1179174571	1	3	38
1179646273	1	7	38
1183546039	1	5	38
1184494360	1	2	38
1185067349	1	9	38
1200630648	1	7	39
1202110448	1	4	39
1208891812	1	6	39
1210450824	1	8	39
1210475175	1	10	39
1212853735	1	2	39
1213426724	1	9	39
1214655414	1	5	39
1215596446	1	3	39
1234060624	1	7	40
1239272005	1	10	40
1240139788	1	5	40
1240161098	1	9	40
1240438686	1	6	40
1240532234	1	4	40
1240588109	1	2	40
1242880797	1	8	40
1244893319	1	3	40
1264829109	1	4	41
1265065194	1	3	41
1267107499	1	7	41
1268270473	1	9	41
1268999163	1	5	41
1269653948	1	8	41
1271697484	1	2	41
1271860561	1	6	41
1271943880	1	10	41
1291157436	1	6	42
1292181859	1	2	42
1295318147	1	7	42
1296112069	1	3	42
1298646511	1	8	42
1299754848	1	9	42
1301000984	1	4	42
1302490755	1	10	42
1304233538	1	5	42
1321614223	1	9	43
1321912630	1	10	43
1324033944	1	3	43
1330177522	1	7	43
1331232028	1	8	43
1333047859	1	4	43
1333329311	1	6	43
1333842913	1	5	43
1335041234	1	2	43
1352376274	1	6	44
1354848598	1	9	44
1358827288	1	5	44
1359411897	1	7	44
1361287137	1	8	44
1361969734	1	4	44
1363830819	1	3	44
1364275609	1	2	44
1366209505	1	10	44
1381766697	1	4	45
1387381380	1	10	45
1388185152	1	8	45
1388298061	1	6	45
1390021272	1	7	45
1392186663	1	5	45
1392457973	1	9	45
1392502694	1	3	45
1395884984	1	2	45
1411442348	1	9	46
1412921038	1	5	46
1413869359	1	2	46
1415428301	1	10	46
1415802584	1	8	46
1416094936	1	6	46
1419049569	1	3	46
1423438484	1	4	46
1425005647	1	7	46
1443513232	1	8	47
1448228734	1	2	47
1448350130	1	10	47
1448801723	1	9	47
1449471444	1	3	47
1449766811	1	6	47
1450985359	1	4	47
1451030413	1	5	47
1453365022	1	7	47
1475313686	1	6	48
1476536098	1	9	48
1476768319	1	3	48
1477963109	1	2	48
1479407234	1	4	48
1481147006	1	10	48
1484099397	1	7	48
1484193297	1	8	48
1484514788	1	5	48
1501072484	1	2	49
1503374252	1	5	49
1507735561	1	6	49
1508208772	1	7	49
1508940194	1	3	49
1510645473	1	9	49
1512216403	1	8	49
1512704109	1	4	49
1515818880	1	10	49
1532032525	1	6	50
1532987070	1	3	50
1534129849	1	9	50
1536458835	1	8	50
1538608539	1	5	50
1541693148	1	7	50
1541875985	1	4	50
1544556860	1	2	50
1545365756	1	10	50
1561908946	1	3	51
1561989224	1	9	51
1562416324	1	2	51
1564922860	1	4	51
1565204312	1	6	51
1569294574	1	8	51
1570552523	1	7	51
1570787631	1	10	51
1574217914	1	5	51
1593599460	1	8	52
1595084552	1	10	52
1596223688	1	9	52
1601251187	1	6	52
1603202289	1	5	52
1603786898	1	7	52
1603844735	1	4	52
1604283133	1	2	52
1605705821	1	3	52
1621377695	1	3	53
1621832974	1	9	53
1623256427	1	10	53
1623641698	1	4	53
1627396273	1	7	53
1627561664	1	5	53
1628173062	1	6	53
1632705008	1	2	53
1633747654	1	8	53
1651970025	1	6	54
1656303302	1	10	54
1657380648	1	7	54
1658615173	1	8	54
1659296039	1	5	54
1661924570	1	3	54
1662817349	1	9	54
1664001883	1	2	54
1665313485	1	4	54
1681641812	1	6	55
1683346445	1	3	55
1685225177	1	10	55
1685405414	1	5	55
1685860360	1	4	55
1688176724	1	9	55
1693173758	1	2	55
1693740023	1	7	55
1694575779	1	8	55
1711474398	1	7	56
1712911099	1	9	56
1713188687	1	6	56
1717022052	1	10	56
1718282235	1	4	56
1718505710	1	8	56
1718643366	1	3	56
1722220633	1	2	56
1722889789	1	5	56
1740579110	1	4	57
1742583819	1	7	57
1744749253	1	5	57
1744815195	1	3	57
1745610562	1	6	57
