time	dest	src	seqn	hops
31602317	1	10	0	2
33740187	1	5	0	1
36620416	1	7	0	1
36927562	1	9	0	3
37501872	1	3	0	3
38126234	1	4	0	1
43267664	1	2	0	1
44328822	1	6	0	1
44957391	1	8	0	4
60979740	1	7	1	1
65313474	1	6	1	1
65422995	1	4	1	1
65537266	1	5	1	1
67037276	1	9	1	3
68274187	1	10	1	2
71480161	1	8	1	4
73673682	1	3	1	3
75377177	1	2	1	1
91521377	1	9	2	3
91821076	1	10	2	2
92595103	1	4	2	1
93222995	1	8	2	4
94672844	1	6	2	1
95714283	1	7	2	1
97720585	1	3	2	3
101209140	1	5	2	1
104861549	1	2	2	1
120641882	1	4	3	1
123823611	1	7	3	1
124720993	1	2	3	1
129642498	1	3	3	3
130407004	1	6	3	1
130756016	1	5	3	1
131243162	1	10	3	2
133558245	1	8	3	4
134380700	1	9	3	3
154177828	1	5	4	1
154526636	1	6	4	1
156440064	1	3	4	3
156563725	1	4	4	1
157363609	1	8	4	4
159955299	1	2	4	1
161615110	1	9	4	3
164307864	1	7	4	1
164539812	1	10	4	2
181360557	1	4	5	1
182474695	1	5	5	1
186167233	1	7	5	1
186564606	1	2	5	1
189011885	1	8	5	4
189111248	1	3	5	3
192711687	1	10	5	2
193000681	1	6	5	1
193224443	1	9	5	3
215759033	1	10	6	2
217032366	1	4	6	1
217208958	1	9	6	3
217378964	1	8	6	4
218401614	1	7	6	1
219646641	1	5	6	1
223549049	1	2	6	1
224860128	1	6	6	1
225658327	1	3	6	3
240579384	1	4	7	1
241011017	1	7	7	1
242693516	1	5	7	1
242839929	1	8	7	4
243908683	1	2	7	1
246080163	1	3	7	3
250094499	1	6	7	1
252568277	1	9	7	3
254680437	1	10	7	2
271269856	1	8	8	4
272642868	1	2	8	1
273615390	1	5	8	1
274995669	1	7	8	1
275377107	1	3	8	3
278477312	1	10	8	2
279001179	1	4	8	1
279703875	1	6	8	1
280302612	1	9	8	3
301354791	1	7	9	1
301412264	1	5	9	1
301752175	1	2	9	1
303688083	1	6	9	1
304298227	1	4	9	1
306149499	1	10	9	2
306411986	1	9	9	3
310042853	1	8	9	4
312548681	1	3	9	3
332060625	1	6	10	1
332696829	1	10	10	2
333084088	1	5	10	1
333595980	1	3	10	3
335035631	1	8	10	4
342236769	1	2	10	1
342896799	1	9	10	3
343470159	1	4	10	1
345089367	1	7	10	1
364756308	1	9	11	3
365165500	1	6	11	1
366517034	1	4	11	1
367118510	1	10	11	2
367621341	1	8	11	4
368517651	1	3	11	3
368631133	1	5	11	1
370198743	1	7	11	1
372096222	1	2	11	1
393087477	1	6	12	1
393990754	1	9	12	3
395330452	1	2	12	1
395683321	1	7	12	1
399415348	1	10	12	2
401438878	1	4	12	1
401676272	1	8	12	4
403314487	1	3	12	3
405053070	1	5	12	1
423595417	1	8	13	4
423613009	1	10	13	2
428884124	1	6	13	1
428986635	1	3	13	3
430235815	1	4	13	1
430939977	1	2	13	1
431542559	1	7	13	1
433599646	1	9	13	3
435349952	1	5	13	1
451533480	1	3	14	3
452584188	1	9	14	3
452907870	1	4	14	1
455634368	1	10	14	2
457555941	1	6	14	1
458521726	1	5	14	1
460196290	1	8	14	4
461386195	1	7	14	1
461924347	1	2	14	1
480943449	1	9	15	3
481102999	1	6	15	1
481958271	1	3	15	3
489283443	1	2	15	1
492454562	1	4	15	1
492902968	1	8	15	4
493370570	1	7	15	1
493568635	1	5	15	1
494555907	1	10	15	2
513524977	1	6	16	1
514490542	1	5	16	1
515730362	1	7	16	1
516582627	1	8	16	4
519876378	1	4	16	1
521017989	1	2	16	1
521352901	1	10	16	2
523252026	1	3	16	3
525677769	1	9	16	3
541787180	1	9	17	3
543424439	1	3	17	3
547464368	1	7	17	1
548287452	1	5	17	1
552024664	1	10	17	2
553605599	1	8	17	4
553821767	1	6	17	1
554127472	1	2	17	1
555173379	1	4	17	1
571271575	1	9	18	3
571345128	1	4	18	1
572848453	1	8	18	4
572959156	1	5	18	1
573470914	1	3	18	3
573611961	1	2	18	1
574993438	1	6	18	1
578571671	1	10	18	2
584573695	1	7	18	1
602993505	1	10	19	2
608058252	1	7	19	1
608392885	1	3	19	3
609471227	1	2	19	1
609506167	1	5	19	1
614392062	1	4	19	1
614684078	1	8	19	4
615040521	1	6	19	1
615130927	1	9	19	3
630313886	1	4	20	1
631189830	1	3	20	3
631705597	1	2	20	1
634962396	1	6	20	1
636917627	1	7	20	1
640927975	1	5	20	1
644290356	1	10	20	2
644365344	1	9	20	3
644988686	1	8	20	4
661462144	1	10	21	2
664152073	1	7	21	1
667759126	1	6	21	1
668224953	1	5	21	1
672314828	1	2	21	1
