time	dest	src	seqn	hops
31894139	1	7	0	1
33645014	1	5	0	1
33894962	1	2	0	1
35272719	1	4	0	2
38647765	1	10	0	2
40770010	1	6	0	1
41651400	1	9	0	3
43776416	1	3	0	3
44901800	1	8	0	4
63025885	1	3	1	3
65394558	1	5	1	1
66143992	1	7	1	1
66393319	1	6	1	1
67520106	1	2	1	1
68655319	1	8	1	4
70146987	1	4	1	2
71523632	1	10	1	2
75774732	1	9	1	3
91520030	1	6	2	1
92520159	1	4	2	2
93893418	1	7	2	1
95651535	1	9	2	3
99776260	1	3	2	3
101143848	1	5	2	1
101654178	1	8	2	4
104518085	1	2	2	1
104772560	1	10	2	2
123019955	1	2	3	1
124272241	1	4	3	2
127523607	1	3	3	3
128646420	1	10	3	2
128779325	1	8	3	4
128895367	1	7	3	1
130018836	1	6	3	1
130644014	1	5	3	1
135400268	1	9	3	3
154018866	1	5	4	1
155394026	1	7	4	1
156645170	1	2	4	1
157404345	1	8	4	4
159151829	1	3	4	3
164148134	1	4	4	2
165643664	1	6	4	1
180894978	1	5	5	1
182901462	1	9	5	3
185772067	1	10	5	2
186517015	1	6	5	1
187654861	1	8	5	4
192017092	1	2	5	1
193896913	1	4	5	2
198276397	1	3	5	3
214772721	1	4	6	2
216274852	1	3	6	3
216520218	1	10	6	2
217518901	1	6	6	1
218268370	1	5	6	1
218528096	1	8	6	4
220644806	1	7	6	1
223650115	1	9	6	3
225269014	1	2	6	1
242771424	1	10	7	2
243519896	1	2	7	1
243645487	1	6	7	1
244021323	1	4	7	2
244769593	1	5	7	1
248651781	1	3	7	3
249019138	1	7	7	1
252153849	1	8	7	4
253026826	1	9	7	3
276519542	1	6	8	1
276775930	1	3	8	3
277147752	1	10	8	2
277268324	1	5	8	1
281394961	1	7	8	1
281650461	1	9	8	3
282647610	1	4	8	2
284779182	1	8	8	4
285395315	1	2	8	1
303518797	1	2	9	1
304144585	1	5	9	1
306026612	1	3	9	3
306144937	1	7	9	1
308522243	1	4	9	2
309397563	1	10	9	2
311645353	1	6	9	1
333019552	1	5	10	1
334025367	1	3	10	3
334151954	1	8	10	4
335273655	1	4	10	2
338022015	1	10	10	2
340650348	1	9	10	3
342144064	1	2	10	1
342768345	1	7	10	1
361895094	1	7	11	1
363025621	1	8	11	4
364893470	1	6	11	1
365392183	1	2	11	1
366776213	1	9	11	3
371398751	1	10	11	2
375272133	1	4	11	2
375399842	1	3	11	3
375519012	1	5	11	1
394643270	1	6	12	1
396019002	1	5	12	1
397522838	1	4	12	2
397642262	1	7	12	1
400894726	1	2	12	1
402022922	1	10	12	2
403274762	1	9	12	3
405775285	1	3	12	3
406029344	1	8	12	4
422269140	1	7	13	1
425151154	1	9	13	3
427276533	1	3	13	3
427403809	1	8	13	4
428148170	1	10	13	2
429145056	1	5	13	1
431893444	1	2	13	1
432523234	1	4	13	2
451275864	1	3	14	3
452522600	1	10	14	2
453026559	1	9	14	3
454019059	1	6	14	1
455769068	1	5	14	1
456643373	1	7	14	1
460279970	1	8	14	4
460392392	1	2	14	1
461272874	1	4	14	2
481522894	1	10	15	2
483151000	1	3	15	3
483897073	1	4	15	2
484269167	1	7	15	1
487400848	1	9	15	3
488144774	1	5	15	1
491020200	1	2	15	1
491652027	1	8	15	4
494270659	1	6	15	1
512395080	1	7	16	1
512768895	1	5	16	1
513529331	1	8	16	4
515520506	1	6	16	1
515649868	1	3	16	3
517521675	1	10	16	2
523777166	1	9	16	3
523895461	1	4	16	2
524144085	1	2	16	1
543645003	1	2	17	1
548394054	1	7	17	1
548651610	1	3	17	3
549394348	1	5	17	1
550897133	1	4	17	2
553522102	1	10	17	2
555154299	1	8	17	4
555517165	1	6	17	1
556025300	1	9	17	3
571527024	1	9	18	3
574018367	1	7	18	1
575394163	1	6	18	1
577655334	1	8	18	4
580768469	1	5	18	1
580895091	1	2	18	1
582901766	1	3	18	3
586148492	1	4	18	2
604026494	1	9	19	3
604150414	1	3	19	3
604269567	1	2	19	1
607904976	1	8	19	4
608020297	1	5	19	1
608269700	1	6	19	1
614897848	1	10	19	2
615394385	1	7	19	1
631649763	1	9	20	3
631893939	1	5	20	1
633780333	1	8	20	4
634521071	1	2	20	1
638520086	1	7	20	1
639401395	1	3	20	3
642018332	1	6	20	1
646397432	1	10	20	2
648397375	1	4	20	2
661398368	1	4	21	2
668025005	1	3	21	3
669520503	1	7	21	1
671519142	1	2	21	1
673520091	1	5	21	1
674155456	1	8	21	4
674398305	1	10	21	2
675145659	1	6	21	1
675525676	1	9	21	3
694020014	1	2	22	1
694778794	1	8	22	4
696395640	1	6	22	1
696773869	1	10	22	2
700267137	1	7	22	1
702150864	1	3	22	3
703018910	1	5	22	1
704776679	1	9	22	3
706147845	1	4	22	2
722905403	1	8	23	4
727401764	1	3	23	3
727770650	1	2	23	1
729522897	1	4	23	2
732526713	1	9	23	3
733143383	1	5	23	1
733396738	1	10	23	2
734392228	1	6	23	1
735519391	1	7	23	1
753019006	1	7	24	1
753268348	1	2	24	1
756269055	1	6	24	1
757645641	1	5	24	1
758399823	1	9	24	3
761397367	1	10	24	2
761773782	1	4	24	2
764651979	1	8	24	4
765150864	1	3	24	3
781142165	1	6	25	1
782894753	1	2	25	1
783397874	1	4	25	2
784270367	1	7	25	1
785398170	1	10	25	2
788644597	1	5	25	1
790775721	1	9	25	3
791776981	1	3	25	3
795028589	1	8	25	4
811769090	1	6	26	1
812901864	1	3	26	3
813276722	1	9	26	3
815404674	1	8	26	4
817395023	1	7	26	1
821020133	1	5	26	1
822522083	1	10	26	2
824272444	1	4	26	2
825142313	1	2	26	1
844268437	1	6	27	1
845395180	1	7	27	1
847023433	1	4	27	2
847144033	1	2	27	1
848769100	1	5	27	1
849022894	1	10	27	2
850650631	1	3	27	3
851404700	1	8	27	4
854401978	1	9	27	3
873273715	1	10	28	2
873894089	1	2	28	1
874267262	1	7	28	1
879275491	1	3	28	3
885519787	1	6	28	1
885777030	1	9	28	3
886397786	1	4	28	2
904778346	1	8	29	4
907776070	1	3	29	3
908147084	1	10	29	2
909020183	1	6	29	1
909768346	1	7	29	1
909894748	1	5	29	1
912520194	1	2	29	1
915022851	1	4	29	2
916025493	1	9	29	3
932522903	1	10	30	2
932647200	1	4	30	2
933143370	1	2	30	1
935518925	1	5	30	1
937029585	1	8	30	4
940394386	1	7	30	1
941401225	1	3	30	3
943152001	1	9	30	3
945270091	1	6	30	1
962647840	1	10	31	2
965155370	1	8	31	4
967144685	1	5	31	1
968144124	1	6	31	1
970520115	1	2	31	1
972528474	1	3	31	3
972647900	1	4	31	2
974275301	1	9	31	3
975269136	1	7	31	1
993655334	1	8	32	4
997019570	1	6	32	1
999401249	1	3	32	3
1000769631	1	2	32	1
1002525422	1	9	32	3
1003644294	1	7	32	1
1003772421	1	4	32	2
1005519013	1	5	32	1
1027023826	1	3	33	3
1027898493	1	4	33	2
1028520102	1	7	33	1
1031155334	1	8	33	4
1031268312	1	6	33	1
1031901116	1	9	33	3
1032770299	1	5	33	1
1033017314	1	2	33	1
1033522103	1	10	33	2
1052018317	1	5	34	1
1054398345	1	10	34	2
1056019142	1	2	34	1
1061151667	1	3	34	3
1062020307	1	6	34	1
1062393917	1	7	34	1
1063404914	1	8	34	4
1064651350	1	9	34	3
1066148367	1	4	34	2
1082522084	1	10	35	2
1083144988	1	6	35	1
1086526116	1	9	35	3
1088279472	1	8	35	4
1089275348	1	3	35	3
1091145377	1	4	35	2
1092895602	1	2	35	1
1094143485	1	7	35	1
1111770050	1	2	36	1
1112769772	1	5	36	1
1115151217	1	9	36	3
1116898084	1	4	36	2
1117895079	1	6	36	1
1118270438	1	10	36	2
1121775349	1	3	36	3
1122404219	1	8	36	4
1123269294	1	7	36	1
1144904903	1	8	37	4
1145650366	1	3	37	3
1149394117	1	6	37	1
1150394598	1	5	37	1
1150896739	1	10	37	2
1154397065	1	4	37	2
1154644090	1	2	37	1
1155642263	1	7	37	1
1155774912	1	9	37	3
1176272899	1	4	38	2
1179145231	1	7	38	1
1180899759	1	3	38	3
1181274750	1	9	38	3
1183018989	1	6	38	1
1183395472	1	5	38	1
1183894791	1	2	38	1
1202523621	1	9	39	3
1202900416	1	3	39	3
1205395232	1	6	39	1
1208394598	1	5	39	1
1209903743	1	8	39	4
1210020370	1	10	39	2
1210523456	1	4	39	2
1211892201	1	7	39	1
1215394697	1	2	39	1
1233272713	1	4	40	2
1233523740	1	9	40	3
1234518345	1	7	40	1
1236018307	1	6	40	1
1239149766	1	3	40	3
1239645571	1	5	40	1
1239904888	1	8	40	4
1242520115	1	2	40	1
1244521578	1	10	40	2
1261275631	1	3	41	3
1264268444	1	7	41	1
1265903985	1	8	41	4
1268894055	1	6	41	1
1270897083	1	10	41	2
1271521998	1	4	41	2
1273644695	1	2	41	1
1273895091	1	5	41	1
1276025493	1	9	41	3
1290894664	1	2	42	1
1292770090	1	6	42	1
1295651697	1	3	42	3
1295773424	1	4	42	2
1297778741	1	8	42	4
1297894291	1	7	42	1
1299401979	1	9	42	3
1302648138	1	10	42	2
1302895164	1	5	42	1
1322394164	1	6	43	1
1326893944	1	2	43	1
1327020024	1	7	43	1
1327776965	1	8	43	4
1329520086	1	5	43	1
1329900423	1	9	43	3
1330020369	1	10	43	2
1332150278	1	3	43	3
1335398421	1	4	43	2
1352768319	1	2	44	1
1353895443	1	6	44	1
1358273344	1	10	44	2
1359775348	1	3	44	3
1362020082	1	7	44	1
1362147149	1	4	44	2
1362904370	1	8	44	4
1381146460	1	10	45	2
1383276229	1	3	45	3
1383643949	1	2	45	1
1385268987	1	5	45	1
1386393991	1	6	45	1
1387017330	1	7	45	1
1387279002	1	8	45	4
1390651181	1	9	45	3
1393270376	1	4	45	2
1412526954	1	8	46	4
1412770115	1	6	46	1
1414152093	1	9	46	3
1414894963	1	7	46	1
1420771998	1	4	46	2
1421397713	1	10	46	2
1421776981	1	3	46	3
1424270134	1	2	46	1
1424520640	1	5	46	1
1441269573	1	2	47	1
1442772892	1	4	47	2
1444893468	1	6	47	1
1446022894	1	10	47	2
1447145111	1	5	47	1
1448899774	1	9	47	3
1449645084	1	7	47	1
1451404831	1	8	47	4
1455775631	1	3	47	3
1471399892	1	3	48	3
1472523101	1	10	48	2
1476276979	1	9	48	3
1476769722	1	2	48	1
1477892295	1	6	48	1
1478894065	1	5	48	1
1479654833	1	8	48	4
1480143799	1	7	48	1
1484397064	1	4	48	2
1501642200	1	7	49	1
1505645163	1	6	49	1
1505896476	1	4	49	2
1508022817	1	10	49	2
1510769772	1	5	49	1
1511900423	1	9	49	3
1512270115	1	2	49	1
1533525534	1	9	50	3
1537525866	1	3	50	3
1537897685	1	10	50	2
1539144167	1	2	50	1
1540770231	1	5	50	1
1543522372	1	4	50	2
1544145368	1	7	50	1
1564144135	1	7	51	1
1566895115	1	2	51	1
1568275806	1	9	51	3
1568648635	1	3	51	3
1568896675	1	10	51	2
1569144730	1	6	51	1
1570396965	1	4	51	2
1570517282	1	5	51	1
1573528746	1	8	51	4
1591019119	1	2	52	1
1592899823	1	9	52	3
1594901865	1	3	52	3
1599145471	1	5	52	1
1602770573	1	6	52	1
1603648287	1	4	52	2
1604769683	1	7	52	1
1605528140	1	8	52	4
1605897368	1	10	52	2
1622143860	1	7	53	1
1623520116	1	2	53	1
1623901203	1	3	53	3
1627524853	1	9	53	3
1630520308	1	6	53	1
1632144167	1	5	53	1
1632898377	1	4	53	2
1633779537	1	8	53	4
1635646517	1	10	53	2
1654520299	1	5	54	1
1654643393	1	2	54	1
1656023357	1	4	54	2
1656643681	1	7	54	1
1656665031	1	9	54	3
1658650866	1	3	54	3
1659280352	1	8	54	4
1660521673	1	10	54	2
1662768878	1	6	54	1
1682028657	1	8	55	4
1682644747	1	5	55	1
1684152028	1	3	55	3
1685770050	1	6	55	1
1686145201	1	2	55	1
1688772880	1	10	55	2
1693643194	1	7	55	1
1694276011	1	9	55	3
1694898423	1	4	55	2
1714647875	1	4	56	2
1716270117	1	2	56	1
1717893878	1	6	56	1
1718399873	1	3	56	3
1718645018	1	7	56	1
1719020134	1	5	56	1
1719528630	1	8	56	4
1719645370	1	10	56	2
1722775269	1	9	56	3
1742270091	1	2	57	1
1742395437	1	10	57	2
1746144142	1	6	57	1
1747529334	1	8	57	4
1748151980	1	9	57	3
1752018249	1	7	57	1
1753274726	1	3	57	3
1755018317	1	5	57	1
1756272066	1	4	57	2
1772900360	1	3	58	3
1773644680	1	5	58	1
1775023411	1	10	58	2
1776897821	1	4	58	2
1778645444	1	6	58	1
1779404332	1	8	58	4
1783525268	1	9	58	3
1783643973	1	7	58	1
1785394078	1	2	58	1
