time	dest	src	seqn
31748880	1	7	0
33499853	1	5	0
33518238	1	2	0
35068030	1	4	0
38410230	1	10	0
40732096	1	6	0
41302743	1	9	0
43384508	1	3	0
44489147	1	8	0
62657657	1	3	1
65296729	1	5	1
66084199	1	7	1
66153972	1	6	1
67486901	1	2	1
68035933	1	8	1
70052360	1	4	1
71269606	1	10	1
75349617	1	9	1
91451179	1	6	2
92411735	1	4	2
93686140	1	7	2
95271492	1	9	2
99353347	1	3	2
100968604	1	5	2
101015125	1	8	2
104283776	1	2	2
104503981	1	10	2
122955740	1	2	3
124146110	1	4	3
126150134	1	3	3
126355956	1	8	3
127113402	1	10	3
128771699	1	7	3
129622722	1	6	3
130515479	1	5	3
135068367	1	9	3
153937443	1	5	4
155365495	1	7	4
156502526	1	2	4
156926558	1	8	4
158822009	1	3	4
162527708	1	10	4
162796328	1	9	4
163255485	1	4	4
165591472	1	6	4
180835502	1	5	5
182287117	1	9	5
185574583	1	10	5
186388347	1	6	5
187199706	1	8	5
191924401	1	2	5
193739860	1	4	5
195376407	1	3	5
195459199	1	7	5
214599235	1	4	6
215790848	1	3	6
216002510	1	10	6
216895308	1	8	6
217060222	1	6	6
217569877	1	5	6
220568574	1	7	6
223263390	1	9	6
225221608	1	2	6
242512083	1	10	7
243393240	1	2	7
243607186	1	6	7
243833610	1	4	7
244679252	1	5	7
248228363	1	3	7
248881074	1	7	7
251684172	1	8	7
252708992	1	9	7
276028972	1	6	8
276376407	1	3	8
276934046	1	10	8
277163627	1	5	8
281006227	1	9	8
281201676	1	7	8
282442985	1	4	8
284364147	1	8	8
285361901	1	2	8
302177742	1	9	9
302371581	1	8	9
303158776	1	2	9
304023002	1	5	9
305610782	1	3	9
306099824	1	7	9
308427360	1	4	9
309231438	1	10	9
311497722	1	6	9
331161647	1	6	10
331244036	1	3	10
332630165	1	8	10
332843844	1	5	10
335186032	1	4	10
337832258	1	10	10
340341667	1	9	10
342010201	1	2	10
342670578	1	7	10
361465483	1	8	11
361639328	1	7	11
364755397	1	6	11
365244576	1	2	11
366451042	1	9	11
371168485	1	10	11
374213118	1	3	11
374357489	1	4	11
374812506	1	5	11
394614772	1	6	12
395945029	1	5	12
397287476	1	7	12
397404364	1	4	12
400853951	1	2	12
401840360	1	10	12
402935417	1	9	12
404564059	1	3	12
404770548	1	8	12
422131226	1	7	13
424794837	1	9	13
425239298	1	8	13
425298434	1	3	13
425849147	1	6	13
427874883	1	10	13
429054404	1	5	13
431838326	1	2	13
432326239	1	4	13
450900286	1	3	14
452207258	1	10	14
452622917	1	9	14
453904212	1	6	14
455538779	1	5	14
456545578	1	7	14
459762358	1	8	14
460268303	1	2	14
461123114	1	4	14
481277860	1	10	15
482751559	1	3	15
483794989	1	4	15
484209396	1	7	15
486881379	1	9	15
488046881	1	5	15
490932076	1	2	15
491208048	1	8	15
494201329	1	6	15
512318772	1	7	16
512718756	1	5	16
513106108	1	8	16
515119036	1	3	16
515372874	1	6	16
517324735	1	10	16
523052894	1	9	16
523341864	1	4	16
524041451	1	2	16
543525872	1	2	17
547595309	1	3	17
547662476	1	7	17
549265631	1	5	17
550763739	1	4	17
553246610	1	10	17
554676710	1	8	17
555419749	1	6	17
555716667	1	9	17
571099769	1	9	18
573896896	1	7	18
575341624	1	6	18
576840483	1	8	18
579385201	1	2	18
579394758	1	10	18
580687506	1	5	18
582540911	1	3	18
586060944	1	4	18
602021644	1	9	19
602232489	1	4	19
602838116	1	3	19
603213326	1	2	19
607442335	1	8	19
607984713	1	5	19
608138499	1	6	19
614629133	1	10	19
615249035	1	7	19
631310417	1	9	20
631585654	1	5	20
633293608	1	8	20
634307122	1	2	20
638467453	1	7	20
638939059	1	3	20
641989772	1	6	20
645262235	1	10	20
645279364	1	4	20
661200996	1	4	21
667673434	1	3	21
669389328	1	7	21
671416451	1	2	21
673429404	1	5	21
673661173	1	8	21
674222883	1	10	21
675076331	1	6	21
675169792	1	9	21
693900826	1	2	22
694121733	1	8	22
696152860	1	10	22
696247874	1	6	22
700186203	1	7	22
701782809	1	3	22
702913779	1	5	22
704404167	1	9	22
705998114	1	4	22
722380165	1	8	23
726978499	1	3	23
727580803	1	2	23
729349387	1	4	23
732037269	1	9	23
733007529	1	5	23
733199735	1	10	23
734294749	1	6	23
735404953	1	7	23
752826916	1	7	24
753127678	1	2	24
756216624	1	6	24
757616904	1	5	24
757997917	1	9	24
761121610	1	10	24
761583762	1	4	24
764215528	1	8	24
764775286	1	3	24
781013499	1	6	25
782846846	1	2	25
783193137	1	4	25
784225022	1	7	25
784918485	1	10	25
788601279	1	5	25
790357292	1	9	25
791447161	1	3	25
794520460	1	8	25
811685374	1	6	26
812360934	1	3	26
812927894	1	9	26
814809233	1	8	26
817342453	1	7	26
820960654	1	5	26
822137235	1	10	26
824177512	1	4	26
825018303	1	2	26
844232337	1	6	27
845264328	1	7	27
846935946	1	4	27
847065178	1	2	27
848695029	1	5	27
848856589	1	10	27
849970309	1	3	27
850989298	1	8	27
853974769	1	9	27
873027948	1	10	28
873784016	1	2	28
874061203	1	7	28
878954684	1	3	28
883512403	1	8	28
883804404	1	5	28
883896644	1	9	28
884107489	1	4	28
884654124	1	6	28
904255167	1	8	29
907314059	1	3	29
907801008	1	10	29
908951329	1	6	29
909646851	1	7	29
909796881	1	5	29
912455803	1	2	29
914873114	1	4	29
915631381	1	9	29
932285384	1	10	30
932544990	1	4	30
933002767	1	2	30
935468757	1	5	30
936590484	1	8	30
940256227	1	7	30
940931537	1	3	30
942802895	1	9	30
945169750	1	6	30
962379134	1	10	31
964699859	1	8	31
967015632	1	5	31
968091625	1	6	31
970424554	1	2	31
972091865	1	4	31
972157810	1	3	31
973849770	1	9	31
975240602	1	7	31
993192336	1	8	32
996888500	1	6	32
998642230	1	3	32
1000721759	1	2	32
1001771645	1	9	32
1002002129	1	10	32
1002513740	1	4	32
1003605641	1	7	32
1005437507	1	5	32
1026501606	1	3	33
1027810945	1	4	33
1028443727	1	7	33
1030277984	1	8	33
1030583523	1	6	33
1031568520	1	9	33
1032734712	1	5	33
1032893304	1	2	33
1033332259	1	10	33
1051906257	1	5	34
1054066634	1	10	34
1055940179	1	2	34
1060735935	1	3	34
1061927344	1	6	34
1061928102	1	7	34
1062887359	1	8	34
1064240395	1	9	34
1065982490	1	4	34
1082176009	1	10	35
1083044750	1	6	35
1085787270	1	9	35
1085953132	1	5	35
1086832961	1	8	35
1088869037	1	3	35
1091029365	1	4	35
1092862054	1	2	35
1094021852	1	7	35
1111650827	1	2	36
1112671970	1	5	36
1114763543	1	9	36
1116755684	1	4	36
1117771023	1	6	36
1117871611	1	10	36
1121345310	1	3	36
1121871734	1	8	36
1123154954	1	7	36
1144231109	1	8	37
1145329685	1	3	37
1149255398	1	6	37
1150343757	1	5	37
1150668486	1	10	37
1154240013	1	4	37
1154510202	1	2	37
1154576829	1	7	37
1154747918	1	9	37
1176099388	1	4	38
1179014329	1	7	38
1179689060	1	3	38
1179841713	1	9	38
1180114773	1	6	38
1183366905	1	5	38
1183744577	1	2	38
1185340361	1	10	38
1185348674	1	8	38
1201294793	1	9	39
1201423435	1	3	39
1205302273	1	6	39
1208351280	1	5	39
1209067336	1	8	39
1209377693	1	10	39
1210333763	1	4	39
1211811204	1	7	39
1215353952	1	2	39
1232966952	1	4	40
1233115394	1	9	40
1234396897	1	7	40
1235872874	1	6	40
1238532809	1	3	40
1239418653	1	8	40
1239609713	1	5	40
1242299553	1	2	40
1244347883	1	10	40
1260876559	1	3	41
1264012997	1	7	41
1265286085	1	8	41
1268841624	1	6	41
1270707329	1	10	41
1271388739	1	4	41
1273596760	1	2	41
1273828131	1	5	41
1275662269	1	9	41
1290768303	1	2	42
1292638587	1	6	42
1295110980	1	3	42
1295685946	1	4	42
1297246824	1	8	42
1297758184	1	7	42
1299084144	1	9	42
1302441633	1	10	42
1302750006	1	5	42
1322310462	1	6	43
1326815178	1	2	43
1326967453	1	7	43
1327176710	1	8	43
1328388542	1	9	43
1328546881	1	5	43
1329566633	1	10	43
1331720309	1	3	43
1335286887	1	4	43
1352737141	1	2	44
1353857249	1	6	44
1358035428	1	10	44
1358218756	1	5	44
1358482292	1	9	44
1359165999	1	3	44
1360771851	1	7	44
1362021262	1	4	44
1362340529	1	8	44
1380894758	1	10	45
1382907809	1	3	45
1383533928	1	2	45
1385187506	1	5	45
1386279124	1	6	45
1386449858	1	8	45
1386624033	1	7	45
1390326042	1	9	45
1393130637	1	4	45
1411934233	1	8	46
1412677272	1	6	46
1413810417	1	9	46
1414842453	1	7	46
1420615012	1	4	46
1421129133	1	10	46
1421392184	1	3	46
1424205803	1	2	46
1424484711	1	5	46
1441119576	1	2	47
1442623114	1	4	47
1444747962	1	6	47
1445856589	1	10	47
1447085654	1	5	47
1448318607	1	9	47
1449568726	1	7	47
1450942423	1	8	47
1455400286	1	3	47
1471072161	1	3	48
1472184110	1	10	48
1475904167	1	9	48
1476728951	1	2	48
1477794749	1	6	48
1478820029	1	5	48
1479161085	1	8	48
1480053101	1	7	48
1484294989	1	4	48
1501561203	1	7	49
1502485934	1	3	49
1502637358	1	8	49
1505521022	1	6	49
1505708762	1	4	49
1506722883	1	10	49
1510703131	1	5	49
1511537269	1	9	49
1512174553	1	2	49
1531959145	1	9	50
1537095310	1	3	50
1537652949	1	10	50
1539072702	1	2	50
1540625007	1	5	50
1541841865	1	4	50
1541880345	1	8	50
1542005398	1	6	50
1543099977	1	7	50
1564108167	1	7	51
1566807077	1	2	51
1567857293	1	9	51
1568338117	1	3	51
1568699736	1	10	51
1569099148	1	6	51
1570263740	1	4	51
1570421882	1	5	51
1573051711	1	8	51
1590916452	1	2	52
1592591668	1	9	52
1594509662	1	3	52
1599116905	1	5	52
1602708523	1	6	52
1603560945	1	4	52
1604654954	1	7	52
1605098674	1	8	52
1605621611	1	10	52
1622076829	1	7	53
1623400872	1	2	53
1623556537	1	3	53
1627185418	1	9	53
1630451332	1	6	53
1632101280	1	5	53
1632732490	1	4	53
1633309234	1	8	53
1635418486	1	10	53
1654460772	1	5	54
1654494577	1	2	54
1655779453	1	4	54
1656193520	1	9	54
1656374201	1	7	54
1658282810	1	3	54
1658817424	1	8	54
1660269759	1	10	54
1662630398	1	6	54
1681489211	1	8	55
1682195030	1	5	55
1683767185	1	3	55
1685669750	1	6	55
1686088327	1	2	55
1688504134	1	10	55
1693545579	1	7	55
1693865395	1	9	55
1694701240	1	4	55
1714498203	1	4	56
1716182077	1	2	56
1716626560	1	3	56
1717591625	1	6	56
1718012359	1	8	56
1718592454	1	7	56
1718648155	1	5	56
1719128512	1	10	56
1722412270	1	9	56
1741291452	1	2	57
1741301009	1	10	57
1746060463	1	6	57
1746996734	1	8	57
1747834145	1	9	57
1751896852	1	7	57
1752947162	1	3	57
1754882530	1	5	57
1756169990	1	4	57
1772494037	1	3	58
1773495788	1	5	58
1774785430	1	10	58
1776716865	1	4	58
1778607250	1	6	58
1778926711	1	8	58
1783131380	1	9	58
1783508004	1	7	58
1785283929	1	2	58
