time	dest	src	seqn	hops
30576334	1	6	0	1
33825923	1	5	0	1
34704073	1	4	0	2
37332625	1	3	0	3
38449114	1	2	0	1
39204530	1	10	0	2
42081365	1	9	0	3
44961062	1	8	0	4
45450926	1	7	0	1
64574160	1	2	1	1
65575375	1	5	1	1
67832034	1	9	1	3
69702517	1	4	1	2
70948989	1	7	1	1
71460440	1	8	1	4
71952761	1	10	1	2
73579342	1	3	1	3
74199838	1	6	1	1
95074568	1	6	2	1
97579410	1	3	2	3
101322991	1	5	2	1
103324989	1	2	2	1
105203685	1	10	2	2
120949929	1	6	3	1
122327923	1	10	3	2
124077930	1	4	3	2
124322991	1	5	3	1
132324931	1	7	3	1
134457719	1	8	3	4
135831387	1	9	3	3
151079082	1	4	4	2
154700995	1	7	4	1
158083874	1	8	4	4
158200402	1	2	4	1
160325542	1	5	4	1
161704194	1	10	4	2
162824241	1	6	4	1
165206764	1	9	4	3
184949990	1	2	5	1
185074906	1	5	5	1
186205682	1	3	5	3
187077518	1	4	5	2
187956772	1	9	5	3
192085180	1	8	5	4
194700318	1	6	5	1
194824645	1	7	5	1
195077761	1	10	5	2
211450379	1	5	6	1
211829168	1	4	6	2
212326367	1	7	6	1
219707247	1	3	6	3
219834284	1	8	6	4
219951335	1	6	6	1
221707331	1	9	6	3
223201132	1	10	6	2
225450549	1	2	6	1
243200375	1	5	7	1
243574921	1	2	7	1
243950562	1	7	7	1
243971719	1	9	7	3
245956030	1	3	7	3
247583968	1	8	7	4
247702518	1	4	7	2
249574736	1	6	7	1
249829090	1	10	7	2
271826062	1	2	8	1
272834610	1	8	8	4
273953430	1	6	8	1
274076200	1	10	8	2
275207476	1	3	8	3
278829034	1	4	8	2
278955658	1	9	8	3
279199928	1	5	8	1
281075445	1	7	8	1
301825877	1	6	9	1
303210709	1	8	9	4
304829084	1	4	9	2
306575359	1	7	9	1
307206916	1	9	9	3
311332381	1	3	9	3
312324918	1	2	9	1
315449883	1	5	9	1
316202934	1	10	9	2
330574902	1	6	10	1
333578793	1	10	10	2
333710827	1	8	10	4
334957266	1	9	10	3
338576363	1	5	10	1
342326309	1	2	10	1
342575544	1	7	10	1
342707453	1	3	10	3
343953220	1	4	10	2
363582314	1	3	11	3
364079001	1	10	11	2
364199299	1	6	11	1
365450052	1	2	11	1
366952448	1	4	11	2
368324821	1	7	11	1
369704529	1	9	11	3
371584505	1	8	11	4
373699318	1	5	11	1
395580900	1	9	12	3
396078654	1	10	12	2
398332036	1	3	12	3
398449348	1	5	12	1
401201032	1	2	12	1
402333986	1	8	12	4
404202670	1	4	12	2
405450928	1	7	12	1
425326455	1	6	13	1
430575270	1	5	13	1
432074531	1	2	13	1
434204311	1	10	13	2
434331605	1	3	13	3
434352900	1	9	13	3
451950065	1	6	14	1
452826419	1	10	14	2
456581317	1	3	14	3
457828239	1	4	14	2
458325528	1	5	14	1
459324392	1	2	14	1
460210931	1	8	14	4
460824215	1	7	14	1
464332313	1	9	14	3
481454373	1	4	15	2
483331591	1	9	15	3
484703265	1	10	15	2
485707138	1	3	15	3
486950503	1	7	15	1
489825048	1	6	15	1
491075632	1	2	15	1
492960658	1	8	15	4
494451557	1	5	15	1
511707476	1	9	16	3
513201031	1	6	16	1
517449434	1	2	16	1
520328781	1	4	16	2
521574386	1	5	16	1
522073246	1	7	16	1
523953675	1	10	16	2
525210659	1	8	16	4
525456143	1	3	16	3
543575519	1	5	17	1
544574589	1	2	17	1
547949963	1	6	17	1
550210452	1	8	17	4
550703261	1	10	17	2
554331997	1	3	17	3
554950015	1	7	17	1
555704582	1	4	17	2
572206214	1	9	18	3
573075614	1	5	18	1
573449589	1	2	18	1
577084901	1	8	18	4
580703227	1	4	18	2
580823115	1	7	18	1
581327913	1	10	18	2
583075642	1	6	18	1
584707314	1	3	18	3
601828015	1	4	19	2
603206832	1	3	19	3
604826024	1	6	19	1
607198298	1	2	19	1
608449953	1	7	19	1
608950970	1	5	19	1
612959026	1	8	19	4
614582107	1	9	19	3
615329001	1	10	19	2
633960427	1	8	20	4
635456586	1	3	20	3
637575266	1	6	20	1
639324589	1	2	20	1
640952991	1	10	20	2
641950050	1	7	20	1
644827366	1	4	20	2
645450083	1	5	20	1
646206350	1	9	20	3
661199825	1	6	21	1
663332380	1	3	21	3
666584247	1	8	21	4
666950528	1	5	21	1
668952446	1	4	21	2
672326309	1	2	21	1
674449997	1	7	21	1
674576285	1	10	21	2
675207267	1	9	21	3
698207094	1	3	22	3
698948053	1	7	22	1
701202977	1	4	22	2
702326557	1	5	22	1
702831638	1	9	22	3
704082871	1	8	22	4
704703117	1	10	22	2
704824985	1	6	22	1
705324386	1	2	22	1
720956494	1	3	23	3
721199361	1	6	23	1
722829611	1	4	23	2
724584993	1	8	23	4
726829348	1	10	23	2
729825027	1	7	23	1
732076006	1	2	23	1
735449445	1	5	23	1
736205776	1	9	23	3
751325893	1	5	24	1
755960659	1	8	24	4
757824385	1	2	24	1
760324818	1	7	24	1
762706230	1	3	24	3
763457451	1	9	24	3
764329180	1	4	24	2
764453716	1	10	24	2
764576419	1	6	24	1
782324915	1	6	25	1
783324961	1	7	25	1
784075648	1	2	25	1
784207147	1	9	25	3
785581105	1	3	25	3
786077913	1	4	25	2
790075652	1	5	25	1
790835657	1	8	25	4
791826285	1	10	25	2
812574213	1	7	26	1
813076043	1	2	26	1
815701049	1	6	26	1
815823145	1	5	26	1
816710931	1	8	26	4
818704273	1	10	26	2
822706143	1	3	26	3
823703626	1	4	26	2
824707128	1	9	26	3
840450469	1	6	27	1
842955828	1	3	27	3
844700500	1	7	27	1
847325080	1	5	27	1
851702269	1	4	27	2
852584571	1	8	27	4
852701285	1	10	27	2
856454531	1	9	27	3
871074777	1	6	28	1
876454306	1	4	28	2
876700083	1	7	28	1
877450140	1	2	28	1
881203265	1	10	28	2
885823211	1	5	28	1
903579002	1	10	29	2
906960793	1	8	29	4
908450058	1	6	29	1
912701244	1	2	29	1
913075528	1	5	29	1
915825094	1	7	29	1
915957246	1	3	29	3
916831177	1	9	29	3
932205708	1	3	30	3
932326099	1	5	30	1
933198232	1	2	30	1
937574383	1	7	30	1
937710256	1	8	30	4
939457267	1	9	30	3
942327671	1	4	30	2
943327952	1	10	30	2
943576421	1	6	30	1
962829034	1	4	31	2
963081237	1	3	31	3
965084901	1	8	31	4
968452981	1	10	31	2
970575020	1	2	31	1
973575059	1	7	31	1
