time	dest	src	seqn
31132890	1	6	0
33886601	1	5	0
34195190	1	4	0
37759128	1	3	0
38328533	1	2	0
38759635	1	10	0
41773646	1	9	0
44675448	1	7	0
44790986	1	8	0
64687981	1	2	1
65683475	1	5	1
69179520	1	4	1
70097324	1	7	1
71314135	1	8	1
71619011	1	10	1
73930582	1	3	1
74742266	1	6	1
75820520	1	9	1
90995472	1	7	2
91485075	1	6	2
91538895	1	4	2
93056942	1	8	2
95742395	1	9	2
97977546	1	3	2
101355350	1	5	2
103422284	1	2	2
104853386	1	10	2
120656372	1	4	3
125729847	1	7	3
126696207	1	3	3
127261501	1	8	3
127522004	1	10	3
129656618	1	6	3
130902225	1	5	3
135531659	1	2	3
135539270	1	9	3
154324189	1	5	4
154447182	1	10	4
156578336	1	4	4
158845385	1	8	4
159368082	1	3	4
163211145	1	9	4
164323597	1	7	4
164703493	1	6	4
165016034	1	2	4
181375122	1	4	5
181550449	1	7	5
182621396	1	5	5
182758020	1	9	5
184806557	1	10	5
184875455	1	2	5
194079760	1	8	5
195273516	1	6	5
195914957	1	3	5
211540886	1	10	6
212269617	1	7	6
213726395	1	4	6
217212862	1	8	6
217391230	1	3	6
219792850	1	5	6
220109784	1	2	6
220507891	1	6	6
223734293	1	9	6
242960770	1	4	7
243689135	1	8	7
245065998	1	5	7
245923988	1	10	7
248441074	1	7	7
250117266	1	6	7
252164761	1	2	7
253179895	1	9	7
254375605	1	3	7
272673510	1	8	8
273913895	1	4	8
277550373	1	5	8
278425449	1	7	8
280360073	1	6	8
281477130	1	9	8
281734980	1	3	8
284845863	1	10	8
285461968	1	2	8
301103487	1	8	9
301648270	1	4	9
302648645	1	9	9
303633600	1	2	9
304409748	1	5	9
305469355	1	3	9
308642738	1	10	9
310847324	1	7	9
311531618	1	6	9
331195543	1	6	10
332144771	1	7	10
332680626	1	2	10
333230502	1	5	10
336314765	1	10	10
337578882	1	3	10
337695672	1	9	10
339876787	1	8	10
343757797	1	4	10
362861640	1	10	11
363242172	1	4	11
364869264	1	8	11
365063257	1	3	11
368777377	1	5	11
369414422	1	9	11
370304918	1	6	11
372316226	1	7	11
375602413	1	2	11
393399376	1	2	12
394500116	1	9	12
394789293	1	6	12
395363101	1	7	12
396922632	1	3	12
400250274	1	4	12
402220537	1	8	12
405199252	1	5	12
405837913	1	10	12
421284976	1	7	13
422822334	1	10	13
423071251	1	2	13
424648668	1	6	13
426157052	1	3	13
429088102	1	8	13
432101547	1	4	13
434109445	1	9	13
435496457	1	5	13
452492463	1	6	14
453093820	1	9	14
455048662	1	8	14
456081851	1	7	14
457361780	1	4	14
458181709	1	10	14
458668002	1	5	14
462618038	1	2	14
465766382	1	3	14
480945297	1	4	15
481453195	1	9	15
481916038	1	10	15
483722476	1	7	15
484337206	1	2	15
493714877	1	5	15
494313020	1	6	15
494750757	1	3	15
494978639	1	8	15
514636840	1	5	16
520019681	1	7	16
520508663	1	2	16
522251787	1	8	16
523025413	1	10	16
523929672	1	4	16
525110132	1	3	16
525453645	1	6	16
526187570	1	9	16
541509788	1	10	17
541570672	1	9	17
543680734	1	3	17
545375520	1	6	17
546191226	1	7	17
546555538	1	2	17
546947389	1	8	17
548433627	1	5	17
550289118	1	4	17
571359649	1	4	18
571781320	1	9	18
573105502	1	5	18
573164293	1	6	18
575844507	1	3	18
580369163	1	10	18
581238101	1	7	18
582736162	1	8	18
584281811	1	2	18
602023422	1	4	19
602628695	1	5	19
606416139	1	8	19
607477413	1	2	19
608172395	1	6	19
609603538	1	10	19
611953882	1	3	19
614159976	1	7	19
614875070	1	9	19
631844270	1	6	20
633274376	1	2	20
638212913	1	10	20
638371459	1	5	20
639956851	1	7	20
642438257	1	3	20
643132797	1	4	20
643439287	1	8	20
643484445	1	9	20
660328156	1	4	21
663297632	1	3	21
664423662	1	8	21
666628726	1	7	21
666706775	1	5	21
668946163	1	2	21
673227282	1	9	21
674455994	1	10	21
675110227	1	6	21
691627265	1	10	22
692945589	1	6	22
693398797	1	9	22
696493038	1	2	22
697783037	1	8	22
703118234	1	3	22
703816150	1	5	22
704175601	1	7	22
705125274	1	4	22
724316529	1	10	23
724914913	1	2	23
725853639	1	8	23
726797149	1	4	23
728562570	1	9	23
731597476	1	7	23
732532007	1	3	23
733054918	1	6	23
733300525	1	5	23
753159900	1	5	24
755665109	1	3	24
757212120	1	2	24
760344024	1	4	24
760539293	1	6	24
763400413	1	10	24
764445672	1	9	24
764517412	1	8	24
764894683	1	7	24
782884788	1	10	25
786063106	1	4	25
786619352	1	8	25
788113101	1	7	25
789383663	1	2	25
791398668	1	6	25
793086984	1	3	25
793394275	1	5	25
794367547	1	9	25
811633043	1	6	26
813384189	1	3	26
815664047	1	4	26
818003650	1	5	26
819503726	1	7	26
819744163	1	10	26
821291139	1	8	26
822430538	1	2	26
825164422	1	9	26
842398422	1	4	27
843555734	1	3	27
849250115	1	9	27
850242418	1	6	27
852149288	1	2	27
