time	dest	src	seqn
31417917	1	6	0
34018042	1	5	0
34830042	1	4	0
37509035	1	3	0
38092457	1	10	0
38402868	1	2	0
41452514	1	9	0
44027003	1	8	0
45160486	1	7	0
64762316	1	2	1
65815248	1	5	1
69814372	1	4	1
70550152	1	8	1
70582030	1	7	1
70951833	1	10	1
73680489	1	3	1
75027293	1	6	1
75499749	1	9	1
91879235	1	7	2
92173747	1	4	2
92292959	1	8	2
95421263	1	9	2
96011668	1	6	2
97727696	1	3	2
101486791	1	5	2
103496619	1	2	2
104186208	1	10	2
123908122	1	4	3
125371089	1	6	3
129649239	1	3	3
131033996	1	5	3
132050780	1	7	3
132628277	1	8	3
134038083	1	10	3
135218498	1	9	3
135605994	1	2	3
152297387	1	3	4
154455541	1	5	4
156433254	1	8	4
159019530	1	7	4
161105418	1	6	4
162209356	1	10	4
162890013	1	9	4
163017497	1	4	4
165090369	1	2	4
180896856	1	10	5
185214793	1	6	5
189117989	1	3	5
191222027	1	8	5
191803786	1	9	5
191994314	1	5	5
193501872	1	4	5
194598803	1	2	5
194808303	1	7	5
211353689	1	5	6
213270435	1	2	6
214361247	1	4	6
216667678	1	7	6
217983082	1	10	6
223413161	1	9	6
223699168	1	6	6
223902004	1	8	6
225665194	1	3	6
242035485	1	7	7
242925152	1	8	7
243595622	1	4	7
243926441	1	6	7
246086739	1	3	7
246793494	1	2	7
247397582	1	9	7
247975586	1	10	7
248088064	1	5	7
272167959	1	8	8
273457118	1	7	8
275197439	1	5	8
275384032	1	3	8
275646856	1	10	8
276347895	1	6	8
282204997	1	4	8
282756911	1	9	8
283777869	1	2	8
301003277	1	8	9
302194333	1	10	9
302746089	1	6	9
302754323	1	7	9
304137290	1	2	9
307681814	1	5	9
308189372	1	4	9
310491286	1	9	9
312555489	1	3	9
331480570	1	6	10
331973137	1	7	10
332871816	1	2	10
333602846	1	3	10
334541387	1	5	10
334548899	1	4	10
336600813	1	9	10
336615803	1	10	10
344308406	1	8	10
361981146	1	2	11
362283274	1	4	11
365775716	1	5	11
367514484	1	10	11
368524391	1	3	11
370589945	1	6	11
371456554	1	8	11
373085188	1	9	11
373691889	1	7	11
393084553	1	10	12
393785635	1	6	12
394777156	1	8	12
394824433	1	3	12
397166706	1	4	12
398909148	1	5	12
399093652	1	9	12
402042830	1	7	12
405676748	1	2	12
423474041	1	2	13
423765165	1	9	13
426672539	1	3	13
429300304	1	8	13
429582752	1	6	13
431886580	1	7	13
432088251	1	4	13
432358234	1	10	13
435330693	1	5	13
450842609	1	10	14
453145586	1	2	14
455906914	1	3	14
458254297	1	6	14
460885456	1	4	14
462043201	1	8	14
463312400	1	9	14
463925932	1	7	14
465627898	1	5	14
481801502	1	6	15
483557001	1	4	15
486230375	1	7	15
486378429	1	8	15
487031150	1	9	15
488799443	1	5	15
489701984	1	10	15
492692703	1	2	15
495516289	1	3	15
511114248	1	2	16
511132063	1	9	16
511961891	1	3	16
514223135	1	6	16
517964705	1	7	16
518936448	1	10	16
519261863	1	8	16
523104206	1	4	16
523846648	1	5	16
544411453	1	2	17
544768281	1	5	17
547545734	1	10	17
550525751	1	4	17
551972179	1	8	17
553259098	1	3	17
554520252	1	6	17
555074080	1	7	17
555866438	1	9	17
571975813	1	9	18
573430641	1	3	18
575652244	1	8	18
575691797	1	6	18
578558455	1	7	18
578565398	1	5	18
580530109	1	10	18
580582998	1	2	18
585822956	1	4	18
601460188	1	9	19
601889484	1	10	19
601994501	1	4	19
603477846	1	3	19
603785637	1	7	19
606630203	1	2	19
609784148	1	5	19
612675304	1	8	19
615739002	1	6	19
631918111	1	8	20
633623859	1	10	20
634230330	1	7	20
635660547	1	6	20
637551748	1	2	20
638399391	1	3	20
641205693	1	5	20
645041706	1	4	20
645319563	1	9	20
660963008	1	4	21
661196598	1	3	21
663349041	1	2	21
668457752	1	6	21
668502900	1	5	21
670504387	1	7	21
672733234	1	10	21
673753429	1	8	21
674553938	1	9	21
692129297	1	6	22
692217609	1	10	22
696675932	1	7	22
