time	dest	src	seqn	hops
30968171	1	6	0	1
33375193	1	5	0	1
34691219	1	4	0	2
37911832	1	3	0	3
38190113	1	10	0	2
38781582	1	2	0	1
41068020	1	9	0	3
45165671	1	8	0	4
45372680	1	7	0	1
65155147	1	2	1	1
65249557	1	5	1	1
65561665	1	6	1	1
69472064	1	4	1	2
70813711	1	7	1	1
71035164	1	10	1	2
71665000	1	8	1	4
74068490	1	3	1	3
75129159	1	9	1	3
92094254	1	7	2	1
93478515	1	8	2	4
94906959	1	6	2	1
95036922	1	9	2	3
95721328	1	4	2	2
98130497	1	3	2	3
100374548	1	5	2	1
103875373	1	2	2	1
104283998	1	10	2	2
121318531	1	9	3	3
121410054	1	10	3	2
122876001	1	4	3	2
123349951	1	3	3	3
123845011	1	5	3	1
127008593	1	8	3	4
130655316	1	6	3	1
132282336	1	7	3	1
136001291	1	2	3	1
150940078	1	4	4	2
152093341	1	5	4	1
154750517	1	6	4	1
154819759	1	3	4	3
160814490	1	10	4	2
164194285	1	9	4	3
164667096	1	8	4	4
165310181	1	7	4	1
165469044	1	2	4	1
182693432	1	3	5	3
185342651	1	2	5	1
186844623	1	4	5	2
189251150	1	7	5	1
189281918	1	5	5	1
191411781	1	9	5	3
192353530	1	8	5	4
193249422	1	6	5	1
194128768	1	10	5	2
211658827	1	4	6	2
212976297	1	3	6	3
214031879	1	7	6	1
214593187	1	5	6	1
220562848	1	2	6	1
222283377	1	10	6	2
223066659	1	9	6	3
225040614	1	8	6	4
225094412	1	6	6	1
243874591	1	5	7	1
244040410	1	8	7	4
245347655	1	10	7	2
247006013	1	9	7	3
247186560	1	2	7	1
247315910	1	4	7	2
247536811	1	3	7	3
250342754	1	6	7	1
254719836	1	7	7	1
270877508	1	4	8	2
272250567	1	7	8	1
273290453	1	8	8	4
275125333	1	5	8	1
279938138	1	6	8	1
282381822	1	9	8	3
284156544	1	2	8	1
284252162	1	10	8	2
284506716	1	3	8	3
301478152	1	8	9	4
303688548	1	7	9	1
303936818	1	6	9	1
304530282	1	2	9	1
308066441	1	10	9	2
308718189	1	5	9	1
309315288	1	4	9	2
310099348	1	9	9	3
311882522	1	3	9	3
331938315	1	5	10	1
332313231	1	6	10	1
332969564	1	7	10	1
333250815	1	2	10	1
334596553	1	4	10	2
335631981	1	3	10	3
335721111	1	10	10	2
336254314	1	9	10	3
340227653	1	8	10	4
361030967	1	6	11	1
362285380	1	10	11	2
362374319	1	2	11	1
365228104	1	8	11	4
367724746	1	3	11	3
369155290	1	7	11	1
372693121	1	9	11	3
373187210	1	5	11	1
373753547	1	4	11	2
392188315	1	7	12	1
394125485	1	5	12	1
394600707	1	9	12	3
395223095	1	3	12	3
396689705	1	10	12	2
396846774	1	4	12	2
397822561	1	8	12	4
400125790	1	6	12	1
402841830	1	2	12	1
423788165	1	9	13	3
427068630	1	3	13	3
427124040	1	7	13	1
427905893	1	5	13	1
429003989	1	10	13	2
429125814	1	6	13	1
431722218	1	4	13	2
431884698	1	8	13	4
432717894	1	2	13	1
452593809	1	5	14	1
453158734	1	10	14	2
453822553	1	8	14	4
455935581	1	2	14	1
456316914	1	3	14	3
457811560	1	6	14	1
460533910	1	4	14	2
463441880	1	9	14	3
463906907	1	7	14	1
481344539	1	6	15	1
482381251	1	9	15	3
483191387	1	4	15	2
485222739	1	10	15	2
489124586	1	5	15	1
490383711	1	8	15	4
490592785	1	7	15	1
491561643	1	2	15	1
495911903	1	3	15	3
510788115	1	9	16	3
513780998	1	6	16	1
519125802	1	7	16	1
520562761	1	5	16	1
522529262	1	2	16	1
522752863	1	4	16	2
523104258	1	8	16	4
524127357	1	10	16	2
524879277	1	3	16	3
543657010	1	6	17	1
543946813	1	8	17	4
547843466	1	5	17	1
549905278	1	2	17	1
550159813	1	4	17	2
550941694	1	10	17	2
551563787	1	7	17	1
552818121	1	9	17	3
555255587	1	3	17	3
570910562	1	9	18	3
572844490	1	7	18	1
576007167	1	3	18	3
578406032	1	6	18	1
581596170	1	10	18	2
581623084	1	2	18	1
584031633	1	5	18	1
584321527	1	8	18	4
585471547	1	4	18	2
601628510	1	4	19	2
601850111	1	9	19	3
603749145	1	2	19	1
608160308	1	10	19	2
611062217	1	5	19	1
612099399	1	3	19	3
613030248	1	7	19	1
613500863	1	6	19	1
614760066	1	8	19	4
631068747	1	9	20	3
632316192	1	4	20	2
634791460	1	8	20	4
635217806	1	6	20	1
637629438	1	10	20	2
638186642	1	7	20	1
638787946	1	3	20	3
640092894	1	2	20	1
643281024	1	5	20	1
