time	dest	src	seqn	hops
30668415	1	6	0	1
34795038	1	2	0	1
34920729	1	4	0	2
35045234	1	7	0	1
35794643	1	5	0	1
37296284	1	3	0	3
38545749	1	10	0	2
45296192	1	8	0	4
45545241	1	9	0	3
61045142	1	7	1	1
63670916	1	2	1	1
64671559	1	6	1	1
65546328	1	9	1	3
67544561	1	3	1	3
68168355	1	10	1	2
69670669	1	4	1	2
72543416	1	8	1	4
91796698	1	10	2	2
94168353	1	3	2	3
94796279	1	8	2	4
95171192	1	9	2	3
95796260	1	7	2	1
100420180	1	6	2	1
101046884	1	5	2	1
122421103	1	9	3	3
123796086	1	4	3	2
124421331	1	5	3	1
126171886	1	3	3	3
127670368	1	2	3	1
127919608	1	8	3	4
134046161	1	7	3	1
134420263	1	10	3	2
134794710	1	6	3	1
151669288	1	7	4	1
152795274	1	5	4	1
155669842	1	6	4	1
157418416	1	9	4	3
159171371	1	3	4	3
161421311	1	8	4	4
162670170	1	10	4	2
162795608	1	4	4	2
164419698	1	2	4	1
183170313	1	2	5	1
184421396	1	9	5	3
185295324	1	7	5	1
185669362	1	10	5	2
185793358	1	3	5	3
188046355	1	5	5	1
189919598	1	6	5	1
193296235	1	4	5	2
194545301	1	8	5	4
214170164	1	4	6	2
215295205	1	5	6	1
215670052	1	3	6	3
217043357	1	8	6	4
219294493	1	7	6	1
219420525	1	9	6	3
221045827	1	6	6	1
223670774	1	2	6	1
224543480	1	10	6	2
244545663	1	2	7	1
245171328	1	6	7	1
246296561	1	9	7	3
247671259	1	5	7	1
248421760	1	10	7	2
251669423	1	7	7	1
252295065	1	3	7	3
272671397	1	2	8	1
273045792	1	6	8	1
273295087	1	3	8	3
275920177	1	7	8	1
276045723	1	10	8	2
277294979	1	9	8	3
279419586	1	5	8	1
281546288	1	8	8	4
282045285	1	4	8	2
301795261	1	2	9	1
302420262	1	5	9	1
302671823	1	10	9	2
308045730	1	4	9	2
308418482	1	3	9	3
308794560	1	6	9	1
313296148	1	9	9	3
313421696	1	7	9	1
315544360	1	8	9	4
332421524	1	9	10	3
334421974	1	4	10	2
335918510	1	7	10	1
337046242	1	10	10	2
337545399	1	6	10	1
338420967	1	8	10	4
342296426	1	2	10	1
343046433	1	3	10	3
343670927	1	5	10	1
361044736	1	6	11	1
361296586	1	7	11	1
362171416	1	4	11	2
366421580	1	5	11	1
367920244	1	10	11	2
368670808	1	3	11	3
371920365	1	8	11	4
372169992	1	2	11	1
374045391	1	9	11	3
391296481	1	3	12	3
391671322	1	10	12	2
393545522	1	6	12	1
395420964	1	2	12	1
396170392	1	7	12	1
399545397	1	5	12	1
403293568	1	8	12	4
404170546	1	4	12	2
405669508	1	9	12	3
421668506	1	3	13	3
423671524	1	4	13	2
426046384	1	5	13	1
427795208	1	8	13	4
431796346	1	7	13	1
432046052	1	2	13	1
432294759	1	9	13	3
432794725	1	10	13	2
433794738	1	6	13	1
451293507	1	10	14	2
453545324	1	7	14	1
454296015	1	2	14	1
455046346	1	6	14	1
457419851	1	8	14	4
458920430	1	5	14	1
462544780	1	4	14	2
463046527	1	3	14	3
465671435	1	9	14	3
483295662	1	3	15	3
484046481	1	8	15	4
487796453	1	4	15	2
489168568	1	5	15	1
490045976	1	7	15	1
490420416	1	10	15	2
490546068	1	2	15	1
493045390	1	9	15	3
495046626	1	6	15	1
511420202	1	4	16	2
512795316	1	5	16	1
513171974	1	9	16	3
513546239	1	3	16	3
514921068	1	6	16	1
516293635	1	7	16	1
517920419	1	10	16	2
524423264	1	2	16	1
524671586	1	8	16	4
542795129	1	3	17	3
543671372	1	2	17	1
545295421	1	8	17	4
547921014	1	6	17	1
550921588	1	10	17	2
551295131	1	7	17	1
554170323	1	9	17	3
554421449	1	4	17	2
555795946	1	5	17	1
571420521	1	6	18	1
572045864	1	5	18	1
574046509	1	10	18	2
576920929	1	2	18	1
577046589	1	8	18	4
580044645	1	7	18	1
582045390	1	3	18	3
584168506	1	9	18	3
585669849	1	4	18	2
601796377	1	4	19	2
604919719	1	2	19	1
605171587	1	3	19	3
606796348	1	7	19	1
606919780	1	5	19	1
613169787	1	10	19	2
615044781	1	6	19	1
615420400	1	8	19	4
615921375	1	9	19	3
631420191	1	6	20	1
632670927	1	5	20	1
632796427	1	10	20	2
639418700	1	2	20	1
641169713	1	7	20	1
642543506	1	3	20	3
644921505	1	4	20	2
645294786	1	8	20	4
645795336	1	9	20	3
660795795	1	4	21	2
663046928	1	3	21	3
669046596	1	9	21	3
669546528	1	10	21	2
671420316	1	5	21	1
672295245	1	2	21	1
673545522	1	7	21	1
674669712	1	6	21	1
675421433	1	8	21	4
693045662	1	3	22	3
695796069	1	6	22	1
697296435	1	8	22	4
699170545	1	5	22	1
699670300	1	9	22	3
704671525	1	10	22	2
705295931	1	2	22	1
705420309	1	7	22	1
705544849	1	4	22	2
725169689	1	3	23	3
726670997	1	9	23	3
727295893	1	4	23	2
729920261	1	7	23	1
730295321	1	10	23	2
732672036	1	2	23	1
732918568	1	8	23	4
733921485	1	6	23	1
735672095	1	5	23	1
754295521	1	8	24	4
755795955	1	6	24	1
757046366	1	5	24	1
757795473	1	2	24	1
758921101	1	9	24	3
759546373	1	7	24	1
760795316	1	4	24	2
763293568	1	3	24	3
764296525	1	10	24	2
780544786	1	6	25	1
784795411	1	2	25	1
787295522	1	8	25	4
793046524	1	9	25	3
793419738	1	5	25	1
793796014	1	4	25	2
794043632	1	10	25	2
794794667	1	3	25	3
795169576	1	7	25	1
811295258	1	6	26	1
812546383	1	7	26	1
817670410	1	2	26	1
817794507	1	8	26	4
821420961	1	3	26	3
822543700	1	5	26	1
824045452	1	9	26	3
842420477	1	3	27	3
842920986	1	4	27	2
844668506	1	6	27	1
845420312	1	7	27	1
845546513	1	9	27	3
845557902	1	8	27	4
853294725	1	10	27	2
853421521	1	2	27	1
855545429	1	5	27	1
871920879	1	5	28	1
873169744	1	2	28	1
874044712	1	7	28	1
877294726	1	9	28	3
879046711	1	6	28	1
880046586	1	3	28	3
881171347	1	10	28	2
905046868	1	10	29	2
906045521	1	5	29	1
907920455	1	3	29	3
908421349	1	7	29	1
910046711	1	6	29	1
910546101	1	2	29	1
912421974	1	8	29	4
912545395	1	9	29	3
938170985	1	5	30	1
938551132	1	8	30	4
942668507	1	3	30	3
942794442	1	10	30	2
943295297	1	7	30	1
943421576	1	6	30	1
944419605	1	9	30	3
966045248	1	2	31	1
966421653	1	9	31	3
967670918	1	10	31	2
968669577	1	7	31	1
972170131	1	3	31	3
972295397	1	4	31	2
972669787	1	8	31	4
975295219	1	6	31	1
975921501	1	5	31	1
992046369	1	8	32	4
992671364	1	4	32	2
994920391	1	3	32	3
995296347	1	7	32	1
996045393	1	9	32	3
998920906	1	10	32	2
1003045440	1	2	32	1
1003294714	1	5	32	1
1004543701	1	6	32	1
1021421372	1	9	33	3
1022418701	1	5	33	1
1023420549	1	10	33	2
1023919725	1	8	33	4
