time	dest	src	seqn
33682253	1	2	0
33857213	1	5	0
34998762	1	4	0
37262169	1	7	0
38768317	1	10	0
40358189	1	6	0
41643406	1	9	0
44051307	1	3	0
44446393	1	8	0
61621545	1	7	1
65654089	1	5	1
65780064	1	6	1
67650915	1	2	1
68098183	1	3	1
69983092	1	4	1
70969499	1	8	1
74862067	1	10	1
75690280	1	9	1
91077271	1	6	2
92342468	1	4	2
92712260	1	8	2
95612156	1	9	2
97471488	1	10	2
100020058	1	3	2
101325964	1	5	2
104447790	1	2	2
105239022	1	7	2
123119754	1	2	3
123413070	1	4	3
126816933	1	3	3
129160898	1	7	3
129248815	1	6	3
130872840	1	5	3
133047624	1	8	3
134714524	1	10	3
134760303	1	9	3
151459944	1	4	4
152627780	1	9	4
153957861	1	7	4
154294803	1	5	4
156666541	1	2	4
156852556	1	8	4
159488809	1	3	4
162885794	1	10	4
164295690	1	6	4
182178694	1	4	5
182592010	1	5	5
185932758	1	10	5
186014439	1	6	5
188500704	1	8	5
192088416	1	2	5
193049655	1	9	5
194629648	1	7	5
196035683	1	3	5
212176611	1	7	6
213233278	1	6	6
217511957	1	3	6
217588428	1	9	6
217850658	1	4	6
219763464	1	5	6
224321306	1	8	6
224854544	1	10	6
225385622	1	2	6
242928832	1	5	7
243557254	1	2	7
243598397	1	7	7
245655064	1	6	7
246323294	1	10	7
246457558	1	3	7
251346891	1	9	7
252373718	1	4	7
253735078	1	8	7
272328828	1	8	8
272604129	1	2	8
272870170	1	10	8
273732214	1	5	8
278358092	1	4	8
279067147	1	7	8
279952269	1	6	8
282926397	1	3	8
282947804	1	9	8
300758805	1	8	9
301529089	1	5	9
302207861	1	7	9
303322879	1	2	9
304717467	1	4	9
307043206	1	3	9
307292044	1	10	9
307565280	1	9	9
311123814	1	6	9
331422731	1	8	10
332451995	1	4	10
332994818	1	2	10
336791707	1	9	10
337036050	1	7	10
338747992	1	5	10
339363961	1	3	10
339589963	1	10	10
339897115	1	6	10
363092806	1	6	11
363760947	1	10	11
364487308	1	9	11
365408591	1	2	11
366277734	1	3	11
366324823	1	7	11
367335097	1	4	11
369224266	1	5	11
370805833	1	8	11
396418573	1	7	12
398889592	1	6	12
401017967	1	2	12
402256972	1	4	12
403034095	1	10	12
403276081	1	9	12
404727797	1	8	12
405467072	1	5	12
405887109	1	3	12
421518471	1	10	13
422332711	1	3	13
424524583	1	8	13
425135456	1	9	13
427561467	1	6	13
428638617	1	5	13
431053847	1	4	13
432002341	1	2	13
432027949	1	7	13
452770846	1	7	14
453956058	1	9	14
454260773	1	2	14
455475240	1	6	14
456302390	1	5	14
461526572	1	10	14
461875856	1	8	14
462905120	1	4	14
464871484	1	3	14
481911139	1	7	15
482084661	1	6	15
484369832	1	9	15
485196458	1	8	15
488139495	1	4	15
489411765	1	5	15
490377845	1	10	15
490432318	1	2	15
493629918	1	3	15
511748870	1	4	16
513689887	1	2	16
516707925	1	7	16
517110231	1	8	16
518745322	1	10	16
518755515	1	5	16
520068990	1	6	16
523502933	1	9	16
525230859	1	3	16
543167197	1	10	17
543428366	1	6	17
545924897	1	9	17
545965234	1	3	17
548989890	1	5	17
549549216	1	2	17
550694472	1	4	17
551165208	1	8	17
555387323	1	7	17
571783637	1	2	18
572565345	1	10	18
573848336	1	3	18
574481119	1	7	18
577222044	1	9	18
582462593	1	8	18
585045842	1	6	18
585583640	1	5	18
585991677	1	4	18
602163311	1	4	19
602590494	1	7	19
604299720	1	10	19
604967717	1	6	19
606797777	1	8	19
608770211	1	3	19
612392966	1	2	19
613393558	1	9	19
614513617	1	5	19
631440433	1	9	20
633074823	1	7	20
633377341	1	2	20
633418359	1	3	20
636602708	1	8	20
641615865	1	6	20
643409095	1	10	20
643786765	1	5	20
645210097	1	4	20
661436467	1	6	21
662166707	1	9	21
662482367	1	5	21
667135775	1	2	21
670582925	1	7	21
672391573	1	8	21
673238961	1	3	21
673604697	1	10	21
673936370	1	4	21
691651081	1	9	22
695785836	1	3	22
696071458	1	8	22
697254800	1	7	22
699280120	1	4	22
699307318	1	2	22
700401572	1	10	22
701279242	1	5	22
704983342	1	6	22
721485231	1	8	23
728262109	1	3	23
728951117	1	5	23
729443990	1	6	23
731073447	1	10	23
731514495	1	4	23
732354193	1	2	23
734159183	1	9	23
734801675	1	7	23
758777948	1	7	24
761147597	1	4	24
761580466	1	2	24
763207711	1	3	24
763364890	1	5	24
763618422	1	8	24
764702555	1	6	24
764987220	1	10	24
765510456	1	9	24
782537786	1	6	25
783504916	1	3	25
784064842	1	2	25
784078981	1	8	25
787974265	1	5	25
790596595	1	10	25
791762323	1	7	25
794108245	1	4	25
794744832	1	9	25
813676461	1	3	26
816467620	1	4	26
817438402	1	8	26
818958641	1	5	26
821924216	1	2	26
822647116	1	6	26
823354206	1	9	26
824121698	1	7	26
824580970	1	10	26
843202041	1	4	27
845723336	1	3	27
848338581	1	9	27
850131490	1	6	27
851318015	1	5	27
854158591	1	2	27
854555922	1	8	27
855856073	1	7	27
855940346	1	10	27
877645211	1	3	28
878432331	1	9	28
878674720	1	10	28
879052390	1	5	28
880767966	1	2	28
880990865	1	6	28
881311370	1	4	28
883309198	1	7	28
884625856	1	8	28
901225241	1	6	29
904752342	1	2	29
906006972	1	4	29
906543573	1	7	29
910946635	1	8	29
911784096	1	10	29
913933985	1	3	29
914161765	1	5	29
914315433	1	9	29
932793360	1	3	30
936111718	1	2	30
939842718	1	6	30
940152949	1	7	30
940154243	1	5	30
943268471	1	10	30
943469653	1	8	30
944237309	1	9	30
944803848	1	4	30
961137325	1	7	31
962475724	1	4	31
963027736	1	3	31
964212416	1	8	31
968577423	1	6	31
972349266	1	5	31
972846092	1	2	31
974127846	1	10	31
975034185	1	9	31
992889496	1	4	32
993706059	1	9	32
994567301	1	7	32
996547732	1	8	32
998362222	1	10	32
999693017	1	5	32
1000637110	1	3	32
1003439843	1	2	32
1003748968	1	6	32
1023498872	1	4	33
1026430834	1	8	33
1027082712	1	3	33
1027614176	1	7	33
1029119878	1	9	33
1032495323	1	10	33
1032533593	1	2	33
1033427392	1	5	33
1033506491	1	6	33
1055536051	1	7	34
1056352709	1	8	34
1057917198	1	10	34
1058483246	1	4	34
1059621485	1	3	34
1059729207	1	9	34
1064127342	1	2	34
1064536767	1	5	34
1065365866	1	6	34
1081000857	1	8	35
1083315392	1	10	35
1084332926	1	7	35
1089842621	1	4	35
1090021141	1	5	35
1091598337	1	3	35
1092486718	1	2	35
1094299809	1	9	35
1094600241	1	6	35
1114004801	1	7	36
1114368334	1	8	36
1115520301	1	3	36
1117576996	1	4	36
1120209616	1	6	36
1120221093	1	2	36
1122112309	1	9	36
1123049722	1	10	36
1123724266	1	5	36
1144188403	1	8	37
1146193991	1	6	37
1146260458	1	9	37
1146686371	1	4	37
1148159097	1	10	37
1148708641	1	5	37
1150317087	1	3	37
1154674217	1	2	37
1155512324	1	7	37
1171988962	1	3	38
1172643471	1	10	38
1176494878	1	9	38
1181553438	1	6	38
1182068017	1	5	38
1183871700	1	7	38
1183908593	1	2	38
1184170746	1	4	38
1185305923	1	8	38
1202670932	1	6	39
1202737222	1	10	39
1202802392	1	5	39
1203502388	1	2	39
1205104208	1	9	39
1206030121	1	4	39
1209535837	1	3	39
1212516483	1	8	39
1214606075	1	7	39
1230705467	1	2	40
1231549808	1	9	40
1238592717	1	6	40
1238715449	1	7	40
1239024583	1	8	40
1240264495	1	4	40
1242012109	1	3	40
1242370322	1	10	40
1243107367	1	5	40
1262897686	1	4	41
1262901157	1	2	41
1268881490	1	6	41
1269375948	1	8	41
1273411050	1	7	41
1274396140	1	5	41
1275088581	1	9	41
1275330970	1	10	41
1275957711	1	3	41
1293255561	1	5	42
1295243333	1	8	42
1295879800	1	7	42
1297260947	1	10	42
1299740865	1	6	42
1301319472	1	4	42
1303447956	1	9	42
1304369818	1	2	42
1305254918	1	3	42
1320975240	1	6	43
1322018558	1	9	43
1325307911	1	10	43
1325616679	1	4	43
1327219606	1	8	43
1328489891	1	5	43
1330355860	1	3	43
1333426675	1	7	43
1333916693	1	2	43
1352090235	1	3	44
1353065433	1	9	44
1356662740	1	6	44
1357962413	1	8	44
1358400315	1	10	44
1363635773	1	2	44
1363835097	1	4	44
1364099265	1	5	44
1364848550	1	7	44
1381981119	1	7	45
1386473336	1	3	45
1388291752	1	9	45
1389563448	1	8	45
1391026572	1	10	45
1392756972	1	4	45
1392807318	1	2	45
1393772115	1	6	45
1394842072	1	5	45
1412264592	1	6	46
1412553936	1	4	46
1413013617	1	5	46
1413090494	1	7	46
1414395211	1	3	46
1419776081	1	9	46
1421854193	1	2	46
1423180922	1	8	46
1425698447	1	10	46
1441635457	1	9	47
1441891481	1	8	47
1441936556	1	6	47
1451060492	1	5	47
1451572943	1	2	47
1452082925	1	7	47
1454192086	1	3	47
1454225722	1	4	47
1455326217	1	10	47
1471434198	1	7	48
1471543359	1	3	48
1473456058	1	9	48
1473483342	1	6	48
1475639495	1	4	48
1479721595	1	10	48
1480267966	1	2	48
1480899583	1	8	48
1480982367	1	5	48
1504047546	1	6	49
1504869831	1	9	49
1505750856	1	8	49
1510667197	1	10	49
1511772597	1	4	49
1512771140	1	5	49
1512863961	1	3	49
1513754800	1	7	49
1514213568	1	2	49
1531611789	1	2	50
1534630562	1	5	50
1534964582	1	10	50
1535723551	1	7	50
1535777736	1	3	50
1538943991	1	6	50
1540248871	1	4	50
1543571459	1	8	50
1546002934	1	9	50
1561455467	1	2	51
1562303412	1	6	51
1566182823	1	10	51
1568020756	1	7	51
1569118423	1	8	51
1569424809	1	9	51
1569474266	1	5	51
1570233247	1	4	51
1572387110	1	3	51
1592552391	1	5	52
1593939842	1	2	52
1595104802	1	10	52
1598722133	1	9	52
1599342718	1	6	52
1600578982	1	8	52
1602371485	1	3	52
1603592622	1	4	52
1604192301	1	7	52
1621252847	1	10	53
1622161140	1	7	53
1623326996	1	4	53
1625730860	1	3	53
1628799218	1	2	53
1630661766	1	5	53
1630672778	1	8	53
1632893559	1	9	53
1633490866	1	6	53
1652436372	1	4	54
1655146187	1	5	54
1658465235	1	3	54
1658725241	1	6	54
1658940523	1	9	54
1658957927	1	7	54
1659033592	1	2	54
1659977798	1	8	54
1661487221	1	10	54
1682862309	1	9	55
1683574610	1	3	55
1684096596	1	10	55
1687318992	1	6	55
1688774584	1	8	55
1689005517	1	5	55
1690652949	1	7	55
1692642968	1	2	55
1694631973	1	4	55
1715678366	1	6	56
1717067301	1	7	56
1717080971	1	10	56
1721360324	1	8	56
1722058985	1	3	56
1722986717	1	2	56
1723331059	1	9	56
1725239891	1	5	56
1725920747	1	4	56
1742918360	1	3	57
1743849312	1	5	57
1747412741	1	6	57
1747721092	1	2	57
1748010948	1	10	57
1749840449	1	7	57
1750712591	1	8	57
1752838583	1	9	57
1755014497	1	4	57
1773152735	1	3	58
1773623871	1	4	58
1774833641	1	5	58
1778197957	1	9	58
1778883959	1	8	58
1779057823	1	10	58
1779522116	1	6	58
1780569344	1	7	58
1782830467	1	2	58
