time	dest	src	seqn
31209541	1	6	0
32070398	1	7	0
33400987	1	2	0
34259641	1	5	0
34567625	1	4	0
37319286	1	3	0
41456315	1	10	0
44600368	1	8	0
45302516	1	9	0
62448193	1	2	1
65224032	1	9	1
66056847	1	5	1
69551955	1	4	1
71123520	1	8	1
72241944	1	7	1
73490740	1	3	1
74690691	1	10	1
74818917	1	6	1
91911331	1	4	2
92866235	1	8	2
95803293	1	6	2
97300154	1	10	2
97537947	1	3	2
101728390	1	5	2
104166856	1	2	2
105021267	1	9	2
105289149	1	7	2
122838488	1	2	3
123645706	1	4	3
124284529	1	10	3
125162713	1	6	3
129210695	1	7	3
129459490	1	3	3
131275595	1	5	3
132692782	1	9	3
133201599	1	8	3
152240017	1	9	4
154007899	1	7	4
154643816	1	10	4
154697141	1	5	4
156256695	1	3	4
156385604	1	2	4
157006531	1	8	4
160897043	1	6	4
162755081	1	4	4
182107639	1	3	5
186361548	1	2	5
186858843	1	7	5
186950771	1	4	5
191795395	1	8	5
192235914	1	5	5
192713839	1	10	5
193215929	1	9	5
194780474	1	6	5
211595288	1	5	6
211747887	1	4	6
212342013	1	3	6
215761362	1	10	6
217200304	1	9	6
218654679	1	8	6
219093217	1	7	6
223345923	1	2	6
225702019	1	6	6
241702593	1	7	7
243498429	1	8	7
243705343	1	2	7
246499226	1	6	7
246951389	1	3	7
247419521	1	4	7
248329663	1	5	7
252559680	1	9	7
254682589	1	10	7
270966639	1	4	8
272439718	1	2	8
272482803	1	8	8
275439038	1	5	8
275687013	1	7	8
277170769	1	6	8
278480069	1	10	8
280294055	1	9	8
283935764	1	3	8
300912780	1	8	9
301549047	1	2	9
302046414	1	7	9
303718065	1	6	9
306151339	1	10	9
306403475	1	9	9
307923414	1	5	9
309388182	1	4	9
311295138	1	3	9
332699015	1	10	10
334685629	1	4	10
334782942	1	5	10
335029666	1	3	10
336139672	1	6	10
339686081	1	8	10
342033575	1	2	10
342887957	1	9	10
345780870	1	7	10
363413098	1	3	11
366017362	1	5	11
367120242	1	10	11
368896510	1	9	11
370436877	1	6	11
370890245	1	7	11
371892951	1	2	11
373857085	1	4	11
374881772	1	8	11
393567934	1	9	12
395127325	1	2	12
396374620	1	7	12
396904379	1	4	12
398334732	1	3	12
399417720	1	10	12
399626692	1	5	12
401608422	1	6	12
402029923	1	8	12
422611112	1	5	13
423577261	1	6	13
423589038	1	10	13
428897815	1	8	13
430736701	1	2	13
431825835	1	4	13
432233995	1	7	13
433115170	1	9	13
433131983	1	3	13
454857956	1	8	14
455536773	1	9	14
455717212	1	3	14
459374377	1	6	14
460623040	1	4	14
461721075	1	2	14
462077746	1	7	14
464088248	1	5	14
464557742	1	10	14
481593127	1	6	15
485009882	1	5	15
486833920	1	9	15
489080450	1	2	15
491355220	1	10	15
