time	dest	src	seqn	hops
31088435	1	6	0	1
33682069	1	5	0	1
34211079	1	2	0	1
34901973	1	4	0	2
37276444	1	3	0	3
37744531	1	9	0	3
38275782	1	10	0	2
40525784	1	7	0	1
44493759	1	8	0	4
61837508	1	7	1	1
62182037	1	9	1	3
63243847	1	2	1	1
65462808	1	5	1	1
69869445	1	4	1	2
70993413	1	8	1	4
73430615	1	3	1	3
74369536	1	10	1	2
74712165	1	6	1	1
92245661	1	4	2	2
92743206	1	8	2	4
95682368	1	6	2	1
96962202	1	10	2	2
98182168	1	2	2	1
101150890	1	5	2	1
101994701	1	7	2	1
105024364	1	9	2	3
124243409	1	4	3	2
125055915	1	6	3	1
129399460	1	3	3	3
130681369	1	5	3	1
132275844	1	9	3	3
133088255	1	8	3	4
134962780	1	2	3	1
135055909	1	7	3	1
154119698	1	5	4	1
154306322	1	10	4	2
156243929	1	3	4	3
156900026	1	8	4	4
157181497	1	2	4	1
158963344	1	7	4	1
160773580	1	6	4	1
163089339	1	4	4	2
163868275	1	9	4	3
181057036	1	10	5	2
182400306	1	5	5	1
183775119	1	7	5	1
184994013	1	6	5	1
187869601	1	9	5	3
188868232	1	3	5	3
190682475	1	8	5	4
192617330	1	2	5	1
193557198	1	4	5	2
214463329	1	4	6	2
218149594	1	10	6	2
219588417	1	5	6	1
223212024	1	9	6	3
224368758	1	8	6	4
224432037	1	7	6	1
225243480	1	6	6	1
225432542	1	3	6	3
225900279	1	2	6	1
241993830	1	7	7	1
242619125	1	5	7	1
243431579	1	8	7	4
243651394	1	4	7	2
244118410	1	2	7	1
245836988	1	3	7	3
248650783	1	10	7	2
250463743	1	6	7	1
250963286	1	9	7	3
272618070	1	8	8	4
273119058	1	2	8	1
273400877	1	7	8	1
273557198	1	5	8	1
275151374	1	3	8	3
277086961	1	9	8	3
280087371	1	6	8	1
282276840	1	4	8	2
285493236	1	10	8	2
301337807	1	5	9	1
301462672	1	8	9	4
302776466	1	7	9	1
302807544	1	10	9	2
304057368	1	6	9	1
305399388	1	9	9	3
308244547	1	4	9	2
312369630	1	3	9	3
316054765	1	2	9	1
331056642	1	8	10	4
332431132	1	6	10	1
333025921	1	5	10	1
333370371	1	3	10	3
333838056	1	2	10	1
334711970	1	9	10	3
334777197	1	4	10	2
340650224	1	7	10	1
345337178	1	10	10	2
361151473	1	6	11	1
362618335	1	4	11	2
363526458	1	2	11	1
365244328	1	8	11	4
366120015	1	7	11	1
368274578	1	3	11	3
368556711	1	5	11	1
374243461	1	9	11	3
393244658	1	9	12	3
397212152	1	4	12	2
397681142	1	10	12	2
399743294	1	8	12	4
400274818	1	6	12	1
401994110	1	7	12	1
403056617	1	2	12	1
403087890	1	3	12	3
404994892	1	5	12	1
421432189	1	10	13	2
421494820	1	2	13	1
421587141	1	9	13	3
424745145	1	6	13	1
428743708	1	3	13	3
428868913	1	7	13	1
432151016	1	4	13	2
432493291	1	8	13	4
435275425	1	5	13	1
451307763	1	3	14	3
454618505	1	6	14	1
454775335	1	2	14	1
456836103	1	8	14	4
458463474	1	5	14	1
460931088	1	4	14	2
461276062	1	7	14	1
462557093	1	10	14	2
466338342	1	9	14	3
481025938	1	10	15	2
481712075	1	3	15	3
482430822	1	9	15	3
482587678	1	7	15	1
483651965	1	4	15	2
485839038	1	6	15	1
490961300	1	2	15	1
491931135	1	8	15	4
493494300	1	5	15	1
511932186	1	9	16	3
512462524	1	6	16	1
514429983	1	5	16	1
516994285	1	2	16	1
517430895	1	8	16	4
519868327	1	10	16	2
522744687	1	7	16	1
523026466	1	3	16	3
523149772	1	4	16	2
541525936	1	8	17	4
545431215	1	3	17	3
547929913	1	2	17	1
548212988	1	5	17	1
549119811	1	10	17	2
550432900	1	6	17	1
550588425	1	4	17	2
555025223	1	7	17	1
555774646	1	9	17	3
573713053	1	2	18	1
573806068	1	6	18	1
577369101	1	7	18	1
577712143	1	10	18	2
579431612	1	5	18	1
581464063	1	3	18	3
584087827	1	8	18	4
585025911	1	9	18	3
585868562	1	4	18	2
602057210	1	4	19	2
604589082	1	7	19	1
607461975	1	8	19	4
608526611	1	6	19	1
609589170	1	2	19	1
610713563	1	10	19	2
610869847	1	5	19	1
611962861	1	3	19	3
613618297	1	9	19	3
632057366	1	10	20	2
632212661	1	7	20	1
632807931	1	3	20	3
633901512	1	2	20	1
638150463	1	5	20	1
638619844	1	9	20	3
643649882	1	6	20	1
644587177	1	8	20	4
645087111	1	4	20	2
661026012	1	4	21	2
663120263	1	6	21	1
663804915	1	10	21	2
664807193	1	8	21	4
666275382	1	2	21	1
670962205	1	9	21	3
671369238	1	5	21	1
672056583	1	3	21	3
675182523	1	7	21	1
692304851	1	5	22	1
694994680	1	2	22	1
697651656	1	3	22	3
698713406	1	9	22	3
700994062	1	8	22	4
701993704	1	6	22	1
702899640	1	10	22	2
704556411	1	7	22	1
705805933	1	4	22	2
722214012	1	6	23	1
722398602	1	10	23	2
724276398	1	7	23	1
727494822	1	4	23	2
727682226	1	3	23	3
731087959	1	5	23	1
732805948	1	9	23	3
733493385	1	8	23	4
735804983	1	2	23	1
752400161	1	7	24	1
754243223	1	8	24	4
758775858	1	5	24	1
758868562	1	6	24	1
758995332	1	3	24	3
759243294	1	10	24	2
761024645	1	4	24	2
762587964	1	2	24	1
766307319	1	9	24	3
782870022	1	7	25	1
783431611	1	8	25	4
787744002	1	3	25	3
788276010	1	2	25	1
789839015	1	6	25	1
793994605	1	4	25	2
794494813	1	10	25	2
795306710	1	5	25	1
796149715	1	9	25	3
812901538	1	6	26	1
813806597	1	2	26	1
814680926	1	8	26	4
816370877	1	4	26	2
816744849	1	5	26	1
817744022	1	7	26	1
819400937	1	9	26	3
820087050	1	10	26	2
821838898	1	3	26	3
843088475	1	4	27	2
843525554	1	2	27	1
843963962	1	7	27	1
846400449	1	8	27	4
847024573	1	3	27	3
853054913	1	6	27	1
853088598	1	5	27	1
854088563	1	10	27	2
854524693	1	9	27	3
871024473	1	8	28	4
878587870	1	7	28	1
878962754	1	9	28	3
880495296	1	6	28	1
881214491	1	4	28	2
882213535	1	5	28	1
884869142	1	3	28	3
885430769	1	10	28	2
885711233	1	2	28	1
904399643	1	8	29	4
908179919	1	10	29	2
911368568	1	6	29	1
911493448	1	3	29	3
911557694	1	7	29	1
911682261	1	4	29	2
913963949	1	2	29	1
915244236	1	5	29	1
916243590	1	9	29	3
931182224	1	5	30	1
931589151	1	6	30	1
941274728	1	10	30	2
941869592	1	8	30	4
942558448	1	4	30	2
943057898	1	2	30	1
943431675	1	9	30	3
943931430	1	7	30	1
944057628	1	3	30	3
962775976	1	4	31	2
966462682	1	3	31	3
