time	dest	src	seqn	hops
34050286	1	5	0	1
34425949	1	2	0	1
35801122	1	9	0	1
35923006	1	6	0	1
36175951	1	4	0	1
37051437	1	7	0	1
41175884	1	10	0	1
41924343	1	8	0	1
43676376	1	3	0	1
63425561	1	4	1	1
63550339	1	2	1	1
65299534	1	6	1	1
65924346	1	5	1	1
66426113	1	8	1	1
67673358	1	3	1	1
72049941	1	9	1	1
74424796	1	10	1	1
75049888	1	7	1	1
92549527	1	2	2	1
93425345	1	5	2	1
95676089	1	8	2	1
97050515	1	10	2	1
97299863	1	4	2	1
98926565	1	7	2	1
99549899	1	3	2	1
103676120	1	9	2	1
104926362	1	6	2	1
122423173	1	4	3	1
123799935	1	7	3	1
124049426	1	10	3	1
126049888	1	8	3	1
126425700	1	3	3	1
127549863	1	2	3	1
131426318	1	9	3	1
132050484	1	5	3	1
135800812	1	6	3	1
151301181	1	4	4	1
151425951	1	5	4	1
152549940	1	9	4	1
154425830	1	10	4	1
156676156	1	6	4	1
158799343	1	7	4	1
159050026	1	3	4	1
162798017	1	8	4	1
164301232	1	2	4	1
181425520	1	7	5	1
183049210	1	2	5	1
183926019	1	6	5	1
184050380	1	5	5	1
185426398	1	10	5	1
187549293	1	9	5	1
189675530	1	4	5	1
191425690	1	8	5	1
195675356	1	3	5	1
211800530	1	7	6	1
214425898	1	6	6	1
214549935	1	9	6	1
215051298	1	4	6	1
215301740	1	3	6	1
215925643	1	5	6	1
216799621	1	2	6	1
223550141	1	8	6	1
224424459	1	10	6	1
241425736	1	6	7	1
242425070	1	5	7	1
243176020	1	8	7	1
243799391	1	3	7	1
244425012	1	9	7	1
248176055	1	10	7	1
250674908	1	7	7	1
254174966	1	4	7	1
255301174	1	2	7	1
272800003	1	8	8	1
273425480	1	2	8	1
275926296	1	10	8	1
276176360	1	7	8	1
276673188	1	3	8	1
280549279	1	6	8	1
283801224	1	5	8	1
284051192	1	9	8	1
284424484	1	4	8	1
302423276	1	10	9	1
302551294	1	2	9	1
303925550	1	4	9	1
305049958	1	6	9	1
305925356	1	3	9	1
306425508	1	7	9	1
306549936	1	5	9	1
307301249	1	9	9	1
310549413	1	8	9	1
331424240	1	9	10	1
333549526	1	2	10	1
334424929	1	8	10	1
334800088	1	6	10	1
339176378	1	10	10	1
339676344	1	5	10	1
