time	dest	src	seqn
33889647	1	5	0
34834912	1	2	0
35891844	1	6	0
37371763	1	7	0
37430112	1	3	0
37578065	1	9	0
38254272	1	10	0
39509012	1	4	0
44144044	1	8	0
61189052	1	6	1
61731139	1	7	1
62062487	1	9	1
64006546	1	2	1
65037794	1	5	1
66148863	1	3	1
67277421	1	10	1
67690920	1	8	1
72712138	1	4	1
91112795	1	8	2
91704615	1	4	2
92234557	1	3	2
93053333	1	2	2
93272169	1	5	2
94067455	1	7	2
94621171	1	10	2
99360595	1	6	2
103109316	1	9	2
120923365	1	4	3
122528346	1	8	3
125738648	1	10	3
126953066	1	9	3
127975208	1	2	3
131865919	1	5	3
133828261	1	3	3
134407470	1	6	3
134739241	1	7	3
151225294	1	5	4
152286204	1	7	4
156581545	1	8	4
159345240	1	4	4
162258238	1	3	4
163437441	1	9	4
164660523	1	10	4
164772083	1	2	4
165329345	1	6	4
183305201	1	3	5
185296816	1	9	5
185772621	1	7	5
186126220	1	6	5
187959669	1	5	5
188457398	1	10	5
190357731	1	2	5
193628420	1	8	5
193813990	1	4	5
212106256	1	7	6
214531237	1	9	6
216129273	1	10	6
216798095	1	6	6
216860865	1	4	6
216967106	1	2	6
217553419	1	5	6
218226988	1	3	6
221339068	1	8	6
242676237	1	10	7
243345059	1	6	7
244412794	1	5	7
246375136	1	3	7
247383404	1	9	7
248198443	1	8	7
251782740	1	4	7
255709915	1	2	7
255840514	1	7	7
271242613	1	3	8
272240965	1	5	8
273881547	1	2	8
275766845	1	6	8
277098023	1	10	8
280579615	1	4	8
280949889	1	7	8
283432818	1	8	8
283554918	1	9	8
301664488	1	3	9
302026614	1	8	9
302154652	1	2	9
302328066	1	9	9
303251579	1	4	9
306434264	1	7	9
309395503	1	10	9
310064050	1	6	9
313600294	1	5	9
330899520	1	6	10
331812638	1	9	10
333567013	1	10	10
333647323	1	2	10
336334821	1	5	10
340220392	1	4	10
340503572	1	8	10
342293791	1	7	10
342961847	1	3	10
364222322	1	8	11
365732883	1	2	11
366528166	1	7	11
368102140	1	3	11
369444196	1	5	11
370008895	1	6	11
372539445	1	9	11
374535675	1	10	11
375517597	1	4	11
394493270	1	6	12
394894285	1	8	12
395928571	1	5	12
401332550	1	10	12
401342258	1	2	12
402137541	1	7	12
402570890	1	3	12
404736017	1	4	12
405961320	1	9	12
420657649	1	4	13
424585065	1	2	13
425117765	1	3	13
425587020	1	6	13
428441072	1	8	13
428787946	1	5	13
432004425	1	10	13
433258555	1	9	13
434121916	1	7	13
452201901	1	6	14
452973175	1	10	14
453430070	1	9	14
456481291	1	7	14
456803485	1	2	14
458937788	1	3	14
459022321	1	5	14
460862947	1	8	14
465454767	1	4	14
482371369	1	10	15
482761140	1	8	15
483540145	1	6	15
487126642	1	4	15
487672163	1	3	15
487725360	1	2	15
488215666	1	7	15
494398820	1	9	15
495616071	1	5	15
513522323	1	2	16
514105698	1	10	16
516495470	1	8	16
516977140	1	3	16
518274520	1	6	16
520673517	1	4	16
524546048	1	5	16
525195695	1	9	16
525325041	1	7	16
543867570	1	9	17
548809416	1	7	17
549194110	1	2	17
552089220	1	8	17
553215073	1	10	17
553303571	1	5	17
553383895	1	6	17
553634165	1	4	17
554774015	1	3	17
572359709	1	3	18
572948595	1	8	18
575993540	1	4	18
576740985	1	2	18
577668791	1	7	18
578571395	1	6	18
578983548	1	5	18
580207550	1	10	18
584414445	1	9	18
601182970	1	8	19
604903166	1	7	19
605162860	1	2	19
606875093	1	9	19
608953413	1	3	19
609555770	1	6	19
610879425	1	10	19
611611017	1	4	19
615530423	1	5	19
632001730	1	4	20
636952298	1	5	20
637312788	1	3	20
637460067	1	2	20
639234539	1	9	20
640915145	1	6	20
642792345	1	8	20
643848175	1	10	20
645496916	1	7	20
662649566	1	6	21
663024836	1	4	21
663776766	1	8	21
669631610	1	2	21
670047163	1	3	21
673249503	1	5	21
674145656	1	10	21
674856291	1	7	21
675968843	1	9	21
694078218	1	9	22
694590711	1	7	22
694852228	1	3	22
695954497	1	6	22
697136095	1	8	22
698009165	1	4	22
701590073	1	10	22
702421048	1	5	22
705600360	1	2	22
721423247	1	6	23
723184462	1	7	23
726421968	1	9	23
727102915	1	4	23
729649015	1	3	23
732397235	1	2	23
733074448	1	10	23
733870470	1	8	23
735467923	1	5	23
751320890	1	3	24
751389798	1	5	24
753970210	1	6	24
756212290	1	4	24
756656343	1	9	24
758043791	1	7	24
758069110	1	2	24
758168198	1	10	24
759979845	1	8	24
783615985	1	2	25
784464266	1	8	25
785328413	1	3	25
785772321	1	5	25
788887541	1	7	25
790761948	1	10	25
793696665	1	4	25
794391997	1	6	25
795250093	1	9	25
813209343	1	10	26
813335153	1	2	26
815556040	1	4	26
818531538	1	3	26
818689202	1	6	26
821557970	1	8	26
822381696	1	5	26
823609468	1	9	26
