time	dest	src	seqn
31434365	1	14	0
31476809	1	6	0
32947597	1	18	0
33029552	1	15	0
33046011	1	20	0
33252334	1	4	0
33276809	1	12	0
33585874	1	5	0
33970750	1	11	0
33995038	1	17	0
34269653	1	2	0
36492822	1	8	0
37484640	1	19	0
38404765	1	10	0
40285358	1	16	0
40943141	1	7	0
41103116	1	9	0
42821139	1	13	0
44326343	1	3	0
62939835	1	4	1
62948235	1	17	1
64412777	1	10	1
65382795	1	5	1
66152958	1	16	1
66922141	1	19	1
67751876	1	18	1
67944153	1	3	1
69180515	1	13	1
70502228	1	12	1
70631402	1	15	1
71102198	1	8	1
71705038	1	11	1
72090662	1	14	1
72411891	1	7	1
74491611	1	20	1
75150353	1	9	1
75265297	1	6	1
75527089	1	2	1
90928189	1	15	2
91506527	1	10	2
91914890	1	13	2
91986937	1	17	2
92148948	1	19	2
92845093	1	8	2
93603850	1	18	2
94093468	1	6	2
94968585	1	20	2
95071867	1	9	2
95814412	1	11	2
96171451	1	14	2
97254271	1	2	2
97533539	1	4	2
99094349	1	5	2
99380641	1	7	2
99865696	1	3	2
102871613	1	16	2
105111603	1	12	2
121024265	1	13	3
121115689	1	15	3
122513890	1	3	3
123298876	1	11	3
125370039	1	17	3
125856916	1	7	3
126160673	1	14	3
126648420	1	5	3
127016550	1	8	3
128207323	1	16	3
130307536	1	6	3
131432266	1	4	3
132179111	1	20	3
133095978	1	12	3
133743731	1	18	3
134313491	1	19	3
134869102	1	9	3
135959740	1	10	3
135973023	1	2	3
150800896	1	16	4
152484001	1	6	4
152748265	1	3	4
152787777	1	10	4
152901105	1	4	4
154144655	1	2	4
155226075	1	20	4
157392626	1	11	4
159101500	1	5	4
159227161	1	19	4
159286890	1	7	4
160455353	1	12	4
160748303	1	15	4
161508640	1	13	4
161691923	1	14	4
162540617	1	9	4
162963789	1	17	4
163760053	1	18	4
164063755	1	8	4
182087853	1	9	5
182264470	1	15	5
183191862	1	2	5
183554200	1	20	5
184480385	1	16	5
186985300	1	8	5
187255730	1	7	5
187299103	1	12	5
187357594	1	3	5
188940756	1	17	5
190140891	1	19	5
190368015	1	13	5
190697551	1	18	5
190986288	1	11	5
192448221	1	4	5
192990990	1	10	5
193879494	1	14	5
195445646	1	6	5
195929625	1	5	5
212249626	1	6	6
212783478	1	12	6
213582155	1	2	6
213861937	1	17	6
214602478	1	13	6
215578437	1	19	6
216202063	1	15	6
217023420	1	5	6
217504197	1	16	6
219233512	1	20	6
219869766	1	4	6
220782505	1	8	6
221701344	1	3	6
222154720	1	10	6
222247496	1	7	6
222345662	1	11	6
222509367	1	9	6
224386903	1	14	6
226111251	1	18	6
240847771	1	16	7
241550816	1	2	7
242646371	1	12	7
243476545	1	5	7
243819239	1	3	7
244789661	1	19	7
246080126	1	11	7
246591291	1	7	7
248098261	1	14	7
248659508	1	17	7
249092053	1	15	7
250806602	1	9	7
251298751	1	18	7
252954268	1	13	7
253111664	1	4	7
253437286	1	20	7
254420948	1	10	7
254454050	1	8	7
255101899	1	6	7
271756651	1	3	8
271978117	1	9	8
272453346	1	19	8
272529462	1	15	8
272850277	1	10	8
272931626	1	12	8
272947553	1	18	8
273125538	1	13	8
273477198	1	8	8
274848021	1	2	8
275354414	1	17	8
278022861	1	20	8
278189501	1	11	8
279304625	1	5	8
279965409	1	16	8
280465662	1	14	8
283046547	1	6	8
285104473	1	4	8
285434996	1	7	8
302461573	1	8	9
305684161	1	16	9
306776016	1	4	9
307025352	1	9	9
307320911	1	19	9
307778746	1	7	9
308368731	1	18	9
308432539	1	17	9
308830353	1	12	9
309173015	1	13	9
310234047	1	6	9
311019566	1	2	9
311037742	1	15	9
312004423	1	14	9
312673788	1	11	9
313475403	1	3	9
313819648	1	20	9
314507750	1	5	9
315577198	1	10	9
331555475	1	8	10
332304174	1	20	10
332622648	1	7	10
333647186	1	3	10
333947107	1	9	10
335094485	1	13	10
335548287	1	17	10
336042125	1	4	10
336533314	1	11	10
337066923	1	2	10
337719501	1	5	10
338733417	1	15	10
339564879	1	12	10
342275133	1	18	10
343879172	1	16	10
344296102	1	10	10
344742938	1	19	10
345012055	1	14	10
345195798	1	6	10
361379486	1	14	11
363694391	1	3	11
363785761	1	2	11
364430526	1	19	11
364700818	1	7	11
364952215	1	15	11
365674254	1	12	11
366767778	1	11	11
368744256	1	9	11
369586093	1	6	11
369665050	1	8	11
370039152	1	5	11
370392653	1	18	11
370891919	1	13	11
370983618	1	20	11
371120190	1	17	11
373213668	1	4	11
373225517	1	10	11
374863636	1	16	11
391883474	1	19	12
392889622	1	15	12
393294477	1	7	12
393375796	1	5	12
393415769	1	9	12
393761695	1	16	12
394249892	1	20	12
394563189	1	13	12
396153363	1	14	12
398615848	1	3	12
399018004	1	12	12
399457218	1	2	12
399917065	1	17	12
401260875	1	4	12
402008600	1	8	12
402452352	1	10	12
403377064	1	11	12
404023593	1	6	12
406118883	1	18	12
421413055	1	3	13
423272303	1	10	13
425049588	1	17	13
425230537	1	16	13
425361439	1	11	13
426194143	1	15	13
427004423	1	2	13
427242975	1	8	13
427469893	1	19	13
427785825	1	14	13
428587633	1	18	13
428997647	1	7	13
429252379	1	12	13
429281073	1	6	13
430313253	1	5	13
432963004	1	9	13
433085424	1	20	13
433979623	1	4	13
435110669	1	13	13
451651168	1	4	14
451853907	1	18	14
452254172	1	16	14
452407347	1	19	14
452423292	1	9	14
453148481	1	5	14
453185102	1	7	14
456008387	1	6	14
457723175	1	2	14
458829157	1	13	14
459852350	1	8	14
460292065	1	17	14
460311122	1	10	14
460864039	1	14	14
461194888	1	20	14
461720814	1	11	14
463084598	1	3	14
463205504	1	12	14
464787804	1	15	14
480782667	1	9	15
482637009	1	14	15
483048167	1	13	15
483601606	1	5	15
484455189	1	11	15
484764624	1	15	15
484836725	1	8	15
484955884	1	17	15
485327903	1	6	15
486086777	1	19	15
486791500	1	18	15
488107746	1	3	15
490773013	1	20	15
491198373	1	4	15
491779872	1	10	15
492496810	1	16	15
492941923	1	2	15
493939879	1	12	15
495896749	1	7	15
510766917	1	13	16
510900506	1	9	16
511748576	1	10	16
511827322	1	20	16
512049254	1	12	16
512993067	1	18	16
513879425	1	2	16
516735452	1	8	16
517834338	1	7	16
518092121	1	3	16
518564564	1	11	16
519483465	1	15	16
521619918	1	4	16
522074555	1	14	16
522667991	1	16	16
524171698	1	6	16
524445402	1	5	16
525282393	1	19	16
525503410	1	17	16
541048939	1	11	17
541438189	1	13	17
541822019	1	9	17
542491053	1	10	17
542533629	1	12	17
542757299	1	20	17
543883210	1	6	17
545569305	1	3	17
545632947	1	5	17
545861816	1	4	17
546204290	1	8	17
547019886	1	16	17
547300968	1	2	17
548947702	1	18	17
550639667	1	15	17
550747647	1	7	17
554391043	1	19	17
554778313	1	14	17
555924588	1	17	17
571393338	1	17	18
572371767	1	16	18
572702903	1	6	18
573218642	1	20	18
573598261	1	2	18
573627379	1	12	18
576828543	1	19	18
577029704	1	15	18
577490848	1	3	18
578301538	1	14	18
579820402	1	5	18
579884899	1	18	18
581908314	1	11	18
583069267	1	10	18
583227350	1	8	18
583346191	1	4	18
583619254	1	9	18
583985667	1	13	18
584490497	1	7	18
601406939	1	13	19
603514622	1	15	19
604211725	1	8	19
604824509	1	14	19
605164268	1	5	19
605205566	1	4	19
606244045	1	12	19
607707386	1	16	19
609142689	1	11	19
609930438	1	19	19
610159658	1	17	19
610439528	1	18	19
611429263	1	20	19
612031074	1	6	19
612419522	1	7	19
614027241	1	2	19
614663017	1	10	19
615288053	1	3	19
615290769	1	9	19
630946291	1	13	20
632275815	1	11	20
632470157	1	8	20
632522924	1	20	20
632617849	1	19	20
633092326	1	10	20
634816672	1	16	20
635681777	1	12	20
636099632	1	7	20
637233419	1	15	20
638892653	1	18	20
639439941	1	4	20
639885815	1	17	20
641442163	1	14	20
641473173	1	2	20
641838004	1	9	20
641959598	1	3	20
642282001	1	5	20
645211093	1	6	20
661209803	1	10	21
662179755	1	6	21
663116674	1	20	21
664080242	1	18	21
664305755	1	13	21
664309267	1	16	21
665641702	1	8	21
666928348	1	3	21
667000753	1	5	21
667697087	1	11	21
667969893	1	19	21
668107022	1	7	21
669198315	1	17	21
669928429	1	15	21
670747063	1	14	21
672979255	1	12	21
673613468	1	2	21
675049316	1	4	21
675259519	1	9	21
691040041	1	13	22
691137009	1	14	22
692526440	1	17	22
693188690	1	19	22
693225720	1	3	22
695179777	1	5	22
695410673	1	2	22
697038106	1	10	22
700414850	1	8	22
702033691	1	4	22
702150527	1	12	22
702556754	1	9	22
702618883	1	18	22
702648593	1	6	22
703476138	1	20	22
703528062	1	16	22
703537042	1	7	22
705165837	1	11	22
705170917	1	15	22
720310844	1	15	23
722622018	1	14	23
722728269	1	9	23
723580566	1	4	23
724899271	1	8	23
725126190	1	19	23
725726697	1	5	23
726149505	1	13	23
726213361	1	11	23
726348011	1	16	23
728095778	1	18	23
728265494	1	6	23
728397098	1	3	23
728521749	1	7	23
729014897	1	10	23
730253408	1	17	23
731082218	1	2	23
731424254	1	12	23
735663638	1	20	23
752559518	1	14	24
754680527	1	19	24
754814941	1	4	24
755109244	1	6	24
755921164	1	20	24
756972160	1	17	24
757013996	1	3	24
757459247	1	7	24
758291454	1	18	24
758629423	1	2	24
759493166	1	13	24
761813251	1	5	24
762001417	1	9	24
762748409	1	15	24
763423939	1	11	24
764191761	1	16	24
764758600	1	8	24
765404872	1	10	24
765908629	1	12	24
782242231	1	5	25
782381465	1	15	25
782768004	1	12	25
783727541	1	13	25
784190955	1	17	25
784687485	1	20	25
787283403	1	11	25
788223413	1	14	25
789424316	1	4	25
790523593	1	6	25
791248371	1	3	25
791263272	1	7	25
791373668	1	10	25
791535511	1	16	25
791992975	1	8	25
793050968	1	2	25
793228954	1	18	25
794961688	1	19	25
795485792	1	9	25
811434518	1	14	26
812127064	1	11	26
812272924	1	20	26
812579419	1	13	26
813859839	1	19	26
813969589	1	5	26
813983372	1	15	26
815769797	1	16	26
816492343	1	6	26
819408691	1	4	26
819673903	1	18	26
821857746	1	3	26
823128408	1	17	26
823602350	1	8	26
824002379	1	12	26
824216469	1	7	26
824348175	1	2	26
825345167	1	9	26
825889850	1	10	26
841519718	1	2	27
841611754	1	12	27
841948387	1	17	27
842379172	1	16	27
843327413	1	20	27
845662893	1	15	27
845842121	1	3	27
845861492	1	18	27
848336777	1	19	27
848579542	1	9	27
849111439	1	11	27
849279872	1	10	27
849484244	1	6	27
850415041	1	13	27
851255792	1	7	27
851372065	1	14	27
851586725	1	8	27
852768066	1	4	27
855859796	1	5	27
871117849	1	19	28
872502487	1	4	28
872946146	1	8	28
874322750	1	18	28
874788105	1	10	28
876455838	1	17	28
877566923	1	2	28
878796118	1	20	28
879188917	1	9	28
879271747	1	7	28
880201496	1	3	28
880770289	1	14	28
881470814	1	11	28
881476651	1	5	28
882524416	1	13	28
882562324	1	6	28
882723011	1	16	28
884596129	1	12	28
885060909	1	15	28
901205189	1	11	29
902008791	1	13	29
903069888	1	20	29
903320447	1	5	29
904003453	1	17	29
905053340	1	15	29
905955576	1	12	29
906173337	1	9	29
906319303	1	3	29
906340515	1	16	29
906680521	1	8	29
907162132	1	7	29
907407440	1	19	29
912249824	1	6	29
912392653	1	18	29
912551539	1	14	29
914189941	1	4	29
914957218	1	2	29
915991141	1	10	29
931334804	1	10	30
931504487	1	14	30
932799362	1	4	30
934130881	1	7	30
934240849	1	3	30
934261696	1	16	30
934789851	1	8	30
936413727	1	20	30
936703637	1	5	30
937940909	1	17	30
938025528	1	12	30
938264614	1	18	30
939658315	1	11	30
941967160	1	15	30
942273594	1	6	30
942925969	1	2	30
944868167	1	13	30
945267043	1	9	30
945344894	1	19	30
960542124	1	4	31
960584591	1	15	31
961102542	1	13	31
961477225	1	19	31
961926362	1	14	31
962073008	1	12	31
963376418	1	9	31
963862089	1	17	31
964274226	1	8	31
966390404	1	6	31
966679732	1	5	31
968910423	1	16	31
970123577	1	10	31
972423815	1	18	31
972499895	1	20	31
973025818	1	11	31
973394719	1	2	31
974038054	1	3	31
975146660	1	7	31
991388997	1	3	32
992730446	1	16	32
993118838	1	18	32
993282660	1	8	32
993404614	1	15	32
993799255	1	12	32
995622694	1	7	32
995711183	1	6	32
