time	dest	src	seqn	hops
31431851	1	14	0	3
31928728	1	7	0	2
32430540	1	15	0	3
32928560	1	18	0	2
33178074	1	12	0	2
33518898	1	2	0	1
34085257	1	20	0	2
34990765	1	5	0	2
35369752	1	6	0	3
36146390	1	8	0	2
36898007	1	9	0	2
36955650	1	17	0	1
37429323	1	11	0	2
38274779	1	10	0	3
41868935	1	16	0	3
42363822	1	19	0	2
42833823	1	13	0	2
42957374	1	4	0	1
44424583	1	3	0	1
60901056	1	14	1	3
61149835	1	15	1	3
61241497	1	18	1	2
62113529	1	17	1	1
62580258	1	2	1	1
62804452	1	5	1	2
65144350	1	3	1	1
65525650	1	16	1	3
65648082	1	19	1	2
65895945	1	11	1	2
66958473	1	9	1	2
67896605	1	20	1	2
70396028	1	12	1	2
70802206	1	8	1	2
71276645	1	10	1	3
72085608	1	13	1	2
73455808	1	4	1	1
74865154	1	7	1	2
75931071	1	6	1	3
91428812	1	9	2	2
91585061	1	7	2	2
92617108	1	20	2	2
93209920	1	5	2	2
93400595	1	16	2	3
94491085	1	18	2	2
94736385	1	3	2	1
95150152	1	14	2	3
96024394	1	10	2	3
96052211	1	8	2	2
97148029	1	11	2	2
97489957	1	19	2	2
97800137	1	2	2	1
99619503	1	15	2	3
100431072	1	6	2	3
100959309	1	13	2	2
102144692	1	4	2	1
103050740	1	17	2	1
105022204	1	12	2	2
123147657	1	9	3	2
124742108	1	20	3	2
125179351	1	13	3	2
126242062	1	8	3	2
126335816	1	19	3	2
126430979	1	10	3	3
126517694	1	2	3	1
127455809	1	3	3	1
128120597	1	16	3	3
128739748	1	11	3	2
128991530	1	7	3	2
129049418	1	17	3	1
131836898	1	15	3	3
131930758	1	6	3	3
132990225	1	12	3	2
133553777	1	5	3	2
134335044	1	18	3	2
134393334	1	4	3	1
134464181	1	14	3	3
151805648	1	15	4	3
152681347	1	10	4	3
153869467	1	6	4	3
154332438	1	19	4	2
154463216	1	14	4	3
157022700	1	7	4	2
157831935	1	17	4	1
158745046	1	16	4	3
158834651	1	5	4	2
160427914	1	12	4	2
160740334	1	11	4	2
160832376	1	4	4	1
161929032	1	20	4	2
161956466	1	2	4	1
162582239	1	9	4	2
162833456	1	8	4	2
163552261	1	13	4	2
164426057	1	3	4	1
164523323	1	18	4	2
182774426	1	6	5	3
182831303	1	17	5	1
183709102	1	13	5	2
183830237	1	2	5	1
185084319	1	12	5	2
185649346	1	10	5	3
185865920	1	11	5	2
186927642	1	8	5	2
187084364	1	20	5	2
188679511	1	18	5	2
